method,loss,task,comparison,estimate,low,high
raw,balanced,fine,minus_soft_context,-0.007003155243212211,-0.020247086735884278,0.008669186375372541
raw,balanced,fine,minus_hierarchy_uniform,-0.017282128279599213,-0.030888901048153103,0.004360611645981322
raw,balanced,coarse,minus_global_context,-0.012092614005264235,-0.027829500768251338,0.008737787335876879
raw,balanced,coarse,minus_soft_context,0.004847140029114627,-0.01614153846904968,0.025049514288340367
raw,balanced,coarse,minus_hierarchy_uniform,-0.009214293895776882,-0.029446354727772427,0.015748707090364047
centered,ce,fine,minus_raw,-0.0006021602323924152,-0.0078106730877586655,0.007774167990244569
centered,ce,fine,minus_global_context,-0.01198210042370973,-0.01660666191032115,-0.0053123975274896205
centered,ce,fine,minus_soft_context,-0.00044720894147115553,-0.01722432206323511,0.012757801092065648
centered,ce,fine,minus_hierarchy_uniform,-0.012114091513101777,-0.016880582139452024,-0.005856714639319255
centered,ce,coarse,minus_raw,-0.009670990110759836,-0.020259043695146972,0.004542386910632753
centered,ce,coarse,minus_global_context,-0.025906994455428656,-0.04064150378269945,-0.01226114143150236
centered,ce,coarse,minus_soft_context,-0.02559440485453457,-0.04764948309316808,0.004464345112705101
centered,ce,coarse,minus_hierarchy_uniform,-0.025711670855805113,-0.0393327332515712,-0.012397276667201978
centered,balanced,fine,minus_raw,0.01183702752691268,-0.008170199666846527,0.025586054317015113
centered,balanced,fine,minus_global_context,-0.00603452327350637,-0.012970046316722375,0.00695432676710076
centered,balanced,fine,minus_soft_context,0.004833872283700469,-0.01472651242470324,0.024217245010722553
centered,balanced,fine,minus_hierarchy_uniform,-0.0054451007526865325,-0.012510438107734284,0.005018356049619744
centered,balanced,coarse,minus_raw,-0.004698088886550711,-0.02346067765345755,0.018046283387869122
centered,balanced,coarse,minus_global_context,-0.016790702891814946,-0.035710123564438825,0.00697259238385401
centered,balanced,coarse,minus_soft_context,0.00014905114256391627,-0.032433250460050175,0.02908856560566281
centered,balanced,coarse,minus_hierarchy_uniform,-0.013912382782327593,-0.03563606908589665,0.010912833207523991
global_context,ce,fine,minus_raw,0.011379940191317314,0.0017613765404721493,0.02165734122189929
global_context,ce,fine,minus_soft_context,0.011534891482238574,-0.005124303241503005,0.02318318457497054
global_context,ce,fine,minus_hierarchy_uniform,-0.0001319910893920473,-0.006565540738967765,0.006543694610805232
global_context,ce,coarse,minus_raw,0.01623600434466882,0.0038089247839329017,0.029683973587907943
global_context,ce,coarse,minus_soft_context,0.0003125896008940865,-0.020651530931087157,0.02365988703342264
global_context,ce,coarse,minus_hierarchy_uniform,0.0001953235996235425,-0.006636030140747061,0.006531766221243213
global_context,balanced,fine,minus_raw,0.01787155080041905,-0.0031044790293551137,0.030188772211431354
global_context,balanced,fine,minus_soft_context,0.01086839555720684,-0.006277201265983393,0.02555450761519754
global_context,balanced,fine,minus_hierarchy_uniform,0.0005894225208198378,-0.004727364404315243,0.0045878006912173615
global_context,balanced,coarse,minus_raw,0.012092614005264235,-0.008737787335876879,0.027829500768251334
global_context,balanced,coarse,minus_soft_context,0.016939754034378862,-0.0046491775221279156,0.03385584967634731
global_context,balanced,coarse,minus_hierarchy_uniform,0.0028783201094873534,-0.007571653369851851,0.013813259408149585
soft_context,ce,fine,minus_raw,-0.0001549512909212597,-0.008700088023905405,0.010184870123163159
soft_context,ce,fine,minus_global_context,-0.011534891482238574,-0.02318318457497054,0.005124303241503002
soft_context,ce,fine,minus_hierarchy_uniform,-0.011666882571630621,-0.022453812624181262,0.005043103635840656
soft_context,ce,coarse,minus_raw,0.015923414743774733,-0.001914457700702729,0.03121867100629911
soft_context,ce,coarse,minus_global_context,-0.0003125896008940865,-0.023659887033422686,0.020651530931087146
soft_context,ce,coarse,minus_hierarchy_uniform,-0.00011726600127054398,-0.025645456560209726,0.021273418131905857
soft_context,balanced,fine,minus_raw,0.007003155243212211,-0.008669186375372544,0.02024708673588426
soft_context,balanced,fine,minus_global_context,-0.01086839555720684,-0.025554507615197546,0.006277201265983387
soft_context,balanced,fine,minus_hierarchy_uniform,-0.010278973036387001,-0.02293967492234328,0.007377259887466558
soft_context,balanced,coarse,minus_raw,-0.004847140029114627,-0.02504951428834037,0.016141538469049598
soft_context,balanced,coarse,minus_global_context,-0.016939754034378862,-0.03385584967634732,0.004649177522127897
soft_context,balanced,coarse,minus_hierarchy_uniform,-0.014061433924891509,-0.03116683179518382,0.009785571630405112
hierarchy_uniform,ce,fine,minus_raw,0.011511931280709362,0.0026441798348136956,0.016796577959376398
hierarchy_uniform,ce,fine,minus_global_context,0.0001319910893920473,-0.006543694610805237,0.0065655407389677645
hierarchy_uniform,ce,fine,minus_soft_context,0.011666882571630621,-0.005043103635840658,0.022453812624181262
hierarchy_uniform,ce,coarse,minus_raw,0.016040680745045277,0.0022499395236224642,0.030281921439303763
hierarchy_uniform,ce,coarse,minus_global_context,-0.0001953235996235425,-0.006531766221243217,0.00663603014074706
hierarchy_uniform,ce,coarse,minus_soft_context,0.00011726600127054398,-0.021273418131905895,0.025645456560209726
hierarchy_uniform,balanced,fine,minus_raw,0.017282128279599213,-0.004360611645981334,0.03088890104815307
hierarchy_uniform,balanced,fine,minus_global_context,-0.0005894225208198378,-0.004587800691217363,0.004727364404315239
hierarchy_uniform,balanced,fine,minus_soft_context,0.010278973036387001,-0.007377259887466566,0.022939674922343268
hierarchy_uniform,balanced,coarse,minus_raw,0.009214293895776882,-0.015748707090364068,0.029446354727772413
hierarchy_uniform,balanced,coarse,minus_global_context,-0.0028783201094873534,-0.013813259408149588,0.0075716533698518464
hierarchy_uniform,balanced,coarse,minus_soft_context,0.014061433924891509,-0.00978557163040514,0.031166831795183796
hierarchy_reliable,ce,fine,minus_raw,0.015319118740890411,0.002550501379245364,0.0210917996771456
hierarchy_reliable,ce,fine,minus_global_context,0.003939178549573097,-0.00507593979104979,0.011592242574493638
hierarchy_reliable,ce,fine,minus_soft_context,0.01547407003181167,-0.005332512216449283,0.025439122273824256
hierarchy_reliable,ce,fine,minus_hierarchy_uniform,0.0038071874601810496,-0.003600606794836729,0.00891953173438375
hierarchy_reliable,ce,coarse,minus_raw,0.013881166438437564,0.003286042295202965,0.022795492873504936
hierarchy_reliable,ce,coarse,minus_global_context,-0.0023548379062312552,-0.012211210225129197,0.0056246255146125594
hierarchy_reliable,ce,coarse,minus_soft_context,-0.0020422483053371687,-0.01920611672871545,0.022220263469070058
hierarchy_reliable,ce,coarse,minus_hierarchy_uniform,-0.0021595143066077127,-0.013538788054775173,0.005580905264090398
hierarchy_reliable,balanced,fine,minus_raw,0.012623787967156574,-0.0032091075072779368,0.026269338136418505
hierarchy_reliable,balanced,fine,minus_global_context,-0.005247762833262476,-0.018406135369582036,0.007793067218501209
hierarchy_reliable,balanced,fine,minus_soft_context,0.005620632723944363,-0.005541514877826244,0.016386902837449712
