seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
17,3200,16,logistic_regression,coarse,0.2738795612408509,5.0,0.0,16.0,14.920000000000002
17,3200,16,logistic_regression,fine,0.05623005784934452,27.0,0.0,16.0,13.681481481481484
17,3200,32,logistic_regression,coarse,0.2772738985781301,5.0,0.0,32.0,27.72
17,3200,32,logistic_regression,fine,0.054269557616070024,27.0,0.0,32.0,24.94074074074074
17,3200,8,logistic_regression,coarse,0.2727257492507287,5.0,0.0,8.0,7.92
17,3200,8,logistic_regression,fine,0.05981228743777494,27.0,0.0,8.0,7.185185185185185
17,6400,16,logistic_regression,coarse,0.2833283744837959,5.0,0.0,16.0,15.76
17,6400,16,logistic_regression,fine,0.0574374446836137,27.0,0.0,16.0,14.177777777777777
17,6400,32,logistic_regression,coarse,0.2856876429108953,5.0,0.0,32.0,29.68
17,6400,32,logistic_regression,fine,0.05570649814623344,27.0,0.0,32.0,27.274074074074075
17,6400,8,logistic_regression,coarse,0.28010071505344114,5.0,0.0,8.0,7.92
17,6400,8,logistic_regression,fine,0.06204568091309955,27.0,0.0,8.0,7.2518518518518515
18,3200,16,logistic_regression,coarse,0.269548650888348,5.0,0.0,16.0,15.36
18,3200,16,logistic_regression,fine,0.0544835714846112,26.8,0.2,16.0,13.513105413105416
18,3200,32,logistic_regression,coarse,0.2734901222564214,5.0,0.0,32.0,28.24
18,3200,32,logistic_regression,fine,0.055776286728221866,26.8,0.2,32.0,24.659259259259258
18,3200,8,logistic_regression,coarse,0.25961508684474505,5.0,0.0,8.0,7.8
18,3200,8,logistic_regression,fine,0.058286991614693834,26.8,0.2,8.0,6.935042735042735
18,6400,16,logistic_regression,coarse,0.27724906416607237,5.0,0.0,16.0,15.8
18,6400,16,logistic_regression,fine,0.0548295789661103,26.8,0.2,16.0,14.064957264957267
18,6400,32,logistic_regression,coarse,0.282403722055592,5.0,0.0,32.0,30.6
18,6400,32,logistic_regression,fine,0.05426178237727888,26.8,0.2,32.0,26.94928774928775
18,6400,8,logistic_regression,coarse,0.26886761337159587,5.0,0.0,8.0,7.8
18,6400,8,logistic_regression,fine,0.058119203937427776,26.8,0.2,8.0,7.054131054131053
19,3200,16,logistic_regression,coarse,0.2697230818837796,5.0,0.0,16.0,15.0
19,3200,16,logistic_regression,fine,0.055939926208271984,26.6,0.4,16.0,13.75099715099715
19,3200,32,logistic_regression,coarse,0.2745096112721429,5.0,0.0,32.0,27.8
19,3200,32,logistic_regression,fine,0.05412628506259521,26.6,0.4,32.0,24.7985754985755
19,3200,8,logistic_regression,coarse,0.27174321551114805,5.0,0.0,8.0,7.88
19,3200,8,logistic_regression,fine,0.058158443252244,26.6,0.4,8.0,7.182336182336182
19,6400,16,logistic_regression,coarse,0.2793590724626216,5.0,0.0,16.0,15.88
19,6400,16,logistic_regression,fine,0.05699001024750242,26.6,0.4,16.0,14.499430199430199
19,6400,32,logistic_regression,coarse,0.2860416492996477,5.0,0.0,32.0,29.880000000000003
19,6400,32,logistic_regression,fine,0.05469793622900578,26.6,0.4,32.0,27.21908831908832
19,6400,8,logistic_regression,coarse,0.27947672150381353,5.0,0.0,8.0,7.88
19,6400,8,logistic_regression,fine,0.06249100166860667,26.6,0.4,8.0,7.2495726495726505
