model,scope,method,mean,seed_values,patient_counts,cell_counts
mlp,Myeloid,rna_apt,0.7423506682234519,"[0.7398289325959696, 0.7420936154816355, 0.7451294565927505]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,rna_noise,0.7249002810197976,"[0.7220385841341854, 0.726765924773912, 0.7258963341512957]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,rna_oracle,0.7741894496051448,"[0.7737454147167815, 0.7757878490704204, 0.7730350850282325]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,apt_oracle,0.2112109801824492,"[0.21062982136990724, 0.21128903182750378, 0.2117140873499365]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,prior_oracle,0.07235695600142827,"[0.07235695600142827, 0.07235695600142827, 0.07235695600142827]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,patient_shuffle_0,0.7342470647082996,"[0.7325303872268607, 0.7398424274418531, 0.730368379456185]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,patient_shuffle_1,0.7351718681946631,"[0.7353856746107039, 0.7374176590669966, 0.7327122709062885]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,patient_shuffle_2,0.7338268600198209,"[0.7338527527363778, 0.7324807767688094, 0.7351470505542756]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,lineage_shuffle_0,0.7367599008581779,"[0.7376170184310593, 0.7379875531136629, 0.7346751310298113]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,lineage_shuffle_1,0.7368318595742558,"[0.7355753857468263, 0.7404486526698552, 0.7344715403060859]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,lineage_shuffle_2,0.7368322147112639,"[0.7363179038050254, 0.7376244587908032, 0.7365542815379631]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,Myeloid,prior_expected_cm,0.12431728808880127,"[0.12431728808880127, 0.12431728808880127, 0.12431728808880127]","[40, 40, 40]","[67995, 67995, 67995]"
mlp,NK,rna,0.745933780696432,"[0.7489082444387036, 0.7449100797939185, 0.743983017856674]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,apt,0.24136455927597175,"[0.24599085480347604, 0.23086262461247614, 0.24724019841196307]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,rna_apt,0.7667252229611264,"[0.7688459004596621, 0.7629346229887475, 0.7683951454349699]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,rna_noise,0.7439471711372972,"[0.7443348994921642, 0.7408651607792387, 0.746641453140489]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,rna_oracle,0.8392956632480031,"[0.8388167985833692, 0.8399569293060705, 0.8391132618545696]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,apt_oracle,0.8490596703365058,"[0.8489136314760222, 0.8491600251212783, 0.8491053544122166]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,prior_oracle,0.4344805798057183,"[0.4344805798057183, 0.4344805798057183, 0.4344805798057183]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,patient_shuffle_0,0.7647525079741309,"[0.7641762906680529, 0.757759117374394, 0.7723221158799458]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,patient_shuffle_1,0.7646607498445791,"[0.7666851721862536, 0.7567633865889474, 0.7705336907585365]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,patient_shuffle_2,0.7650363464905124,"[0.7662750846150644, 0.7617778662854314, 0.7670560885710416]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,lineage_shuffle_0,0.7635344316559102,"[0.7664938122930738, 0.7588371482958043, 0.7652723343788526]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,lineage_shuffle_1,0.7635979149919635,"[0.7644529575182413, 0.7576484839167569, 0.7686923035408926]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,lineage_shuffle_2,0.7626008194813462,"[0.7636464949089103, 0.7585127249756334, 0.7656432385594945]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,NK,prior_expected_cm,0.49387290257674393,"[0.493872902576744, 0.493872902576744, 0.493872902576744]","[40, 40, 40]","[96949, 96949, 96949]"
mlp,Other,rna,0.4684958729596482,"[0.5024125039167295, 0.4975980490102633, 0.4054770659519518]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,apt,0.07605667469112487,"[0.08872531287973544, 0.06532294588422942, 0.07412176530940974]","[38, 38, 38]","[1639, 1639, 1639]"
mlp,Other,rna_apt,0.46061612842541555,"[0.44509325170404096, 0.41669058733008724, 0.5200645462421184]","[38, 38, 38]","[1639, 1639, 1639]"
