model,scope,metric,comparison,mean,seed_values,valid_bootstrap,low,high
sgd,Myeloid,subject_accuracy,rna_apt-minus-patient_shuffle,-0.0009707776153649409,"[np.float64(0.004804115145629506), np.float64(-0.0035799266868271618), np.float64(-0.004136521304897167)]",2000,-0.012695843675358262,0.00923488393010661
sgd,Myeloid,sb_f1,rna_apt-minus-lineage_shuffle,0.0035976912154464338,"[np.float64(0.0070622155865718295), np.float64(0.006607803338582796), np.float64(-0.002876945278815324)]",2000,-0.009457909995409871,0.013551513561267376
sgd,Myeloid,subject_accuracy,rna_apt-minus-lineage_shuffle,-0.0040812243637137575,"[np.float64(-0.0024303416453745896), np.float64(-0.003247611109551518), np.float64(-0.006565720336215164)]",2000,-0.01574275236658713,0.006074579911652093
sgd,Myeloid,sb_f1,apt_oracle-minus-prior_oracle,0.12914150835103808,"[np.float64(0.13713627882909116), np.float64(0.13604065929991413), np.float64(0.11424758692410891)]",2000,0.1001273178548385,0.14743080657631644
sgd,Myeloid,subject_accuracy,apt_oracle-minus-prior_oracle,-0.11220892333843709,"[np.float64(-0.10883349663626796), np.float64(-0.11851741315892594), np.float64(-0.10927586022011737)]",2000,-0.16318397425062428,-0.05720187367875747
sgd,Myeloid,sb_f1,rna_oracle-minus-prior_oracle,0.5889711190821368,"[np.float64(0.5878328608762002), np.float64(0.58909261515062), np.float64(0.5899878812195904)]",2000,0.5588798904147041,0.6058437110297147
sgd,Myeloid,subject_accuracy,rna_oracle-minus-prior_oracle,0.3540294914424078,"[np.float64(0.3518425600950713), np.float64(0.35706942688226484), np.float64(0.3531764873498874)]",2000,0.30813245159604175,0.40353340496918594
sgd,Myeloid,sb_f1,apt_oracle-minus-prior_expected_cm,0.07718117626366507,"[np.float64(0.08517594674171816), np.float64(0.08408032721254113), np.float64(0.06228725483673592)]",2000,0.04888531950386829,0.09391420380097878
sgd,Myeloid,subject_accuracy,apt_oracle-minus-prior_expected_cm,0.0302109341723039,"[np.float64(0.03358636087447303), np.float64(0.023902444351815044), np.float64(0.03314399729062362)]",2000,-0.0028788344204313,0.06564647314075686
sgd,Myeloid,sb_f1,rna_oracle-minus-prior_expected_cm,0.5370107869947639,"[np.float64(0.5358725287888273), np.float64(0.5371322830632469), np.float64(0.5380275491322174)]",2000,0.50748640200133,0.5533983441137251
sgd,Myeloid,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.4964493489531488,"[np.float64(0.4942624176058123), np.float64(0.49948928439300583), np.float64(0.49559634486062837)]",2000,0.4701926424270222,0.5227302090817563
sgd,NK,sb_f1,rna_apt-minus-rna,0.012853963971394414,"[np.float64(-0.04411975920110045), np.float64(0.0353199599905929), np.float64(0.0473616911246908)]",2000,-0.053699871469054826,0.06470714772801779
sgd,NK,subject_accuracy,rna_apt-minus-rna,0.020671174191825476,"[np.float64(-0.02368394854666056), np.float64(0.03330732568835071), np.float64(0.052390145433786284)]",2000,-0.02962777081907653,0.06122999955837125
sgd,NK,sb_f1,rna_apt-minus-rna_noise,0.04307613310111846,"[np.float64(-0.0018161591595726723), np.float64(0.06864953238855187), np.float64(0.06239502607437619)]",2000,-0.014123959434360095,0.09471114592008252
sgd,NK,subject_accuracy,rna_apt-minus-rna_noise,0.059659453722928614,"[np.float64(0.026055896289618907), np.float64(0.07509512277200314), np.float64(0.0778273421071638)]",2000,0.016859430862297107,0.09502753949884742
sgd,NK,sb_f1,rna_apt-minus-patient_shuffle,0.01040169499934085,"[np.float64(-0.0011336956627209238), np.float64(0.0032260496298707197), np.float64(0.02911273103087275)]",2000,-0.04529707408807212,0.05096564074091835
sgd,NK,subject_accuracy,rna_apt-minus-patient_shuffle,-0.0012314575320364247,"[np.float64(-0.02182865311812021), np.float64(-0.006993078278724196), np.float64(0.025127358800735133)]",2000,-0.04518389119788641,0.03153778698042413
sgd,NK,sb_f1,rna_apt-minus-lineage_shuffle,-0.002494405436636149,"[np.float64(-0.029731953965219104), np.float64(-0.0036492039469510074), np.float64(0.025897941602261665)]",2000,-0.058116746930606616,0.036778188702935304
sgd,NK,subject_accuracy,rna_apt-minus-lineage_shuffle,0.000649737449246901,"[np.float64(-0.014802408342582174), np.float64(-0.015256362630439058), np.float64(0.032007983320761935)]",2000,-0.04053331208308214,0.03392952631685059
sgd,NK,sb_f1,apt_oracle-minus-prior_oracle,0.4050642997722224,"[np.float64(0.3946788549951824), np.float64(0.4072346162743873), np.float64(0.4132794280470975)]",2000,0.29930873562974875,0.4657167310099345
sgd,NK,subject_accuracy,apt_oracle-minus-prior_oracle,0.12446549756976899,"[np.float64(0.12002158673954144), np.float64(0.1217142650665256), np.float64(0.13166064090323992)]",2000,0.04161905415723462,0.21007515005510635
sgd,NK,sb_f1,rna_oracle-minus-prior_oracle,0.35659534827960887,"[np.float64(0.36898570707318434), np.float64(0.3270690706002407), np.float64(0.3737312671654014)]",2000,0.2505916072863276,0.428757016445913
sgd,NK,subject_accuracy,rna_oracle-minus-prior_oracle,0.07157699652690142,"[np.float64(0.08246449080370188), np.float64(0.04544637245546712), np.float64(0.08682012632153524)]",2000,-0.02480867579139997,0.172906468088281
sgd,NK,sb_f1,apt_oracle-minus-prior_expected_cm,0.3456719770011967,"[np.float64(0.3352865322241567), np.float64(0.3478422935033616), np.float64(0.3538871052760718)]",2000,0.26898007248670275,0.38304909447421365
sgd,NK,subject_accuracy,apt_oracle-minus-prior_expected_cm,0.2670462392973889,"[np.float64(0.26260232846716136), np.float64(0.2642950067941455), np.float64(0.27424138263085984)]",2000,0.22884664745344988,0.30770844645485845
sgd,NK,sb_f1,rna_oracle-minus-prior_expected_cm,0.29720302550858313,"[np.float64(0.30959338430215866), np.float64(0.267676747829215), np.float64(0.3143389443943757)]",2000,0.22711410562526274,0.34251806820364405
sgd,NK,subject_accuracy,rna_oracle-minus-prior_expected_cm,0.21415773825452133,"[np.float64(0.2250452325313218), np.float64(0.18802711418308704), np.float64(0.22940086804915516)]",2000,0.16158588252187525,0.2689583469306505
sgd,Other,sb_f1,rna_apt-minus-rna,-0.0020085249641225156,"[np.float64(-0.006518264749668989), np.float64(0.0045338823489294855), np.float64(-0.004041192491628043)]",2000,-0.013996390783101427,0.01420571820117132
sgd,Other,subject_accuracy,rna_apt-minus-rna,-0.011118099984015176,"[np.float64(-0.025812212750824348), np.float64(0.014458982726747394), np.float64(-0.022001069927968575)]",2000,-0.051230021384508884,0.0275577034738494
sgd,Other,sb_f1,rna_apt-minus-rna_noise,-0.006426744812320491,"[np.float64(0.0035307580902409486), np.float64(-0.018312214231867352), np.float64(-0.004498778295335071)]",2000,-0.038490076856856244,0.00818482759160661
