actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.028303964994847775,0,0.03869133070111275,15.4,13,logistic_regression,5,165797,3200,5,16,4c9bed99296e455f,4,success,coarse,3200,0,0.22276894468814135
16,0.19134786445647478,0,0.08317897468805313,13.333333333333334,1,logistic_regression,39,165797,3200,39,16,4c9bed99296e455f,4,success,fine,3200,0,0.43011278565973043
32,0.02380373701453209,0,0.041517073288559914,28.2,13,logistic_regression,5,165797,3200,5,32,4c9bed99296e455f,4,success,coarse,3200,0,0.23966689873486757
32,0.18096430506557226,0,0.08268261328339577,22.641025641025642,1,logistic_regression,39,165797,3200,39,32,4c9bed99296e455f,4,success,fine,3200,0,0.4357821810990572
8,0.01869436912238598,0,0.043046784587204456,7.8,7,logistic_regression,5,165797,3200,5,8,4c9bed99296e455f,4,success,coarse,3200,0,0.20985876768827438
8,0.18657678924500942,0,0.08388861175626516,7.076923076923077,1,logistic_regression,39,165797,3200,39,8,4c9bed99296e455f,4,success,fine,3200,0,0.42739849630743265
16,0.05180089641362429,0,0.03787495568394661,15.8,15,logistic_regression,5,165797,6400,5,16,4c9bed99296e455f,4,success,coarse,6400,0,0.243527096696198
16,0.5287520624697208,0,0.07785549014806747,14.076923076923077,1,logistic_regression,39,165797,6400,39,16,4c9bed99296e455f,4,success,fine,6400,0,0.7619782229885459
32,0.050352917984128,0,0.03848573658615351,30.8,26,logistic_regression,5,165797,6400,5,32,4c9bed99296e455f,4,success,coarse,6400,0,0.26135895401239395
32,0.5053690867498517,0,0.08409791719168425,26.384615384615383,1,logistic_regression,39,165797,6400,39,32,4c9bed99296e455f,4,success,fine,6400,0,0.7648092908784747
8,0.042071569710969925,0,0.043484026566147804,7.8,7,logistic_regression,5,165797,6400,5,8,4c9bed99296e455f,4,success,coarse,6400,0,0.23398131504654884
8,0.5406180173158646,0,0.08339108247309923,7.333333333333333,1,logistic_regression,39,165797,6400,39,8,4c9bed99296e455f,4,success,fine,6400,0,0.7741287797689438
