seed,total,patient_budget,model,task,patient_balanced_macro_f1,observed_class_count,unseen_at_training_class_count,actual_contributing_patients,mean_class_donor_coverage
10,6400,32,logistic_regression,coarse,0.9837201464245062,5.0,0.0,32.0,31.2
10,6400,32,logistic_regression,fine,0.5245756768884212,38.8,0.2,32.0,26.529284750337382
10,6400,8,logistic_regression,coarse,0.9810135696004612,5.0,0.0,8.0,7.959999999999999
10,6400,8,logistic_regression,fine,0.5239763143949348,38.8,0.2,8.0,7.314844804318488
11,3200,16,logistic_regression,coarse,0.9810979206820247,5.0,0.0,16.0,15.52
11,3200,16,logistic_regression,fine,0.5070073658859673,38.6,0.4,16.0,13.24493927125506
11,3200,32,logistic_regression,coarse,0.9818873091116502,5.0,0.0,32.0,28.6
11,3200,32,logistic_regression,fine,0.511021037124693,38.6,0.4,32.0,22.219973009446694
11,3200,8,logistic_regression,coarse,0.974183051682479,5.0,0.0,8.0,7.88
11,3200,8,logistic_regression,fine,0.5120428466070168,38.6,0.4,8.0,7.1040485829959525
11,6400,16,logistic_regression,coarse,0.9826876808702936,5.0,0.0,16.0,15.84
11,6400,16,logistic_regression,fine,0.5185017154335821,38.6,0.4,16.0,14.22294197031039
11,6400,32,logistic_regression,coarse,0.9814493373147772,5.0,0.0,32.0,30.959999999999997
11,6400,32,logistic_regression,fine,0.5187144140629668,38.6,0.4,32.0,26.371794871794872
11,6400,8,logistic_regression,coarse,0.9824260419968345,5.0,0.0,8.0,7.88
11,6400,8,logistic_regression,fine,0.5186455341350765,38.6,0.4,8.0,7.239406207827261
12,3200,16,logistic_regression,coarse,0.9812659029472988,5.0,0.0,16.0,15.919999999999998
12,3200,16,logistic_regression,fine,0.5172682427728147,39.0,0.0,16.0,13.487179487179485
12,3200,32,logistic_regression,coarse,0.9820518780010946,5.0,0.0,32.0,29.2
12,3200,32,logistic_regression,fine,0.519369483768043,39.0,0.0,32.0,22.641025641025642
12,3200,8,logistic_regression,coarse,0.9807892137227473,5.0,0.0,8.0,8.0
12,3200,8,logistic_regression,fine,0.5142080592743645,39.0,0.0,8.0,7.1641025641025635
12,6400,16,logistic_regression,coarse,0.9822375160926514,5.0,0.0,16.0,16.0
12,6400,16,logistic_regression,fine,0.5344663975995417,39.0,0.0,16.0,14.353846153846154
12,6400,32,logistic_regression,coarse,0.9811951609396459,5.0,0.0,32.0,31.72
12,6400,32,logistic_regression,fine,0.5302317207660158,39.0,0.0,32.0,26.69230769230769
12,6400,8,logistic_regression,coarse,0.980851831364513,5.0,0.0,8.0,8.0
12,6400,8,logistic_regression,fine,0.5309617565772677,39.0,0.0,8.0,7.266666666666666
13,3200,16,logistic_regression,coarse,0.9818822694505431,5.0,0.0,16.0,15.76
13,3200,16,logistic_regression,fine,0.5005748077630244,39.0,0.0,16.0,13.333333333333334
13,3200,32,logistic_regression,coarse,0.9822024572229224,5.0,0.0,32.0,29.24
13,3200,32,logistic_regression,fine,0.4973399054885496,39.0,0.0,32.0,22.343589743589742
13,3200,8,logistic_regression,coarse,0.9752345659287911,5.0,0.0,8.0,8.0
13,3200,8,logistic_regression,fine,0.5010308374480419,39.0,0.0,8.0,7.205128205128206
13,6400,16,logistic_regression,coarse,0.9815612991631001,5.0,0.0,16.0,16.0
13,6400,16,logistic_regression,fine,0.5202893125214713,39.0,0.0,16.0,14.328205128205127
13,6400,32,logistic_regression,coarse,0.9824487617749063,5.0,0.0,32.0,31.360000000000003
13,6400,32,logistic_regression,fine,0.5197863242406602,39.0,0.0,32.0,26.287179487179486
13,6400,8,logistic_regression,coarse,0.9792240727656161,5.0,0.0,8.0,8.0
13,6400,8,logistic_regression,fine,0.5202052889995404,39.0,0.0,8.0,7.333333333333333
14,3200,16,logistic_regression,coarse,0.9821697808347638,5.0,0.0,16.0,15.879999999999999
14,3200,16,logistic_regression,fine,0.5125289005807704,39.0,0.0,16.0,13.35897435897436
14,3200,32,logistic_regression,coarse,0.9821159424870227,5.0,0.0,32.0,29.4
14,3200,32,logistic_regression,fine,0.5082423941278329,39.0,0.0,32.0,22.28205128205128
14,3200,8,logistic_regression,coarse,0.9835949686264568,5.0,0.0,8.0,7.92
14,3200,8,logistic_regression,fine,0.5100644600682583,39.0,0.0,8.0,7.153846153846155
14,6400,16,logistic_regression,coarse,0.9845063007247685,5.0,0.0,16.0,15.919999999999998
14,6400,16,logistic_regression,fine,0.527832949215659,39.0,0.0,16.0,14.256410256410257
14,6400,32,logistic_regression,coarse,0.9825434880034724,5.0,0.0,32.0,31.639999999999997
