width,contrast,scope,true_subtype,rna_wrong_subtype,feature,difference,ci_low,ci_high,eligible_patients_min,eligible_patients_max
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-236,-0.09818782650831193,-0.24331945177688125,0.035809891616398734,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-237,-0.08111462790126236,-0.22178746199575544,0.035555232113306516,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-238,-0.06953853796862214,-0.20337579625862526,0.04739641759113962,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-239,-0.08196397490461459,-0.23081565603752704,0.03138405548692169,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-240,-0.05403902867207835,-0.17191390725536063,0.050117970861327604,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-241,-0.07354148291308399,-0.2462317420597055,0.05055643928519248,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-242,-0.05296241247779527,-0.22619912169844594,0.09160064474516244,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-243,-0.08953139893662578,-0.22969246903831375,0.019657698076958798,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-244,-0.04334764941648813,-0.16789278045562545,0.07270826396738093,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-245,-0.0638642890721939,-0.18817875444892146,0.045057965845467784,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-246,-0.082131129621985,-0.22671663370588563,0.033191535581724184,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-247,-0.02122793635702368,-0.17226794852530036,0.09745118862495414,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-248,-0.006172874702669441,-0.11424241583291715,0.1085060262837937,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-249,-0.08564778036050284,-0.22865171203974022,0.054165274780042155,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-250,0.0080897575441636,-0.10880530176227293,0.1329066267022679,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-251,-0.04590627826148306,-0.2062855196248461,0.08753194120697187,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-252,-0.09230343182344423,-0.25007733940307025,0.050394501768857125,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-253,-0.08257729415717592,-0.25466406367542205,0.053037353764165455,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-254,-0.05094187135001118,-0.20685094609907761,0.08203595447149119,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-255,-0.058816869833122946,-0.19647609897640353,0.04396091127588629,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-256,-0.009688792596227333,-0.029511154526945443,0.010499520969910402,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-257,-0.06922559167238884,-0.22466327355381419,0.07753047361310982,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-258,0.0038664050115926655,-0.0947765273469652,0.08123596482494973,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-259,-0.061863957876389125,-0.20168330931825815,0.05241090672274261,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-260,-0.07176308662351036,-0.24612130364511992,0.06538894763491741,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-261,-0.042740741847202224,-0.1656674280450573,0.08612507648558826,8,8
2000,rescue,supported_edge_posthoc,Naive T,CD4 + Tcm-2,APT_raw:APT-262,-0.08487654730364041,-0.22425252515128705,0.03815537347977817,8,8
