width,model,seed,subtype,cells,patients,rna_correct,paired_correct,rescued,harmed
2000,sgd,20260913,CD16 Monocyte-2,5142,40,3668,3670,246,244
2000,sgd,20260913,CD16 NK,58507,40,32744,34626,8045,6163
2000,sgd,20260913,CD4 + Tcm-1,70653,40,24385,25146,9141,8380
2000,sgd,20260913,CD4 + Tcm-2,16861,39,8880,9658,2169,1391
2000,sgd,20260913,CD4 Monocyte-4,1405,35,514,534,106,86
2000,sgd,20260913,CD56 NK,38442,40,22252,22096,4848,5004
2000,sgd,20260913,CD8 + CTL-1,7303,40,4559,4325,550,784
2000,sgd,20260913,CD8 + CTL-2,4049,33,1093,1348,745,490
2000,sgd,20260913,CD8 + CTL-3,3244,27,710,1138,683,255
2000,sgd,20260913,CD8 Tem-1,26714,40,13567,14720,3266,2113
2000,sgd,20260913,CD8 Tem-2,10548,40,3635,3243,748,1140
2000,sgd,20260913,Cycling T,3667,40,2351,2350,225,226
2000,sgd,20260913,Erythrocyte,65,6,8,8,0,0
2000,sgd,20260913,GCB,3283,31,1727,1345,152,534
2000,sgd,20260913,Memory B-1,23722,40,16525,18384,2614,755
2000,sgd,20260913,Memory B-2,2130,33,1102,1185,217,134
2000,sgd,20260913,Naive T,17960,40,9398,8992,1915,2321
2000,sgd,20260913,Plasma,2173,40,2112,2113,10,9
2000,sgd,20260913,Tcm,2121,36,190,261,163,92
2000,sgd,20260913,cDC2,7376,40,6667,6678,243,232
2000,sgd,20260913,pDC,2615,40,2375,2353,44,66
2000,sgd,20260913,platelet,1574,38,1499,1484,19,34
2000,sgd,20260914,Atypical Memory B,781,34,168,157,37,48
2000,sgd,20260914,CD14 Monocyte-1,29871,40,19182,20134,2766,1814
2000,sgd,20260914,CD14 Monocyte-2,3931,40,1928,2076,446,298
2000,sgd,20260914,CD14 Monocyte-3,2977,32,1718,1437,242,523
2000,sgd,20260914,CD16 Monocyte-1,14678,40,12807,12777,579,609
2000,sgd,20260914,CD16 Monocyte-2,5142,40,3663,3616,234,281
