width,model,true_subtype,predicted_subtype,delta_rna_minus_paired,ci_low,ci_high,true_class_patients,rna_cells_mean,rna_patient_rate,paired_cells_mean,paired_patient_rate,rescued_cells_mean,rescued_patient_rate,harmed_cells_mean,harmed_patient_rate,rerouted_out_cells_mean,rerouted_out_patient_rate,rerouted_in_cells_mean,rerouted_in_patient_rate,delta_seed_20260912,delta_seed_20260913,delta_seed_20260914,rescue_patients_union,harm_patients_union
2000,sgd,CD14 Monocyte-1,CD56 NK,0.004339504058939726,0.002042119233180723,0.007995897708531046,40,156.0,0.006145514919994484,45.0,0.0018060108610547588,33.666666666666664,0.001226901544716943,2.6666666666666665,9.209226068603852e-05,95.66666666666667,0.004011757158827806,15.666666666666666,0.0008070623839189859,0.006999588231626436,0.0037255254320046035,0.0022933985131881364,26,7
2000,sgd,CD14 Monocyte-1,CD8 + CTL-1,0.0012898379933453817,0.000699500091192833,0.0021944096903011726,40,44.333333333333336,0.0017022169581135608,10.666666666666666,0.0004123789647681793,16.0,0.0006238028651602061,1.6666666666666667,4.728258108429118e-05,23.666666666666668,0.0008639981691406148,4.333333333333333,0.00015068045987114793,0.0012138052732492686,0.001607740799091436,0.0010479679076954406,24,5
2000,sgd,CD14 Monocyte-1,CD8 + CTL-2,0.0005479620788214071,0.00023658836176418329,0.0010101121246492652,40,19.0,0.0007771247499185228,5.666666666666667,0.00022916267109711577,5.333333333333333,0.0002268236329652834,0.3333333333333333,1.030078285949732e-05,10.0,0.0003707253759109037,1.6666666666666667,3.928614719528272e-05,0.0004069150282574952,0.0003998798095574663,0.0008370913986492599,10,1
2000,sgd,CD14 Monocyte-1,CD8 + CTL-3,0.0022297156304223716,0.001012602544173887,0.003729538829693167,40,82.0,0.0025224837463566547,5.666666666666667,0.00029276811593428306,22.333333333333332,0.000651784143466475,2.0,0.00017120351021614319,58.0,0.001829475616182818,2.0,8.034061901077835e-05,0.0014531191868558978,0.0023357588002835897,0.002900268904127627,16,2
2000,sgd,CD14 Monocyte-1,CD8 Tem-1,-0.00036081795728263704,-0.0010246500822281368,0.00012322107781281478,40,22.666666666666668,0.0014822518054008916,25.666666666666668,0.001843069762683529,0.3333333333333333,1.8155410312273058e-05,0.6666666666666666,3.4056343594067864e-05,8.666666666666666,0.0005971406857095449,11.333333333333334,0.000942057709710387,-0.0005547228934209663,-0.00040431378354366024,-0.00012341719488328452,1,2
2000,sgd,CD14 Monocyte-1,CD8 Tem-2,0.0003290670251194828,-3.833173256752643e-05,0.0007561240788853034,40,24.666666666666668,0.0008900446759240802,15.0,0.0005609776508045974,4.0,9.3427736452262e-05,1.0,2.9030266463108578e-05,11.666666666666666,0.0004942601762003956,5.0,0.00022959062107006623,0.00016789240881150851,0.0005045591719861277,0.00031474949456081213,8,3
2000,sgd,CD14 Monocyte-1,Cycling T,-0.000516062968079371,-0.0019184764483122993,0.0004465124438465957,40,23.0,0.0010055157771710927,32.333333333333336,0.0015215787452504635,4.0,0.0001286564444270207,7.333333333333333,0.00022973847063162954,8.666666666666666,0.0005046207847329256,14.666666666666666,0.0009196017266076876,0.00035046409679051336,-0.0011890268992416871,-0.0007096261017869388,7,13
2000,sgd,CD14 Monocyte-1,Erythrocyte,-1.7356159237038436e-05,-0.00018813388417482724,0.00012197072435593027,40,33.333333333333336,0.0010708550616105588,36.0,0.0010882112208475973,0.0,0.0,2.0,3.187745891009879e-05,1.6666666666666667,5.592081052297149e-05,2.3333333333333335,4.1399510849911134e-05,-0.00010870906538740378,8.85647817732711e-05,-3.1924194096982635e-05,0,3
2000,sgd,CD14 Monocyte-1,GCB,4.658441788100298e-05,-0.0002201766414591716,0.00022900357936325952,40,3.0,0.00011143526094196277,0.6666666666666666,6.485084306095979e-05,1.3333333333333333,3.525129423807627e-05,0.0,0.0,1.6666666666666667,7.618396670388651e-05,0.6666666666666666,6.485084306095979e-05,-6.136530012861678e-05,7.07984807719505e-05,0.00013032007299967525,4,0
2000,sgd,CD14 Monocyte-1,Memory B-1,4.6848631997178416e-05,-0.00047219790522307,0.0006963293273332891,40,7.333333333333333,0.0005043489481979511,10.333333333333334,0.0004575003162007726,0.6666666666666666,1.528242985774356e-05,2.0,5.813338182137149e-05,3.6666666666666665,0.00030001959067300964,5.333333333333333,0.00021032000671220325,-0.0004322568294658338,0.00017627561449588667,0.00039652711096148255,2,4
2000,sgd,CD14 Monocyte-1,Memory B-2,7.59903440831595e-05,-1.363884342607747e-05,0.0002351497254393579,40,5.0,0.0001653601292046444,3.6666666666666665,8.936978512148488e-05,0.6666666666666666,3.0358227079538556e-05,0.0,0.0,1.0,5.2451538716659684e-05,0.3333333333333333,6.819421713038735e-06,0.00016623506527368572,1.619862635648497e-05,4.553734061930783e-05,1,0
2000,sgd,CD14 Monocyte-1,Naive T,0.003249896434745343,0.0014829964637616583,0.00542557901167548,40,100.33333333333333,0.005044351633388182,39.666666666666664,0.0017944551986428386,24.333333333333332,0.0010265683463896787,9.333333333333334,0.0004041514777704382,61.666666666666664,0.0033609557742617095,16.0,0.000733476208135607,0.003550935380773929,0.002109021301734784,0.004089732621727316,24,19
2000,sgd,CD14 Monocyte-1,Plasma,0.0003286430452549141,-0.001142239582019619,0.0031117701554180376,40,8.0,0.001206913280857511,21.333333333333332,0.0008782702356025972,4.333333333333333,0.0001447163033333551,5.0,0.00016900902700963286,1.3333333333333333,0.0009695559433779329,14.0,0.0006166201744467409,0.0010514441259771522,-0.0002157672048849561,0.0001502522146725461,11,10
2000,sgd,CD14 Monocyte-1,Tcm,-0.0006679232153116911,-0.002734932303628572,0.00036935699265927297,40,26.666666666666668,0.0010976258780923016,35.666666666666664,0.001765549093403993,4.0,0.00016472585719290648,8.666666666666666,0.00042261160807985934,12.666666666666666,0.0004417408853394738,17.0,0.0008517783497642121,-0.0010081934641743562,-0.0006924665826967977,-0.0003031095990639193,10,3
2000,sgd,CD14 Monocyte-1,cDC2,-0.004292890010477164,-0.016007401571833356,0.004384405542302183,40,991.0,0.045873625993267275,1158.0,0.050166516003744444,242.0,0.010354724478169723,314.0,0.011914827091655464,199.33333333333334,0.00868982056877358,294.3333333333333,0.011422607965765006,-0.01122321936788278,-0.0020672121421772094,0.00041176147862849525,37,38
2000,sgd,CD14 Monocyte-1,pDC,-0.0004863204043032969,-0.0015628525996563747,0.0004171488175531044,40,24.666666666666668,0.0010215977857557198,35.333333333333336,0.0015079181900590165,6.0,0.0001622585437798036,9.0,0.0003528265192251164,11.666666666666666,0.00041690696566165446,19.333333333333332,0.0007126593945196385,-0.0005892259965024939,0.000424179457223761,-0.0012939146736311575,8,14
