scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold3_seed13_P32_C100_xgboost,3,13,32,100,xgboost,coarse,0.9822160574665437,0.8582019866088546,2.1886974750086665,2.058096505701542,0.8927071320156097,5,5,3200,258098,3376.3359375
outer_fold,fold3_seed13_P32_C100_xgboost,3,13,32,100,xgboost,fine,0.7511642864338353,0.424623436745982,13.11292506288737,13.0318913301453,0.44429559106368743,30,26,3200,258098,3376.3359375
outer_fold,fold3_seed14_P32_C100_logistic_regression,3,14,32,100,logistic_regression,coarse,0.9797906221667738,0.8686740651621664,0.14554947521537542,0.12089818809181452,0.8998130939278475,5,5,3200,258098,3081.95703125
outer_fold,fold3_seed14_P32_C100_logistic_regression,3,14,32,100,logistic_regression,fine,0.6776766964486358,0.4666267996562659,0.8799429023638368,0.21451170183718204,0.4861776641831969,30,27,3200,258098,3081.95703125
outer_fold,fold3_seed14_P32_C100_xgboost,3,14,32,100,xgboost,coarse,0.9824795232818542,0.842920635278818,2.5255415588617325,2.1804153313860297,0.8749205806377128,5,5,3200,258098,3376.2265625
outer_fold,fold3_seed14_P32_C100_xgboost,3,14,32,100,xgboost,fine,0.7528768142333532,0.4227997806661939,13.382575960829854,13.956334029324353,0.45758183798933527,30,27,3200,258098,3376.2265625
outer_fold,fold3_seed15_P32_C100_logistic_regression,3,15,32,100,logistic_regression,coarse,0.9789033622887431,0.875542454256189,0.12323313765227795,0.11681058164685965,0.8989438353201502,5,5,3200,258098,3099.5703125
outer_fold,fold3_seed15_P32_C100_logistic_regression,3,15,32,100,logistic_regression,fine,0.6705747429271052,0.48010122113813886,0.7455932339653373,0.2183560710400343,0.49950326506299453,30,29,3200,258098,3099.5703125
outer_fold,fold3_seed15_P32_C100_xgboost,3,15,32,100,xgboost,coarse,0.9816116358902433,0.8054966993827108,2.325969500467181,2.1199378054589033,0.8218710782562448,5,5,3200,258098,3377.046875
outer_fold,fold3_seed15_P32_C100_xgboost,3,15,32,100,xgboost,fine,0.7496377345039481,0.4033411387483428,13.750848351977766,14.376963756978512,0.43408950007767083,30,29,3200,258098,3377.046875
outer_fold,fold3_seed16_P32_C100_logistic_regression,3,16,32,100,logistic_regression,coarse,0.9774814217855233,0.9258821478608172,0.17086697556078434,0.11204173695296049,0.9349336360380288,5,5,3200,258098,3074.63671875
outer_fold,fold3_seed16_P32_C100_logistic_regression,3,16,32,100,logistic_regression,fine,0.672159412316252,0.4793640012915653,0.8758129309862852,0.2073426265269518,0.4952033286396349,30,27,3200,258098,3074.63671875
outer_fold,fold3_seed16_P32_C100_xgboost,3,16,32,100,xgboost,coarse,0.9809452223573991,0.7921541723140986,2.2277457304298878,2.182241078466177,0.8022708192001364,5,5,3200,258098,3359.9453125
outer_fold,fold3_seed16_P32_C100_xgboost,3,16,32,100,xgboost,fine,0.7539771714620028,0.37976160166668677,12.753687309101224,12.903913675807416,0.4098492875557063,30,27,3200,258098,3359.9453125
outer_fold,fold3_seed17_P32_C100_logistic_regression,3,17,32,100,logistic_regression,coarse,0.9787910018675077,0.9218720566503175,0.1755369370803237,0.1175883300602436,0.931269271354928,5,5,3200,258098,3035.03125
outer_fold,fold3_seed17_P32_C100_logistic_regression,3,17,32,100,logistic_regression,fine,0.6620082294322311,0.4951508779256949,0.8606836898252368,0.1985159432515502,0.5014745011218905,30,28,3200,258098,3035.03125
outer_fold,fold3_seed17_P32_C100_xgboost,3,17,32,100,xgboost,coarse,0.9821269440290122,0.8239876444495025,2.471068151295185,2.178993600420654,0.850473453018864,5,5,3200,258098,3380.53125
outer_fold,fold3_seed17_P32_C100_xgboost,3,17,32,100,xgboost,fine,0.7531674015296516,0.4321121948451232,13.18057306855917,14.754606083035469,0.4578228795149926,30,28,3200,258098,3380.53125
outer_fold,fold3_seed18_P32_C100_logistic_regression,3,18,32,100,logistic_regression,coarse,0.9787755038783718,0.9086529937706225,0.15577031392604113,0.11385210696607828,0.9212355193339834,5,5,3200,258098,3047.796875
outer_fold,fold3_seed18_P32_C100_logistic_regression,3,18,32,100,logistic_regression,fine,0.6685096358747452,0.45683201856752836,0.9847576878964901,0.2145191403105855,0.47550847047811423,30,27,3200,258098,3047.796875
