outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,5,8,100,coarse,1,Myeloid,8,42,True
0,5,8,100,coarse,2,NK,8,119,True
0,5,8,100,coarse,3,Other,1,2,True
0,5,8,100,coarse,4,T,8,579,True
0,5,8,100,fine,0,ASDC,0,0,False
0,5,8,100,fine,1,B intermediate,6,18,True
0,5,8,100,fine,2,B memory,7,14,True
0,5,8,100,fine,3,B naive,8,25,True
0,5,8,100,fine,4,CD14 Mono,6,27,True
0,5,8,100,fine,5,CD16 Mono,4,11,True
0,5,8,100,fine,6,CD4 CTL,6,29,True
0,5,8,100,fine,7,CD4 Naive,8,138,True
0,5,8,100,fine,8,CD4 Proliferating,1,1,True
0,5,8,100,fine,9,CD4 TCM,8,191,True
0,5,8,100,fine,10,CD4 TEM,6,12,True
0,5,8,100,fine,11,CD8 Naive,6,14,True
0,5,8,100,fine,12,CD8 Proliferating,1,1,True
0,5,8,100,fine,13,CD8 TCM,4,8,True
0,5,8,100,fine,14,CD8 TEM,8,158,True
0,5,8,100,fine,15,Eryth,0,0,False
0,5,8,100,fine,16,HSPC,0,0,False
0,5,8,100,fine,17,ILC,0,0,False
0,5,8,100,fine,18,MAIT,3,5,True
0,5,8,100,fine,19,NK,8,116,True
0,5,8,100,fine,20,NK Proliferating,1,2,True
0,5,8,100,fine,21,NK_CD56bright,1,1,True
0,5,8,100,fine,22,Plasmablast,1,1,True
0,5,8,100,fine,23,Platelet,1,2,True
0,5,8,100,fine,24,Treg,7,13,True
0,5,8,100,fine,25,cDC1,0,0,False
0,5,8,100,fine,26,cDC2,3,4,True
0,5,8,100,fine,27,dnT,2,3,True
0,5,8,100,fine,28,gdT,4,6,True
0,5,8,100,fine,29,pDC,0,0,False
0,6,8,100,coarse,0,B,8,73,True
0,6,8,100,coarse,1,Myeloid,8,38,True
0,6,8,100,coarse,2,NK,8,86,True
0,6,8,100,coarse,3,Other,2,2,True
0,6,8,100,coarse,4,T,8,601,True
0,6,8,100,fine,0,ASDC,0,0,False
0,6,8,100,fine,1,B intermediate,8,18,True
0,6,8,100,fine,2,B memory,8,21,True
0,6,8,100,fine,3,B naive,8,34,True
0,6,8,100,fine,4,CD14 Mono,6,18,True
0,6,8,100,fine,5,CD16 Mono,6,17,True
0,6,8,100,fine,6,CD4 CTL,5,18,True
0,6,8,100,fine,7,CD4 Naive,8,146,True
0,6,8,100,fine,8,CD4 Proliferating,0,0,False
0,6,8,100,fine,9,CD4 TCM,8,212,True
0,6,8,100,fine,10,CD4 TEM,8,30,True
0,6,8,100,fine,11,CD8 Naive,8,34,True
0,6,8,100,fine,12,CD8 Proliferating,0,0,False
0,6,8,100,fine,13,CD8 TCM,5,11,True
0,6,8,100,fine,14,CD8 TEM,8,131,True
0,6,8,100,fine,15,Eryth,0,0,False
0,6,8,100,fine,16,HSPC,2,2,True
0,6,8,100,fine,17,ILC,0,0,False
0,6,8,100,fine,18,MAIT,3,4,True
0,6,8,100,fine,19,NK,8,82,True
0,6,8,100,fine,20,NK Proliferating,1,1,True
0,6,8,100,fine,21,NK_CD56bright,3,3,True
0,6,8,100,fine,22,Plasmablast,0,0,False
0,6,8,100,fine,23,Platelet,0,0,False
0,6,8,100,fine,24,Treg,4,7,True
0,6,8,100,fine,25,cDC1,0,0,False
0,6,8,100,fine,26,cDC2,1,1,True
0,6,8,100,fine,27,dnT,1,1,True
0,6,8,100,fine,28,gdT,5,7,True
0,6,8,100,fine,29,pDC,2,2,True
0,7,8,100,coarse,0,B,8,92,True
0,7,8,100,coarse,1,Myeloid,8,42,True
0,7,8,100,coarse,2,NK,8,136,True
0,7,8,100,coarse,3,Other,3,7,True
0,7,8,100,coarse,4,T,8,523,True
0,7,8,100,fine,0,ASDC,0,0,False
0,7,8,100,fine,1,B intermediate,8,23,True
0,7,8,100,fine,2,B memory,7,23,True
0,7,8,100,fine,3,B naive,8,43,True
0,7,8,100,fine,4,CD14 Mono,6,28,True
0,7,8,100,fine,5,CD16 Mono,6,12,True
0,7,8,100,fine,6,CD4 CTL,4,6,True
0,7,8,100,fine,7,CD4 Naive,8,151,True
0,7,8,100,fine,8,CD4 Proliferating,1,1,True
0,7,8,100,fine,9,CD4 TCM,8,204,True
0,7,8,100,fine,10,CD4 TEM,5,12,True
0,7,8,100,fine,11,CD8 Naive,7,22,True
0,7,8,100,fine,12,CD8 Proliferating,0,0,False
0,7,8,100,fine,13,CD8 TCM,7,13,True
0,7,8,100,fine,14,CD8 TEM,8,79,True
0,7,8,100,fine,15,Eryth,0,0,False
0,7,8,100,fine,16,HSPC,1,1,True
0,7,8,100,fine,17,ILC,0,0,False
0,7,8,100,fine,18,MAIT,4,8,True
0,7,8,100,fine,19,NK,8,130,True
0,7,8,100,fine,20,NK Proliferating,1,3,True
0,7,8,100,fine,21,NK_CD56bright,3,3,True
0,7,8,100,fine,22,Plasmablast,2,3,True
0,7,8,100,fine,23,Platelet,2,6,True
0,7,8,100,fine,24,Treg,7,15,True
0,7,8,100,fine,25,cDC1,0,0,False
0,7,8,100,fine,26,cDC2,1,1,True
0,7,8,100,fine,27,dnT,3,5,True
0,7,8,100,fine,28,gdT,3,7,True
0,7,8,100,fine,29,pDC,1,1,True
0,8,8,100,coarse,0,B,8,111,True
0,8,8,100,coarse,1,Myeloid,8,90,True
0,8,8,100,coarse,2,NK,8,101,True
0,8,8,100,coarse,3,Other,3,3,True
0,8,8,100,coarse,4,T,8,495,True
0,8,8,100,fine,0,ASDC,0,0,False
0,8,8,100,fine,1,B intermediate,6,25,True
0,8,8,100,fine,2,B memory,7,31,True
0,8,8,100,fine,3,B naive,8,55,True
0,8,8,100,fine,4,CD14 Mono,7,66,True
0,8,8,100,fine,5,CD16 Mono,6,17,True
0,8,8,100,fine,6,CD4 CTL,3,5,True
0,8,8,100,fine,7,CD4 Naive,8,138,True
0,8,8,100,fine,8,CD4 Proliferating,0,0,False
0,8,8,100,fine,9,CD4 TCM,8,164,True
0,8,8,100,fine,10,CD4 TEM,7,20,True
0,8,8,100,fine,11,CD8 Naive,6,39,True
0,8,8,100,fine,12,CD8 Proliferating,0,0,False
0,8,8,100,fine,13,CD8 TCM,3,5,True
0,8,8,100,fine,14,CD8 TEM,8,94,True
0,8,8,100,fine,15,Eryth,0,0,False
0,8,8,100,fine,16,HSPC,3,3,True
0,8,8,100,fine,17,ILC,0,0,False
0,8,8,100,fine,18,MAIT,6,13,True
0,8,8,100,fine,19,NK,8,96,True
0,8,8,100,fine,20,NK Proliferating,1,1,True
0,8,8,100,fine,21,NK_CD56bright,3,4,True
0,8,8,100,fine,22,Plasmablast,0,0,False
0,8,8,100,fine,23,Platelet,0,0,False
0,8,8,100,fine,24,Treg,6,10,True
0,8,8,100,fine,25,cDC1,1,1,True
0,8,8,100,fine,26,cDC2,2,3,True
0,8,8,100,fine,27,dnT,0,0,False
0,8,8,100,fine,28,gdT,5,7,True
0,8,8,100,fine,29,pDC,3,3,True
0,9,8,100,coarse,0,B,8,86,True
0,9,8,100,coarse,1,Myeloid,8,47,True
0,9,8,100,coarse,2,NK,8,126,True
0,9,8,100,coarse,3,Other,4,5,True
0,9,8,100,coarse,4,T,8,536,True
0,9,8,100,fine,0,ASDC,0,0,False
0,9,8,100,fine,1,B intermediate,7,25,True
0,9,8,100,fine,2,B memory,6,26,True
0,9,8,100,fine,3,B naive,8,31,True
0,9,8,100,fine,4,CD14 Mono,5,32,True
0,9,8,100,fine,5,CD16 Mono,7,13,True
0,9,8,100,fine,6,CD4 CTL,2,6,True
0,9,8,100,fine,7,CD4 Naive,8,138,True
0,9,8,100,fine,8,CD4 Proliferating,1,1,True
0,9,8,100,fine,9,CD4 TCM,8,181,True
0,9,8,100,fine,10,CD4 TEM,8,18,True
0,9,8,100,fine,11,CD8 Naive,8,21,True
0,9,8,100,fine,12,CD8 Proliferating,0,0,False
0,9,8,100,fine,13,CD8 TCM,6,14,True
0,9,8,100,fine,14,CD8 TEM,8,107,True
0,9,8,100,fine,15,Eryth,1,2,True
0,9,8,100,fine,16,HSPC,2,2,True
0,9,8,100,fine,17,ILC,0,0,False
0,9,8,100,fine,18,MAIT,3,8,True
0,9,8,100,fine,19,NK,8,118,True
0,9,8,100,fine,20,NK Proliferating,2,3,True
0,9,8,100,fine,21,NK_CD56bright,4,5,True
0,9,8,100,fine,22,Plasmablast,3,4,True
0,9,8,100,fine,23,Platelet,1,1,True
0,9,8,100,fine,24,Treg,7,19,True
0,9,8,100,fine,25,cDC1,0,0,False
0,9,8,100,fine,26,cDC2,2,2,True
0,9,8,100,fine,27,dnT,1,1,True
0,9,8,100,fine,28,gdT,5,22,True
0,9,8,100,fine,29,pDC,0,0,False
0,10,8,100,coarse,0,B,8,83,True
0,10,8,100,coarse,1,Myeloid,8,44,True
0,10,8,100,coarse,2,NK,8,102,True
0,10,8,100,coarse,3,Other,2,2,True
0,10,8,100,coarse,4,T,8,569,True
0,10,8,100,fine,0,ASDC,0,0,False
0,10,8,100,fine,1,B intermediate,6,16,True
0,10,8,100,fine,2,B memory,5,23,True
0,10,8,100,fine,3,B naive,8,43,True
0,10,8,100,fine,4,CD14 Mono,5,27,True
0,10,8,100,fine,5,CD16 Mono,6,11,True
0,10,8,100,fine,6,CD4 CTL,6,19,True
0,10,8,100,fine,7,CD4 Naive,8,189,True
0,10,8,100,fine,8,CD4 Proliferating,2,2,True
0,10,8,100,fine,9,CD4 TCM,8,164,True
0,10,8,100,fine,10,CD4 TEM,8,15,True
0,10,8,100,fine,11,CD8 Naive,7,26,True
0,10,8,100,fine,12,CD8 Proliferating,0,0,False
0,10,8,100,fine,13,CD8 TCM,6,9,True
0,10,8,100,fine,14,CD8 TEM,8,119,True
0,10,8,100,fine,15,Eryth,0,0,False
0,10,8,100,fine,16,HSPC,1,1,True
0,10,8,100,fine,17,ILC,1,1,True
0,10,8,100,fine,18,MAIT,2,2,True
0,10,8,100,fine,19,NK,8,93,True
0,10,8,100,fine,20,NK Proliferating,1,1,True
0,10,8,100,fine,21,NK_CD56bright,4,7,True
0,10,8,100,fine,22,Plasmablast,1,1,True
0,10,8,100,fine,23,Platelet,1,1,True
0,10,8,100,fine,24,Treg,8,15,True
0,10,8,100,fine,25,cDC1,0,0,False
0,10,8,100,fine,26,cDC2,2,2,True
0,10,8,100,fine,27,dnT,0,0,False
0,10,8,100,fine,28,gdT,5,9,True
0,10,8,100,fine,29,pDC,3,4,True
0,11,8,100,coarse,0,B,8,77,True
0,11,8,100,coarse,1,Myeloid,7,23,True
0,11,8,100,coarse,2,NK,7,151,True
0,11,8,100,coarse,3,Other,1,1,True
0,11,8,100,coarse,4,T,8,548,True
0,11,8,100,fine,0,ASDC,0,0,False
0,11,8,100,fine,1,B intermediate,6,9,True
0,11,8,100,fine,2,B memory,5,12,True
0,11,8,100,fine,3,B naive,8,56,True
0,11,8,100,fine,4,CD14 Mono,4,12,True
0,11,8,100,fine,5,CD16 Mono,5,10,True
0,11,8,100,fine,6,CD4 CTL,3,9,True
0,11,8,100,fine,7,CD4 Naive,8,185,True
0,11,8,100,fine,8,CD4 Proliferating,1,1,True
0,11,8,100,fine,9,CD4 TCM,8,194,True
0,11,8,100,fine,10,CD4 TEM,5,19,True
0,11,8,100,fine,11,CD8 Naive,5,14,True
0,11,8,100,fine,12,CD8 Proliferating,0,0,False
0,11,8,100,fine,13,CD8 TCM,6,15,True
0,11,8,100,fine,14,CD8 TEM,8,85,True
0,11,8,100,fine,15,Eryth,0,0,False
0,11,8,100,fine,16,HSPC,1,1,True
0,11,8,100,fine,17,ILC,1,1,True
0,11,8,100,fine,18,MAIT,3,4,True
0,11,8,100,fine,19,NK,7,145,True
0,11,8,100,fine,20,NK Proliferating,3,3,True
0,11,8,100,fine,21,NK_CD56bright,2,2,True
0,11,8,100,fine,22,Plasmablast,0,0,False
0,11,8,100,fine,23,Platelet,0,0,False
0,11,8,100,fine,24,Treg,7,14,True
0,11,8,100,fine,25,cDC1,0,0,False
0,11,8,100,fine,26,cDC2,0,0,False
0,11,8,100,fine,27,dnT,1,2,True
0,11,8,100,fine,28,gdT,3,6,True
0,11,8,100,fine,29,pDC,1,1,True
0,12,8,100,coarse,0,B,8,62,True
0,12,8,100,coarse,1,Myeloid,6,25,True
0,12,8,100,coarse,2,NK,8,93,True
0,12,8,100,coarse,3,Other,3,3,True
0,12,8,100,coarse,4,T,8,617,True
0,12,8,100,fine,0,ASDC,0,0,False
0,12,8,100,fine,1,B intermediate,7,12,True
0,12,8,100,fine,2,B memory,5,13,True
0,12,8,100,fine,3,B naive,8,33,True
0,12,8,100,fine,4,CD14 Mono,6,13,True
0,12,8,100,fine,5,CD16 Mono,4,7,True
0,12,8,100,fine,6,CD4 CTL,2,7,True
0,12,8,100,fine,7,CD4 Naive,8,257,True
0,12,8,100,fine,8,CD4 Proliferating,0,0,False
0,12,8,100,fine,9,CD4 TCM,8,166,True
0,12,8,100,fine,10,CD4 TEM,5,16,True
0,12,8,100,fine,11,CD8 Naive,6,42,True
0,12,8,100,fine,12,CD8 Proliferating,2,2,True
0,12,8,100,fine,13,CD8 TCM,6,13,True
0,12,8,100,fine,14,CD8 TEM,8,71,True
0,12,8,100,fine,15,Eryth,0,0,False
0,12,8,100,fine,16,HSPC,3,3,True
0,12,8,100,fine,17,ILC,0,0,False
0,12,8,100,fine,18,MAIT,2,3,True
0,12,8,100,fine,19,NK,8,88,True
0,12,8,100,fine,20,NK Proliferating,1,1,True
0,12,8,100,fine,21,NK_CD56bright,3,4,True
0,12,8,100,fine,22,Plasmablast,4,4,True
0,12,8,100,fine,23,Platelet,0,0,False
0,12,8,100,fine,24,Treg,8,31,True
0,12,8,100,fine,25,cDC1,0,0,False
0,12,8,100,fine,26,cDC2,2,4,True
0,12,8,100,fine,27,dnT,2,2,True
0,12,8,100,fine,28,gdT,4,7,True
0,12,8,100,fine,29,pDC,1,1,True
0,13,8,100,coarse,0,B,8,86,True
0,13,8,100,coarse,1,Myeloid,8,43,True
0,13,8,100,coarse,2,NK,8,99,True
0,13,8,100,coarse,3,Other,3,4,True
0,13,8,100,coarse,4,T,8,568,True
0,13,8,100,fine,0,ASDC,0,0,False
0,13,8,100,fine,1,B intermediate,8,18,True
0,13,8,100,fine,2,B memory,7,19,True
0,13,8,100,fine,3,B naive,8,48,True
0,13,8,100,fine,4,CD14 Mono,8,27,True
0,13,8,100,fine,5,CD16 Mono,6,14,True
0,13,8,100,fine,6,CD4 CTL,4,6,True
0,13,8,100,fine,7,CD4 Naive,8,149,True
0,13,8,100,fine,8,CD4 Proliferating,0,0,False
0,13,8,100,fine,9,CD4 TCM,8,197,True
0,13,8,100,fine,10,CD4 TEM,8,39,True
0,13,8,100,fine,11,CD8 Naive,7,38,True
0,13,8,100,fine,12,CD8 Proliferating,1,1,True
0,13,8,100,fine,13,CD8 TCM,5,11,True
0,13,8,100,fine,14,CD8 TEM,8,90,True
0,13,8,100,fine,15,Eryth,0,0,False
0,13,8,100,fine,16,HSPC,0,0,False
0,13,8,100,fine,17,ILC,1,1,True
