seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
0,8,800,logistic_regression,fine,0.6849103102375387,0.5474026744990641,0.5357026119457314,0.6853727377633082,0.5467941273672366,0.535044249618389,0.432260496119826,0.6798263896994334,0.8327166710575021,0.679933103675963,28.4,27,5,925,1199468
0,8,800,xgboost,coarse,0.984431431267862,0.8846840078384073,0.8530433669978892,0.9842264018200609,0.8852895886750834,0.8536290493917258,0.8592885270881776,0.7599052246495946,0.8739211883935212,0.509382492905188,5.0,5,5,925,1199468
0,8,800,xgboost,fine,0.7634109455191802,0.4825148493004336,0.44663089449143006,0.7651538181979388,0.48243797829258317,0.4463301059269594,0.4052718607480255,0.7599052246495946,0.8739211883935212,0.509382492905188,28.4,27,5,925,1199468
1,8,800,logistic_regression,coarse,0.9808598478658872,0.9241377604330232,0.9223309221335458,0.9805467489141184,0.9242981096139651,0.9226398372620703,0.8977315253859955,0.6757595867501259,0.8307670567284829,0.6865293613501986,5.0,5,5,925,1199468
1,8,800,logistic_regression,fine,0.6806742655910787,0.5330723612962179,0.5194491260839884,0.6809469337986034,0.5315863909071691,0.5184942484142226,0.4290187896790404,0.6757595867501259,0.8307670567284829,0.6865293613501986,27.8,26,5,925,1199468
1,8,800,xgboost,coarse,0.9846181807267889,0.8929538560516133,0.8621222906609693,0.9844053546740259,0.8930042169194434,0.8621517791673531,0.8623543800134365,0.7622370917773547,0.8750825365912221,0.5046954149673022,5.0,5,5,925,1199468
1,8,800,xgboost,fine,0.7655468924556553,0.5025041666376845,0.46166164268255666,0.7672149852424407,0.503053422664671,0.4620501215572922,0.4143028919684963,0.7622370917773547,0.8750825365912221,0.5046954149673022,27.8,26,5,925,1199468
2,8,800,logistic_regression,coarse,0.981283368960239,0.932822734376664,0.9258842068446512,0.9808978984625941,0.9329221241259587,0.9260275086522805,0.9068322024984553,0.6760914005208976,0.8310200855712699,0.6878282705332698,5.0,5,5,925,1199468
2,8,800,logistic_regression,fine,0.6807568021823008,0.5413907880505641,0.5279583749488947,0.6810013150180165,0.5405529316042758,0.5271587333682557,0.43164804685797414,0.6760914005208976,0.8310200855712699,0.6878282705332698,27.8,27,5,925,1199468
2,8,800,xgboost,coarse,0.9841938259294954,0.8875309532639433,0.8542730376388106,0.9839158014660466,0.8879748910511263,0.8546639201421374,0.8606737785833706,0.7628340230835671,0.8752196807251215,0.5029546432251631,5.0,5,5,925,1199468
2,8,800,xgboost,fine,0.7662455355207475,0.5000858065808589,0.46587945880926923,0.7677576938189961,0.5007581163703373,0.4661927749351957,0.4170274724698653,0.7628340230835671,0.8752196807251215,0.5029546432251631,27.8,27,5,925,1199468
3,8,800,logistic_regression,coarse,0.9809573911100588,0.929127487771809,0.9194276042905127,0.9806178679224941,0.9293454395778292,0.9195040557978331,0.9032251013285423,0.6751518173056722,0.8303893892959212,0.6899775567168112,5.0,5,5,925,1199468
3,8,800,logistic_regression,fine,0.6798213874817836,0.5387761727390348,0.5239976309837153,0.6802850614130512,0.5385150126712436,0.5238644809055742,0.42734758227608016,0.6751518173056722,0.8303893892959212,0.6899775567168112,28.4,27,5,925,1199468
3,8,800,xgboost,coarse,0.9847123891591939,0.8888216863988652,0.8560596692756757,0.9844886424794005,0.8889413510759393,0.856191791278866,0.8622793821929678,0.7598660406113377,0.8739762127876692,0.5093508121934057,5.0,5,5,925,1199468
3,8,800,xgboost,fine,0.7632400364161445,0.49627889255252444,0.45586836488235755,0.7650150322336094,0.49615685643212953,0.4556998055254088,0.41481291861815106,0.7598660406113377,0.8739762127876692,0.5093508121934057,28.4,27,5,925,1199468
4,8,800,logistic_regression,coarse,0.9812758656337643,0.9365724439131071,0.9264474913963697,0.980948596592369,0.9365616336779423,0.926739023405565,0.911051431143565,0.6749525623026208,0.8304498327591899,0.6894323149929802,5.0,5,5,925,1199468
4,8,800,logistic_regression,fine,0.6796237998846155,0.5625869979980268,0.5500811295267193,0.6801835018152765,0.5609373213440118,0.5489203839403504,0.4396156533385457,0.6749525623026208,0.8304498327591899,0.6894323149929802,29.2,28,5,925,1199468
4,8,800,xgboost,coarse,0.9846665354974038,0.8851016059961843,0.8525965055389912,0.984459651477697,0.8856684945258438,0.853193281360156,0.8599658353111763,0.7615968079181771,0.8747799024234078,0.5052656677793822,5.0,5,5,925,1199468
4,8,800,xgboost,fine,0.7648932693494116,0.5032110522684698,0.462157182399176,0.7663959498373197,0.5027632923922691,0.46170396279012926,0.4179019051633885,0.7615968079181771,0.8747799024234078,0.5052656677793822,29.2,28,5,925,1199468
5,8,800,logistic_regression,coarse,0.9799902956977593,0.9329159982829747,0.9216444428739173,0.9796484700976668,0.9326083667556266,0.9216236139322531,0.9065633362682836,0.6681928988518243,0.8266318901379611,0.7038470388538919,5.0,5,5,925,1199468
5,8,800,logistic_regression,fine,0.6732734845781629,0.5464055647203584,0.5313276176787552,0.674347037099452,0.5458514279743935,0.5307458280822012,0.43365290511020027,0.6681928988518243,0.8266318901379611,0.7038470388538919,28.6,28,5,925,1199468
5,8,800,xgboost,coarse,0.9849308193299029,0.8999768877403336,0.8677158326683276,0.9847317130360393,0.8999074623615402,0.8676708427798173,0.8742448231587011,0.7619903157066299,0.875078368076514,0.5060910336916032,5.0,5,5,925,1199468
5,8,800,xgboost,fine,0.7652259168231249,0.5039092791238604,0.4617808283222032,0.7669800934389386,0.5037159163045685,0.46145328115654916,0.41944109601676643,0.7619903157066299,0.875078368076514,0.5060910336916032,28.6,28,5,925,1199468
6,8,800,logistic_regression,coarse,0.9809490540806424,0.9289440852873391,0.9108008740196499,0.9806124646315318,0.9292018996318732,0.9111681788722118,0.9001425674553647,0.6815955073415881,0.8335295314255987,0.6772535824215402,5.0,5,5,925,1199468
6,8,800,logistic_regression,fine,0.686110008770555,0.5543630715698666,0.5324895179508207,0.6864371338483326,0.552916939982724,0.5313649014804877,0.43330025717798953,0.6815955073415881,0.8335295314255987,0.6772535824215402,28.6,27,5,925,1199468
6,8,800,xgboost,coarse,0.9845990055591313,0.8765627169529229,0.8444024336233641,0.9843705750994122,0.8779599137214549,0.8455571330769505,0.8506264428928955,0.762521384480453,0.8753084700884058,0.5030713616369924,5.0,5,5,925,1199468
6,8,800,xgboost,fine,0.7660179346176805,0.5036520533374673,0.461856241255722,0.7676200003536051,0.503935673167775,0.4620870611350606,0.4159331360066479,0.762521384480453,0.8753084700884058,0.5030713616369924,28.6,27,5,925,1199468
7,8,800,logistic_regression,coarse,0.9796126282651976,0.9220140017465098,0.9120973610962843,0.979257758060268,0.9218016410258792,0.9118780990389194,0.8947941442410271,0.6763248373445561,0.8306065689122177,0.688837051092651,5.0,5,5,925,1199468
7,8,800,logistic_regression,fine,0.6816005095592379,0.5406707743614609,0.5210107597479905,0.6824609394544584,0.5408053419870593,0.5210425024706878,0.42408671353995203,0.6763248373445561,0.8306065689122177,0.688837051092651,28.8,28,5,925,1199468
7,8,800,xgboost,coarse,0.9838620121587237,0.8911328058931177,0.8585256133563781,0.9835890479337165,0.8919730676342189,0.8593107822215063,0.8640622846802517,0.7610907502326031,0.8742263236701604,0.5077117522101465,5.0,5,5,925,1199468
7,8,800,xgboost,fine,0.7645906351815972,0.49375942926161387,0.4539294047617543,0.7660857360291444,0.494090003739289,0.45408897964716444,0.41428759932454573,0.7610907502326031,0.8742263236701604,0.5077117522101465,28.8,28,5,925,1199468
8,8,800,logistic_regression,coarse,0.981189160527834,0.9324397468914348,0.9202539066822133,0.9808119017258962,0.933001014225787,0.9209482101806667,0.9066758107059381,0.6791936091667305,0.8324390479779369,0.6822658045066646,5.0,5,5,925,1199468
8,8,800,logistic_regression,fine,0.6836889354280398,0.5456725220848603,0.5340144529176196,0.6845580551619271,0.5455328155301575,0.5340887011944987,0.4344000905531571,0.6791936091667305,0.8324390479779369,0.6822658045066646,28.6,28,5,925,1199468
