model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.015626115429328142,0.004136173646167967,0.016076764415398896,0.00858573957164819,0.022716861838983533,0.008368567498446569,0.023412585549680287,1.0
logistic_regression,fine,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.013802834978130271,0.0023912257897148034,0.013981927240462221,0.009313652443850745,0.017223841129514344,0.008582413426330473,0.01739254805979754,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.013924645079751385,0.004083345117514013,0.013954300710650944,0.00612447760824871,0.020835961612405033,0.0053569586042515605,0.021591398337711967,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.013769531412035818,0.0032228598385539266,0.01452331457872575,0.008279940685409168,0.018543246784998836,0.0070943842117694444,0.018769074678186934,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.013612657478275511,0.0030120713799323823,0.014162805807208065,0.007437914559443123,0.017482368964883057,0.007082965288517498,0.017982496943801454,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.012443533216878248,0.0030555591098850895,0.012502182202608327,0.006765693636779849,0.01723730349878912,0.00495420209720325,0.017913657483202436,1.0
logistic_regression,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.017114464616666047,0.0042004714054926905,0.017467580131012662,0.009345688130223764,0.023644271440698042,0.008032482775959804,0.02382484895763322,1.0
logistic_regression,fine,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.014172966360721401,0.0029133781083935297,0.014674464682446313,0.008145753455960495,0.01757243765202656,0.006504198595540312,0.017766308843064883,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.029207533899356312,0.006945967962123605,0.028953158817949146,0.014767096501837168,0.03978606140553348,0.0069577101467805935,0.04023652577718856,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.03045775929422233,0.008080373265696864,0.031230216788273757,0.013990383074066085,0.03973287540924926,0.009851537379706343,0.0404895216479349,1.0
