model,task,metric,design,fixed_axis,fixed_value,low_patient_budget,low_cells_per_patient,high_patient_budget,high_cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.012675031450852099,0.004860523715696791,0.0036358594517974154,0.02209200207178293,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.004528461724145649,0.004223549569851941,-0.002261240863128169,0.012228283140575731,0.9,-0.0006762836321905899,0.009793962298733225
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.0061339923869871416,0.0035634426827454383,0.0007197403435463212,0.012209379461033877,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.008269880738823124,0.00769392966884443,-0.0015604718322573998,0.02637952965454897,0.9,0.002692905631200944,0.014102178962183704
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.009576875908543515,0.004608247494107107,0.0027076318533047223,0.019682086896554513,1.0,,
logistic_regression,coarse,macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,-0.0024080886134964425,0.0045710437263696045,-0.009793198818993435,0.005454984065867771,0.35,-0.007739182472319854,0.0033369008628023303
logistic_regression,coarse,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.0009199878334090389,0.0038842660866627563,-0.0052606235705268635,0.007472081368265127,0.65,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.007966472138329277,0.00394139800809207,0.0028873488821537134,0.01677436623511016,1.0,0.0050363045533305725,0.010821126392972134
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.006951952875414507,0.0034657493180333615,0.0017213290050450767,0.012971707376007937,1.0,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.008388791882830125,0.003992055145363544,0.0003054161463737063,0.014292204261100243,0.95,0.005612332101312731,0.011152218199239342
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.005626510921309172,0.003014993127225345,-0.000572223299875347,0.010172957870751453,0.95,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.006988411648378515,0.003712296256418765,0.0012448585328566145,0.01362480829822215,1.0,0.004414376066361766,0.009076496539209465
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.003507054828352818,0.0028245217401036767,-0.0020273726190709737,0.008543526604619841,0.9,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,8,8,800,8,1600,20,0.0045483954852326095,0.0031141397403876047,-0.0023779640908078324,0.009132958843960802,0.9,0.0021089658421202125,0.006546826324583936
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,800,8,1600,20,0.0015794340421904057,0.0027880345534394176,-0.004102431362190329,0.0057324537504624615,0.8,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,100,16,200,20,0.01272512212493639,0.002884309091217608,0.007844678978874847,0.016914487138284463,1.0,0.010190696440024316,0.015361460653190493
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,100,16,200,20,0.00940592333392165,0.0023237809078283586,0.005787592842382467,0.013285376699821433,1.0,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,200,16,400,20,0.008711624437496467,0.0025853227657378045,0.004412914817641347,0.012893788919997233,1.0,0.006357553989486795,0.010500095420900437
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,200,16,400,20,0.005270326305437875,0.002422299592704912,0.0009190146801134878,0.009370741710850209,1.0,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,400,16,800,20,0.005633335151914426,0.001681422129990073,0.002341190403710587,0.008861082702373608,1.0,0.003325049966469919,0.007648626685887323
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,400,16,800,20,0.0032042385904348324,0.0018960580278325767,0.00012766132300726102,0.006429313140870763,0.95,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,16,16,800,16,1600,20,-0.002108881873016283,0.001987588996154069,-0.005856545593829756,0.00012885332931728244,0.05,-0.004960524902463427,0.0005608809478129462
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,16,16,800,16,1600,20,-0.001518721500118178,0.0013610671783991105,-0.0038475644336360775,0.0002217612933820152,0.2,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,100,32,200,20,0.010357395004276732,0.0020296278681897094,0.007136335172563219,0.014219774066179166,1.0,0.007777664190941375,0.012378787265526716
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,100,32,200,20,0.006927029292452111,0.0017581007291238365,0.003620035886448747,0.009949505614562749,1.0,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,200,32,400,20,0.0052503697648150546,0.0016846980113682782,0.002122549343330583,0.007742804021302385,1.0,0.0027885634743089805,0.007608542166506723
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,200,32,400,20,0.0037335358196602998,0.0013412112628504742,0.0013376679963415892,0.005841013380240445,1.0,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,400,32,800,20,-0.001272284262278861,0.0019829390982311758,-0.005067235987716787,0.0015721012235876694,0.25,-0.003938857268215154,0.0016625751482160444
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,400,32,800,20,-0.0008053627546100089,0.0012819778117684423,-0.0028758746001226244,0.0012080851199876075,0.3,,
logistic_regression,coarse,macro_f1,matched_cell_doubling,patient_budget,32,32,800,32,1600,20,-0.009045432210658375,0.0015948836611476558,-0.011707574338331814,-0.005726120025950881,0.0,-0.01249465016426684,-0.005204907537156522
logistic_regression,coarse,mean_patient_macro_f1,matched_cell_doubling,patient_budget,32,32,800,32,1600,20,-0.006732726053696281,0.0012611260394595162,-0.008557590584471992,-0.004784612858054098,0.0,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.004511840878121259,0.0020172146020956193,0.0016143868859727166,0.007695111141724505,1.0,0.0031112900509202603,0.005523260033563424
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,8,400,16,200,20,0.0022360644127752253,0.0010968966503806159,0.0004545336328897634,0.004102753112771018,1.0,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.00196499405921634,0.001997434044718446,-0.0008386055650339244,0.006249625160828641,0.9,-0.0005108126223137066,0.0041765503828561186
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,3200,16,200,32,100,20,0.001333539857075245,0.0011396885122183877,-0.00025467193320560344,0.003714529102619952,0.9,,
logistic_regression,fine,macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.0064768349373376,0.0026927611238899193,0.002230851961014646,0.011720049091390874,1.0,0.0035578822307026927,0.008963188403883776
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,3200,8,400,32,100,20,0.00356960426985047,0.0014384029480833049,0.001616649913419321,0.005745589871578471,1.0,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.004306456213161983,0.002682018375994176,0.00040652909473592774,0.009409493907983624,1.0,0.0026782232912265793,0.005237449344811734
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,8,800,16,400,20,0.0019886059122623556,0.0016548575411164449,-0.0009968960694360669,0.004869862051426423,0.85,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.002945489723486957,0.0016949555884879807,9.409795619722032e-05,0.0061109787499504875,0.95,0.0009917340739959677,0.005164929369464813
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,6400,16,400,32,200,20,0.0016907032847837354,0.0010824722521860883,-0.00011289120731758362,0.003101653163217857,0.9,,
logistic_regression,fine,macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.007251945936648942,0.002703791208073089,0.0028443717900696708,0.010963436738277377,1.0,0.004124062623193378,0.009925068045214938
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,6400,8,800,32,200,20,0.003679309197046091,0.001660634856670219,0.0009882588297161177,0.006630757729899554,1.0,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.004913582701585094,0.0035779664173050726,-0.0006636820920076477,0.011351340719301209,0.95,0.002927392472357183,0.006253849902656364
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,8,1600,16,800,20,0.0024610950497959295,0.0017462702889391286,-0.00026221680507393765,0.005140259433948209,0.95,,
logistic_regression,fine,macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.0033473043876245403,0.0018455335216620054,-0.0005901333888262125,0.005927003013508751,0.95,0.001099897678186559,0.005386630199295097
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_doubling,total_training_cells,12800,16,800,32,400,20,0.002050540733540385,0.0012929340959380662,-0.00021107698042634372,0.004116072186419315,0.95,,
logistic_regression,fine,macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.008260887089209634,0.0033070600966707987,0.002767120789121896,0.01449865950189325,1.0,0.004133042152428502,0.011473590925868103
logistic_regression,fine,mean_patient_macro_f1,fixed_total_patient_8_to_32,total_training_cells,12800,8,1600,32,400,20,0.004511635783336315,0.00209234473403893,0.0013114451006864649,0.007890322328334405,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.007704860609696287,0.0028418075817688644,0.003102363428291249,0.012425347319808896,1.0,0.005025559148853919,0.008834150508809178
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,8,100,16,100,20,0.004578320077445221,0.0008581903432972809,0.0029174565004530407,0.0057620624210952195,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.007049452589818464,0.0020307221534525063,0.003997314156327595,0.01085846159085129,1.0,0.003926984102209963,0.008716127698243833
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,100,16,100,32,100,20,0.0038515275167315156,0.0007675889543551876,0.0026223953379504294,0.005220595042425167,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.008176363260657817,0.0026705587712229774,0.004068325963182139,0.013585254462218277,1.0,0.004999761977926165,0.009290617031429286
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,8,200,16,200,20,0.003988753101109166,0.000832945286411104,0.0023549584888217256,0.005346420394324988,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.006150525633029926,0.001656773205550357,0.0036486009988148135,0.008649989877282441,1.0,0.0030775367597951292,0.007940437828618254
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,200,16,200,32,200,20,0.00285680868022106,0.0009764610539952879,0.001242735816055255,0.004559738042036449,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.007716876787664228,0.0024432182567135315,0.004339753254551552,0.012460997124432762,1.0,0.004691159863458812,0.008947093404036769
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,8,400,16,400,20,0.0034021698082125503,0.001253487128883092,0.001525318681797217,0.005610270212852106,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.00538908879430359,0.0015140749981496827,0.0025593827831134233,0.007611616708515237,1.0,0.002781893415642553,0.007680724818844732
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,400,16,400,32,400,20,0.0027700904309446647,0.0009733954002706773,0.0009887641941140417,0.00413037214227092,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.006348240619841033,0.0027622868617486877,0.001834886273971617,0.010981776475165187,1.0,0.003470477671967958,0.008138852027661824
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,8,800,16,800,20,0.002708155609666635,0.001484396829437449,0.00033489356691577784,0.004897352129695084,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.0048526511663118665,0.001720861613788265,0.0013677801035544047,0.007331064593141672,1.0,0.0013983870770622677,0.00868071135391342
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,800,16,800,32,800,20,0.0030694880978738006,0.0010499672244281301,0.001380369994911466,0.004729885891145494,1.0,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.006959900463909996,0.003860957660389436,0.0010917289432027233,0.013945594097580545,1.0,0.003105644386490751,0.012185475642897346
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,8,1600,16,1600,20,0.0035984425348173895,0.001899257513119508,0.0002886537704332858,0.0067273281132572416,0.95,,
logistic_regression,fine,macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.008666214965418143,0.0023749861643822564,0.00483897543924516,0.013171222870196437,1.0,0.004531897741518993,0.01316033247741599
logistic_regression,fine,mean_patient_macro_f1,matched_patient_doubling,cells_per_patient,1600,16,1600,32,1600,20,0.00458370770522228,0.0015570162084088096,0.001960524331318933,0.008059128544464169,1.0,,
logistic_regression,fine,macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.004612955879640591,0.00198648808559622,0.0007593640059281408,0.007141802060733273,1.0,0.0027453822436698085,0.005739260695821925
logistic_regression,fine,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,100,8,200,20,0.003107554635992325,0.000834393533099768,0.0018022488975525997,0.004501855062723387,1.0,,
logistic_regression,fine,macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.00366452238253656,0.0016914827838689424,0.0011475491898112864,0.006595930978335729,1.0,0.0011561724273532689,0.004728001433384425
logistic_regression,fine,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,200,8,400,20,0.0017526886883339403,0.0009933244613572212,-9.497553596213968e-05,0.0033676546631544097,0.95,,
logistic_regression,fine,macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.003410420574502245,0.002151321568086459,0.0002716319661780896,0.007416366254397913,1.0,0.0011438564734004189,0.004674575894692238
logistic_regression,fine,mean_patient_macro_f1,matched_cell_doubling,patient_budget,8,8,400,8,800,20,0.0014135638959501945,0.0009681863194485756,-0.0006527988916016132,0.0029341049503683264,0.95,,
