model,task,metric,total_training_cells,patient_budget,cells_per_patient,n_subset_seeds,mean,std,q025,q975,fraction_positive,patient_clustered_bootstrap_q025,patient_clustered_bootstrap_q975
logistic_regression,fine,mean_patient_macro_f1,12800,32,400,20,0.05365250195574399,0.0006767689358788567,0.05268818064506831,0.05479718587275364,1.0,0.05024918874384707,0.05783906037328309
xgboost,coarse,macro_f1,3200,8,400,20,0.2595928422805805,0.00761651184005514,0.24865155325230257,0.27491554941488383,1.0,0.24387851784428793,0.2766730958125842
xgboost,coarse,patient_balanced_macro_f1,3200,8,400,20,0.262108508244423,0.007591669872038047,0.25047344637524066,0.2759873300784501,1.0,0.24492068820998336,0.28021342232804086
xgboost,coarse,mean_patient_macro_f1,3200,8,400,20,0.23724845769585357,0.006172063983889281,0.22638007443165667,0.24763875311220243,1.0,0.22978307035452616,0.26075382599285835
xgboost,coarse,macro_f1,3200,16,200,20,0.2677707271149305,0.006746247599021305,0.25835767297220763,0.2780623698304013,1.0,0.2517142838513193,0.28389009348313543
xgboost,coarse,patient_balanced_macro_f1,3200,16,200,20,0.2715836574494236,0.007511780157671408,0.2604462326393978,0.28415059234302764,1.0,0.25444769284390545,0.28991153658151725
xgboost,coarse,mean_patient_macro_f1,3200,16,200,20,0.24651572733696345,0.005626151850510735,0.2371700644329226,0.25608783770907617,1.0,0.23586715565368002,0.2663498632387362
xgboost,coarse,macro_f1,3200,32,100,20,0.2748556514528283,0.0029832851551069616,0.26994030698497556,0.2797050617084648,1.0,0.25784194133918664,0.2923409848557145
xgboost,coarse,patient_balanced_macro_f1,3200,32,100,20,0.2792617107273655,0.0031322040759941003,0.27402377409217954,0.2840565299591735,1.0,0.26048418265535994,0.2974549762338839
xgboost,coarse,mean_patient_macro_f1,3200,32,100,20,0.25221555180288235,0.0022943913708158305,0.2480082381098214,0.25553320712546995,1.0,0.23888430260688115,0.27001871886133794
xgboost,coarse,macro_f1,6400,8,800,20,0.26695910010265506,0.009170483531645283,0.2536680817247099,0.285436852748189,1.0,0.2506134923845818,0.2852645232848851
xgboost,coarse,patient_balanced_macro_f1,6400,8,800,20,0.2693952539651899,0.0076318099036226566,0.25764124019453444,0.28435835842406976,1.0,0.25161229404480046,0.2885454383858141
xgboost,coarse,mean_patient_macro_f1,6400,8,800,20,0.24369897124159245,0.006021845789929519,0.2353309886532919,0.25364254506727363,1.0,0.23476138340475985,0.26625447805009983
xgboost,coarse,macro_f1,6400,16,400,20,0.27547910550250293,0.0066896673889354575,0.265478889371697,0.2847719396768113,1.0,0.25904919384442276,0.2922203652312035
xgboost,coarse,patient_balanced_macro_f1,6400,16,400,20,0.27929838860980755,0.007103729534668818,0.2671187408201887,0.2894356415812792,1.0,0.2602361519053682,0.2971489419614277
xgboost,coarse,mean_patient_macro_f1,6400,16,400,20,0.2540711777641521,0.005649994174877359,0.2450619092166553,0.2637212932271148,1.0,0.24266340492665436,0.27394757746990483
xgboost,coarse,macro_f1,6400,32,200,20,0.2830723214644734,0.0023348295463757576,0.27899324823220006,0.2868308732800694,1.0,0.2642022352552831,0.30037246703971754
xgboost,coarse,patient_balanced_macro_f1,6400,32,200,20,0.28771917185314616,0.002196065558451256,0.2847477619903544,0.2923408239263072,1.0,0.2677417537751132,0.3063292392286697
xgboost,coarse,mean_patient_macro_f1,6400,32,200,20,0.2601374045797137,0.0017111621835713526,0.256987610933567,0.2628354213909998,1.0,0.2452434399930393,0.27898235089059864
xgboost,coarse,macro_f1,12800,8,1600,20,0.27372248590003884,0.00929460134321082,0.25987769208339556,0.29146228234239147,1.0,0.25646021968445426,0.29125957448508993
xgboost,coarse,patient_balanced_macro_f1,12800,8,1600,20,0.27630472830082115,0.007494430125052587,0.2665092031607351,0.29013664186670357,1.0,0.2576967552052962,0.29525861419339927
xgboost,coarse,mean_patient_macro_f1,12800,8,1600,20,0.2506082245495373,0.005712161108609763,0.24275056816583288,0.25957900683827656,1.0,0.24038383084585432,0.2731880774355317
xgboost,coarse,macro_f1,12800,16,800,20,0.28440809135278733,0.006519912124505642,0.2734556320012364,0.2947669907463521,1.0,0.26775629659563877,0.3024399119989186
xgboost,coarse,patient_balanced_macro_f1,12800,16,800,20,0.2887486469898103,0.006571674931108578,0.27673805709558164,0.2981665455894447,1.0,0.2704976646085626,0.30609947857424746
xgboost,coarse,mean_patient_macro_f1,12800,16,800,20,0.26285330094197296,0.004998666443790392,0.2547115911574615,0.2709845530630802,1.0,0.2504304957079862,0.2834422864765704
xgboost,coarse,macro_f1,12800,32,400,20,0.2928993844100922,0.0016223254870344954,0.29016874484270466,0.29629205155896304,1.0,0.27457236127810086,0.31219329324150075
