seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
9,32,400,xgboost,coarse,0.49683796214399434,0.29358052826507963,0.30109974416708135,0.5111513023236507,0.2986992002652191,0.3033417473992402,0.2703464043623244,0.20901236069343712,0.4006058729877941,2.47924774456041,5.0,5,5,40,361792
9,32,400,xgboost,fine,0.30437378383159386,0.10338498088084522,0.10768973704373733,0.3172686286508783,0.10099900989854459,0.10359510143631248,0.06018884185140361,0.20901236069343712,0.4006058729877941,2.47924774456041,26.8,26,5,40,361792
10,32,400,logistic_regression,coarse,0.3650522952414647,0.2975849884956393,0.3456504161018735,0.3780325209498949,0.29719194758569967,0.340003290214696,0.2653163895705125,0.09749524588713958,0.25355729258800636,2.9176764549796568,5.0,5,5,40,361792
10,32,400,logistic_regression,fine,0.14206228993454803,0.0946140399010373,0.1241976340486299,0.14622587817131874,0.0905535775466925,0.1215482164172971,0.0528446776337075,0.09749524588713958,0.25355729258800636,2.9176764549796568,26.6,26,5,40,361792
10,32,400,xgboost,coarse,0.49701209534760304,0.2917108086153414,0.2995387261457864,0.5106853021621529,0.2960640396124596,0.3013221223637023,0.2675479926286243,0.2090731691137449,0.39952237749867325,2.484322483637007,5.0,5,5,40,361792
10,32,400,xgboost,fine,0.3020326596497435,0.09853147850327597,0.10358483196737873,0.3151399048326967,0.09646349565225198,0.09995817392252213,0.0566235959435931,0.2090731691137449,0.39952237749867325,2.484322483637007,26.6,26,5,40,361792
11,32,400,logistic_regression,coarse,0.36705897311162217,0.29996074002390494,0.34475321425294037,0.3795156343187064,0.29909272335302517,0.33837655807527334,0.2674813547144318,0.09981149389704581,0.2552737484521493,2.901457190872103,5.0,5,5,40,361792
11,32,400,logistic_regression,fine,0.14348852379267646,0.09590659944079552,0.12766620005153986,0.1476234047313455,0.09188640155895128,0.12433397667185711,0.05436298299194101,0.09981149389704581,0.2552737484521493,2.901457190872103,26.8,26,5,40,361792
11,32,400,xgboost,coarse,0.4986262825048647,0.2934365893378704,0.3015697729335997,0.5117271318323894,0.29763404125875137,0.30300579577287384,0.2705730456106453,0.208379400318415,0.3998858460109676,2.48478683884663,5.0,5,5,40,361792
11,32,400,xgboost,fine,0.3011454095170706,0.10136066865956958,0.10696776120088346,0.31502249981743413,0.09950969405417061,0.10350080855367406,0.05973831080624671,0.208379400318415,0.3998858460109676,2.48478683884663,26.8,26,5,40,361792
12,32,400,logistic_regression,coarse,0.3655636387758712,0.30042925183305985,0.34988553695494384,0.38068898862663036,0.3006898447180309,0.34346244263699244,0.2680157275238733,0.09548580399787723,0.2521241486821157,2.9004400318415002,5.0,5,5,40,361792
12,32,400,logistic_regression,fine,0.13868465858836015,0.09526884244352518,0.1270462769273342,0.145993418392919,0.0919284397376684,0.12523968499000931,0.053779759719668085,0.09548580399787723,0.2521241486821157,2.9004400318415002,27.0,27,5,40,361792
12,32,400,xgboost,coarse,0.49767269591367413,0.29336169899495096,0.3018211297724388,0.5131153603233836,0.2988454463459102,0.3038443103361407,0.27113233231834144,0.2075944188926234,0.39859228506987443,2.4924100035379446,5.0,5,5,40,361792
12,32,400,xgboost,fine,0.29951187422607467,0.09994929072664599,0.10482957985541377,0.31444717211337897,0.09873954234809279,0.10182032766481257,0.05773946825179203,0.2075944188926234,0.39859228506987443,2.4924100035379446,27.0,27,5,40,361792
13,32,400,logistic_regression,coarse,0.3692840084910667,0.3005108912219455,0.3412236708799813,0.3823873360429736,0.2997621371744634,0.3358286208034706,0.26740310982231125,0.09634541393950115,0.25492410003537946,2.9056584999115516,5.0,5,5,40,361792
13,32,400,logistic_regression,fine,0.1405641915796922,0.0937006170507685,0.12678235870045412,0.14778085290821608,0.09011897573782518,0.12471921433069104,0.05354943125328552,0.09634541393950115,0.25492410003537946,2.9056584999115516,26.6,26,5,40,361792
13,32,400,xgboost,coarse,0.4983167123651159,0.29353408901583977,0.300861010830494,0.513078736917574,0.29903825962212405,0.303772137178763,0.26890732263695477,0.20885481160445782,0.4002576065805767,2.4799608614894746,5.0,5,5,40,361792
13,32,400,xgboost,fine,0.3021985007960375,0.09912829046766546,0.10467516823516956,0.31722763816271515,0.09701736872693398,0.10120396084719092,0.05761791402354558,0.20885481160445782,0.4002576065805767,2.4799608614894746,26.6,26,5,40,361792
14,32,400,logistic_regression,coarse,0.3640323721917566,0.29573478490842925,0.34089845637030847,0.37766834459574095,0.29602223922349774,0.3356690743824141,0.2653500648759961,0.09441336458517602,0.25055971386874226,2.927461082611003,5.0,5,5,40,361792
14,32,400,logistic_regression,fine,0.13708705554572792,0.09235934559827959,0.12365148296927499,0.14321309691628756,0.08880776819448231,0.12123961590438072,0.05319289550557482,0.09441336458517602,0.25055971386874226,2.927461082611003,26.8,26,5,40,361792
14,32,400,xgboost,coarse,0.49897178489297717,0.2934299541186885,0.30181663840742884,0.514557420387531,0.29948970965565636,0.30495480768919664,0.27115647489661254,0.20617094905359987,0.3998388576861843,2.494278480452857,5.0,5,5,40,361792
14,32,400,xgboost,fine,0.3007059304793915,0.09655742064673932,0.1026241188261728,0.31537332948205654,0.0953642349897292,0.09975168065044934,0.057210129685684195,0.20617094905359987,0.3998388576861843,2.494278480452857,26.8,26,5,40,361792
15,32,400,logistic_regression,coarse,0.36330267114806297,0.29738313531553623,0.34255432579380346,0.3779089856069554,0.2977441215521399,0.3378989997240658,0.2653171204671775,0.09660523173536176,0.251922375287458,2.9205952591544313,5.0,5,5,40,361792
15,32,400,logistic_regression,fine,0.140542079426853,0.09390741858489618,0.12410305182994928,0.14500822198140081,0.09003029306773774,0.12220581490936516,0.05306500439265068,0.09660523173536176,0.251922375287458,2.9205952591544313,26.8,26,5,40,361792
15,32,400,xgboost,coarse,0.49985074296833537,0.29671023262618884,0.3039792342254584,0.5134036085000917,0.30073731609859533,0.30535867946303397,0.27096923837023035,0.21032250574915973,0.39999502476561116,2.488988147886078,5.0,5,5,40,361792
15,32,400,xgboost,fine,0.30013930656288695,0.09950688500978366,0.10432183392483935,0.3139463957246545,0.09769999787727875,0.10073506317211102,0.05778277313526818,0.21032250574915973,0.39999502476561116,2.488988147886078,26.8,26,5,40,361792
16,32,400,logistic_regression,coarse,0.35809249513532637,0.2974368143236446,0.3512578277218424,0.37372794040803475,0.2976300529744939,0.34504912429951246,0.2659631909036657,0.09790155669555987,0.2505306916681408,2.9203464974349904,5.0,5,5,40,361792
16,32,400,logistic_regression,fine,0.14296888820095524,0.09568554052495601,0.12962377708173622,0.14661399152207938,0.09098428221481943,0.12610845890464034,0.053682468900752366,0.09790155669555987,0.2505306916681408,2.9203464974349904,26.6,26,5,40,361792
16,32,400,xgboost,coarse,0.493999314523262,0.29201247277977166,0.29953519142990137,0.5091280928396631,0.29699173998400596,0.30197702901411744,0.2682564309421782,0.21119869980541306,0.39786534804528567,2.4887062179373785,5.0,5,5,40,361792
16,32,400,xgboost,fine,0.3017313815673094,0.10140505442166772,0.10674584842931424,0.31417929486418794,0.09936579037486794,0.1030636547882293,0.059063554171864485,0.21119869980541306,0.39786534804528567,2.4887062179373785,26.6,26,5,40,361792
17,32,400,logistic_regression,coarse,0.3645547718025827,0.302558230864146,0.356102925658476,0.3745272379478283,0.2996019567951646,0.3484223930260961,0.26635434793609675,0.09588658676808774,0.2525138753759066,2.914155094640014,5.0,5,5,40,361792
