scope,bundle_id,outer_fold,seed,patient_budget,cell_cap,model,task,accuracy,balanced_accuracy,fit_time_sec,inference_time_sec,macro_f1,n_evaluation_classes,n_observed_training_classes,n_train_cells,n_test_cells,peak_rss_mb
outer_fold,fold3_seed12_P32_C1600_xgboost,3,12,32,1600,xgboost,coarse,0.516971924065709,0.3266684908063235,34.1970928767696,0.9231103751808405,0.32457722258245836,5,5,51200,68849,1705.49609375
outer_fold,fold3_seed12_P32_C1600_xgboost,3,12,32,1600,xgboost,fine,0.30765878952490233,0.11187822580678566,162.78826640173793,3.466799463145435,0.10223630020904714,27,27,51200,68849,1705.49609375
outer_fold,fold3_seed13_P32_C1600_logistic_regression,3,13,32,1600,logistic_regression,coarse,0.3508111955148223,0.4010658435288147,12.131894468329847,0.061294727958738804,0.2952486117791301,5,5,51200,68849,1574.48828125
outer_fold,fold3_seed13_P32_C1600_logistic_regression,3,13,32,1600,logistic_regression,fine,0.15641476274165203,0.176830215043865,44.63725855574012,0.05869407672435045,0.11999174027894706,27,27,51200,68849,1574.48828125
outer_fold,fold3_seed13_P32_C1600_xgboost,3,13,32,1600,xgboost,coarse,0.5161585498700054,0.3248158430458203,33.798821865580976,0.9490745551884174,0.3228362775216145,5,5,51200,68849,2134.875
outer_fold,fold3_seed13_P32_C1600_xgboost,3,13,32,1600,xgboost,fine,0.31036035381777516,0.11877352977682129,176.29094413947314,4.512721264734864,0.11251595032001348,27,27,51200,68849,2134.875
outer_fold,fold3_seed14_P32_C1600_logistic_regression,3,14,32,1600,logistic_regression,coarse,0.349242545280251,0.39348893661451445,12.649173473007977,0.03369726333767176,0.29411695588762327,5,5,51200,68849,1574.5625
outer_fold,fold3_seed14_P32_C1600_logistic_regression,3,14,32,1600,logistic_regression,fine,0.15359700213510727,0.18047542073630346,45.41086753923446,0.05781500041484833,0.13430810221004993,27,27,51200,68849,1574.5625
outer_fold,fold3_seed14_P32_C1600_xgboost,3,14,32,1600,xgboost,coarse,0.5187874914668332,0.33038898424532237,36.00224915519357,0.9621697897091508,0.32612769659888907,5,5,51200,68849,2088.71875
outer_fold,fold3_seed14_P32_C1600_xgboost,3,14,32,1600,xgboost,fine,0.3070778079565426,0.11626228769900707,173.4585539083928,4.470397127792239,0.10834424166524484,27,27,51200,68849,2088.71875
