level,label,method,mae,bias,prevalence,centered_mae
subtype,CD14 Monocyte-1,direct,0.04303567941210198,-0.001216128231929295,0.09126242509091721,0.04307566336611258
subtype,CD14 Monocyte-2,constant,0.011063040797153695,1.2143064331837649e-18,0.01463491806015623,0.011063040797153693
subtype,CD14 Monocyte-2,soft,0.007359537165455557,-0.0027979880280869208,0.01463491806015623,0.0074534019528362415
subtype,CD14 Monocyte-2,direct,0.008868041276691248,0.0002136341842268852,0.01463491806015623,0.00884667785826856
subtype,CD14 Monocyte-3,constant,0.005908299646433924,-3.4694469519536144e-19,0.003906496518833064,0.005908299646433924
subtype,CD14 Monocyte-3,soft,0.0030839292544815678,0.0005048937496893006,0.003906496518833064,0.00326581044412787
subtype,CD14 Monocyte-3,direct,0.0024853325700484137,0.00019661057690503487,0.003906496518833064,0.0025443157431199247
subtype,CD16 Monocyte-1,constant,0.02730279102648824,-3.4694469519536144e-19,0.05045952599720194,0.02730279102648824
subtype,CD16 Monocyte-1,soft,0.026223706595894715,0.00024217616867645944,0.05045952599720194,0.026211597787460888
subtype,CD16 Monocyte-1,direct,0.022437351318476607,-0.002084193377379212,0.05045952599720194,0.022743294187126263
subtype,CD16 Monocyte-2,constant,0.008591609339298008,3.4694469519536144e-19,0.012375741302436382,0.008591609339298008
subtype,CD16 Monocyte-2,soft,0.011029522002113028,0.003278394041224619,0.012375741302436382,0.011489772951957761
subtype,CD16 Monocyte-2,direct,0.0076002944263502984,-2.9676240721987836e-05,0.012375741302436382,0.0076017782383863974
subtype,CD16 NK,constant,0.09602735436468812,1.9428902930940238e-17,0.19069248819936577,0.09602735436468812
subtype,CD16 NK,soft,0.054075008483574126,-0.004665542325283502,0.19069248819936577,0.05425614317995906
subtype,CD16 NK,direct,0.06739225632783419,-0.002389105044743346,0.19069248819936577,0.06751171158007137
subtype,CD4 + Tcm-1,constant,0.09243176700875032,-5.551115123125783e-17,0.23188129115518746,0.0924317670087503
subtype,CD4 + Tcm-1,soft,0.061075886402295665,0.0011245841508969734,0.23188129115518746,0.06099546811490113
subtype,CD4 + Tcm-1,direct,0.05935807103899846,-0.001130127433428374,0.23188129115518746,0.05930906814291281
subtype,CD4 + Tcm-2,constant,0.036323043303893646,2.7755575615628915e-18,0.028730235643995388,0.036323043303893646
subtype,CD4 + Tcm-2,soft,0.010935420234296205,0.0026687966372243277,0.028730235643995388,0.010577094355212698
subtype,CD4 + Tcm-2,direct,0.01018379599768982,0.0007532617331844543,0.028730235643995388,0.01012936223583461
subtype,CD4 Monocyte-4,constant,0.0022177575100323426,-3.035766082959412e-19,0.0028449538412189863,0.002217757510032343
subtype,CD4 Monocyte-4,soft,0.001806002923420797,-0.0008630544599528958,0.0028449538412189863,0.0017703719586905555
subtype,CD4 Monocyte-4,direct,0.0017860748941627865,-0.00018661117150576152,0.0028449538412189863,0.0017808074456810777
subtype,CD56 NK,constant,0.07943755670055468,0.0,0.065830534071883,0.07943755670055468
subtype,CD56 NK,soft,0.02279199945832348,0.00207943853556374,0.065830534071883,0.022217405343101276
subtype,CD56 NK,direct,0.013581706116361511,0.0010584861334365912,0.065830534071883,0.013430273947933318
subtype,CD8 + CTL-1,constant,0.015760797491529054,-2.4286128663675298e-18,0.011436126984121891,0.015760797491529054
subtype,CD8 + CTL-1,soft,0.0028981372657398653,-0.0005761842615942924,0.011436126984121891,0.002984396284080578
subtype,CD8 + CTL-1,direct,0.0032305345794214277,0.00017574197241137582,0.011436126984121891,0.0032362637572571572
subtype,CD8 + CTL-2,constant,0.007747071980355439,3.4694469519536144e-19,0.005371025564465217,0.007747071980355439
subtype,CD8 + CTL-2,soft,0.004268864150517133,0.0009431758562420456,0.005371025564465217,0.004569090521056788
subtype,CD8 + CTL-2,direct,0.003184449528565167,0.00015561478637520464,0.005371025564465217,0.0032233532251589683
subtype,CD8 + CTL-3,constant,0.008447623657466213,3.4694469519536144e-19,0.005215542473222057,0.008447623657466213
subtype,CD8 + CTL-3,soft,0.003736756718032715,-0.0015657399393235673,0.005215542473222057,0.00473138099632989
subtype,CD8 + CTL-3,direct,0.0039555344672229965,0.00023750840725747302,0.005215542473222057,0.0040020679919947275
subtype,CD8 Tem-1,constant,0.04719523456752506,2.7755575615628914e-17,0.09776779945187103,0.04719523456752506
subtype,CD8 Tem-1,soft,0.04085146926016175,0.003521896760764423,0.09776779945187103,0.040896851807599936
subtype,CD8 Tem-1,direct,0.027936794365386874,0.0006182597089453172,0.09776779945187103,0.02790588137993961
subtype,CD8 Tem-2,constant,0.014158746208752002,3.642919299551295e-18,0.022675966085007056,0.014158746208751998
subtype,CD8 Tem-2,soft,0.010212329539787079,0.00047168334127511963,0.022675966085007056,0.01014157703859581
