model,seed,scope,patient,cells,correct,cross,within,oracle_correct,fixed_mass,cross_among_errors,cross_among_errors_n,repair_among_cross,repair_among_cross_n,fine_cross_given_coarse_correct,fine_cross_given_coarse_correct_n,fine_cross_given_coarse_wrong,fine_cross_given_coarse_wrong_n
mlp,17,1,GC36_P_cDNA,1385,0.15451263537906137,0.6859205776173285,0.1595667870036101,0.37906137184115524,0.22454873646209386,0.8112724167378309,1171,0.3273684210526316,950,0.23104693140794225,554,0.9891696750902527,831
mlp,17,1,HCC-1,1749,0.5494568324757004,0.10920526014865638,0.34133790737564323,0.5906232132647227,0.0411663807890223,0.24238578680203046,788,0.3769633507853403,191,0.007055805003207184,1559,0.9473684210526315,190
mlp,17,1,HCC-2-1_1,2075,0.5026506024096385,0.20578313253012048,0.29156626506024097,0.6081927710843373,0.10554216867469879,0.41375968992248063,1032,0.5128805620608899,427,0.039227166276346606,1708,0.9809264305177112,367
mlp,17,1,HCC-2-2,1981,0.5840484603735487,0.08833922261484099,0.3276123170116103,0.6214033316506815,0.03735487127713276,0.21237864077669902,824,0.4228571428571429,175,0.010976948408342482,1822,0.9748427672955975,159
mlp,17,1,HCC-22,172,0.0872093023255814,0.8488372093023255,0.06395348837209303,0.6569767441860465,0.5697674418604651,0.9299363057324841,157,0.6712328767123288,146,0.2,30,0.9859154929577465,142
mlp,17,1,HCC-24,143,0.14685314685314685,0.6013986013986014,0.2517482517482518,0.48951048951048953,0.34265734265734266,0.7049180327868853,122,0.5697674418604651,86,0.16129032258064516,62,0.9382716049382716,81
mlp,17,1,HCC-3-1_2,1370,0.3978102189781022,0.3094890510948905,0.2927007299270073,0.5635036496350365,0.16569343065693432,0.5139393939393939,825,0.535377358490566,424,0.028037383177570093,963,0.9754299754299754,407
mlp,17,1,HCC-3-2_1,1443,0.4885654885654886,0.14345114345114346,0.367983367983368,0.5661815661815662,0.07761607761607761,0.2804878048780488,738,0.5410628019323671,207,0.008914100486223663,1234,0.937799043062201,209
mlp,17,1,PBMC-1,2920,0.46301369863013697,0.08493150684931507,0.4520547945205479,0.4948630136986301,0.03184931506849315,0.15816326530612246,1568,0.375,248,0.008562918838421444,2686,0.9615384615384616,234
mlp,17,1,PBMC-2,2459,0.5429036193574623,0.08987393249288328,0.3672224481496543,0.5729971533143554,0.030093533956893046,0.19661921708185054,1124,0.334841628959276,221,0.008485931219294328,2239,0.9181818181818182,220
mlp,17,1,PBMC-3,3357,0.30801310694072087,0.473339291033661,0.21864760202561812,0.5120643431635389,0.20405123622281798,0.6840292724924666,2323,0.43108873505349277,1589,0.05786516853932584,1780,0.9422954977805961,1577
mlp,17,1,PBMC-4,3132,0.21424010217113665,0.4878671775223499,0.2978927203065134,0.3962324393358876,0.18199233716475097,0.6208858187728565,2461,0.3730366492146597,1528,0.033693579148124604,1573,0.946119307248236,1559
mlp,17,1,PBMC-5,2640,0.4113636363636364,0.2431818181818182,0.34545454545454546,0.5136363636363637,0.10227272727272728,0.41312741312741313,1554,0.4205607476635514,642,0.023689516129032258,1984,0.9070121951219512,656
mlp,17,1,PBMC-6,1826,0.4019715224534502,0.2634173055859803,0.33461117196056955,0.5021905805038335,0.10021905805038335,0.44047619047619047,1092,0.3804573804573805,481,0.05507868383404864,1398,0.9439252336448598,428
mlp,17,1,PC-1,3065,0.18107667210440456,0.6998368678629691,0.11908646003262642,0.4962479608482871,0.31517128874388256,0.8545816733067729,2510,0.45034965034965035,2145,0.09827760891590678,987,0.9855630413859481,2078
mlp,17,1,PC-2,338,0.05029585798816568,0.8550295857988166,0.09467455621301775,0.257396449704142,0.20710059171597633,0.9003115264797508,321,0.2422145328719723,289,0.1694915254237288,59,1.0,279
mlp,17,1,PC-3,1027,0.33982473222979553,0.3291139240506329,0.3310613437195716,0.4595910418695229,0.11976630963972736,0.49852507374631266,678,0.363905325443787,338,0.07681940700808626,742,0.9859649122807017,285
mlp,17,1,PC-4,761,0.056504599211563734,0.8948751642575559,0.04862023653088042,0.43889618922470436,0.3823915900131406,0.9484679665738162,718,0.42731277533039647,681,0.041666666666666664,72,0.9840348330914369,689
mlp,17,1,PC-5,1203,0.3773898586866168,0.1886949293433084,0.4339152119700748,0.4322527015793849,0.05486284289276808,0.3030707610146863,749,0.2907488986784141,227,0.05058365758754864,1028,1.0,175
mlp,17,1,PC-6,3500,0.27885714285714286,0.44771428571428573,0.2734285714285714,0.44742857142857145,0.16857142857142857,0.6208399366085579,2524,0.3765156349712827,1567,0.08563273073263558,2102,0.9921316165951359,1398
mlp,17,1,PRZ1,1039,0.17613089509143406,0.6843118383060636,0.1395572666025024,0.4359961501443696,0.2598652550529355,0.830607476635514,856,0.379746835443038,711,0.11878453038674033,362,0.9867060561299852,677
mlp,17,1,PRZ2,1461,0.2135523613963039,0.5592060232717317,0.2272416153319644,0.4106776180698152,0.1971252566735113,0.7110530896431679,1149,0.3525091799265606,817,0.13531799729364005,739,0.9930747922437673,722
mlp,17,1,PRZ3,1841,0.3242802824551874,0.3856599674090168,0.29005975013579577,0.4926670287887018,0.1683867463335144,0.5707395498392283,1244,0.43661971830985913,710,0.08340283569641367,1199,0.9501557632398754,642
mlp,17,1,PRZ4,349,0.09742120343839542,0.7879656160458453,0.11461318051575932,0.38108882521489973,0.2836676217765043,0.873015873015873,315,0.36,275,0.14814814814814814,81,0.9813432835820896,268
mlp,17,1,PRZ5,2563,0.04721030042918455,0.9406944986344128,0.012095200936402654,0.4721030042918455,0.4248927038626609,0.9873054873054873,2442,0.45167980091248444,2411,0.1111111111111111,153,0.9933609958506224,2410
mlp,17,1,PRZ6,2227,0.512348450830714,0.14818140996856757,0.33947013920071845,0.5707229456668164,0.05837449483610238,0.30386740331491713,1086,0.3939393939393939,330,0.026424870466321245,1930,0.9393939393939394,297
mlp,17,2,CRC11,1603,0.19276356830941985,0.8059887710542732,0.0012476606363069245,0.9806612601372426,0.7878976918278229,0.9984544049459042,1294,0.9775541795665634,1292,0.014084507042253521,71,0.8426892950391645,1532
mlp,17,2,CRC13,1356,0.25147492625368734,0.7470501474926253,0.0014749262536873156,0.9896755162241888,0.7382005899705014,0.9980295566502463,1015,0.9881539980256664,1013,0.0,60,0.7816358024691358,1296
mlp,17,2,CRC16,2359,0.7956761339550658,0.08266214497668503,0.12166172106824925,0.8486646884272997,0.052988554472233995,0.4045643153526971,482,0.6410256410256411,195,0.004791238877481177,1461,0.20935412026726058,898
mlp,17,2,CRC17,2313,0.42888024210981407,0.4249891915261565,0.1461305663640294,0.6835278858625162,0.2546476437527021,0.7441332323996972,1321,0.5991861648016277,983,0.020833333333333332,624,0.5743043220840734,1689
mlp,17,2,CRC22,762,0.5761154855643045,0.4225721784776903,0.0013123359580052493,0.9973753280839895,0.421259842519685,0.9969040247678018,323,0.9968944099378882,322,0.0,190,0.5629370629370629,572
