model,seed,scope,metric,mean,eligible_patients
hce,29,1,fine_cross_given_coarse_wrong,0.9889346717418561,40
hce,29,2,correct,0.3694379162792981,40
hce,29,2,cross,0.5941300736469102,40
hce,29,2,within,0.036432010073791765,40
hce,29,2,oracle_correct,0.9078951157016247,40
hce,29,2,fixed_mass,0.5384571994223267,40
hce,29,2,cross_among_errors,0.8922995448006835,40
hce,29,2,repair_among_cross,0.8894025881224762,40
hce,29,2,fine_cross_given_coarse_correct,0.00021929594551154758,40
hce,29,2,fine_cross_given_coarse_wrong,0.7178324924556818,40
hce,29,3,correct,0.01094631271324358,38
hce,29,3,cross,0.9890536872867565,38
hce,29,3,within,0.0,38
hce,29,3,oracle_correct,0.9867631826110677,38
hce,29,3,fixed_mass,0.975816869897824,38
hce,29,3,cross_among_errors,1.0,38
hce,29,3,repair_among_cross,0.9867046002246941,38
hce,29,3,fine_cross_given_coarse_correct,0.0,5
hce,29,3,fine_cross_given_coarse_wrong,0.9957317927823098,38
hce,29,4,correct,0.34381700894688755,40
hce,29,4,cross,0.41700926391842136,40
hce,29,4,within,0.23917372713469112,40
hce,29,4,oracle_correct,0.5413903977746038,40
hce,29,4,fixed_mass,0.19757338882771633,40
hce,29,4,cross_among_errors,0.5917796447613369,40
hce,29,4,repair_among_cross,0.5094252121577358,40
hce,29,4,fine_cross_given_coarse_correct,0.25290458707207336,40
hce,29,4,fine_cross_given_coarse_wrong,0.9050299453480537,40
hce,43,-1,correct,0.3393051234931882,40
hce,43,-1,cross,0.4927867073162166,40
hce,43,-1,within,0.16790816919059515,40
hce,43,-1,oracle_correct,0.6478514254832921,40
hce,43,-1,fixed_mass,0.3085463019901039,40
hce,43,-1,cross_among_errors,0.7455661202720855,40
hce,43,-1,repair_among_cross,0.6348994222706426,40
hce,43,-1,fine_cross_given_coarse_correct,0.16517445254236826,40
hce,43,-1,fine_cross_given_coarse_wrong,0.8601014141805635,40
hce,43,0,correct,0.08858415163514911,40
hce,43,0,cross,0.8983830929649244,40
hce,43,0,within,0.013032755399926672,40
hce,43,0,oracle_correct,0.8489239885528856,40
hce,43,0,fixed_mass,0.7603398369177364,40
hce,43,0,cross_among_errors,0.9854675173755917,40
hce,43,0,repair_among_cross,0.8447349517061108,40
