model,seed,decoding,subtype,parent,cells,patient_coverage,sb_per_class_f1,largest_error_target,largest_error_mass
flat,43,oracle,CD56 NK,2,38442,40,0.8031735599963237,CD16 NK,0.6296642110445883
flat,43,oracle,CD8 + CTL-1,4,7303,40,0.04862135671886806,CD4 + Tcm-2,0.19630379472543222
flat,43,oracle,CD8 + CTL-2,4,4049,33,0.1890750403077566,CD4 + Tcm-2,0.07975363502073297
flat,43,oracle,CD8 + CTL-3,4,3244,27,0.026964426946893674,CD4 + Tcm-2,0.09392937325966144
flat,43,oracle,CD8 Tem-1,4,26714,40,0.3423257664004948,CD4 + Tcm-1,2.6924039785527176
flat,43,oracle,CD8 Tem-2,4,10548,40,0.05527571338663494,CD4 + Tcm-1,0.415883558816824
flat,43,oracle,Cycling T,4,3667,40,0.18576837502883264,CD4 + Tcm-1,0.39122779251633727
flat,43,oracle,Erythrocyte,3,65,6,0.821462738542392,platelet,0.0016278228649593616
flat,43,oracle,GCB,0,3283,31,0.35762319765596207,Memory B-1,0.0846347954521006
flat,43,oracle,Memory B-1,0,23722,40,0.90616605171721,GCB,0.08219604538049402
flat,43,oracle,Memory B-2,0,2130,33,0.05855774207136891,Memory B-1,0.09233097951722952
flat,43,oracle,Naive T,4,17960,40,0.27931948426928643,CD4 + Tcm-2,0.39739877401106777
flat,43,oracle,Plasma,0,2173,40,0.7082625941067258,Memory B-1,0.1047948728862648
flat,43,oracle,Tcm,4,2121,36,0.011423236647268116,CD4 + Tcm-1,0.14455379356926665
flat,43,oracle,cDC2,1,7376,40,0.1705572178872484,CD16 Monocyte-1,0.4112823876559101
flat,43,oracle,pDC,1,2615,40,0.14586655586515315,CD16 Monocyte-1,0.1639047393576116
flat,43,oracle,platelet,3,1574,38,0.9925897305502621,Erythrocyte,0.00012955045990413266
hce,17,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.021991578427947155
hce,17,ordinary,CD14 Monocyte-1,1,29871,40,0.44715807455617296,CD4 + Tcm-1,0.840531785363861
hce,17,ordinary,CD14 Monocyte-2,1,3931,40,0.06445325781277693,CD14 Monocyte-1,0.29791702886070137
hce,17,ordinary,CD14 Monocyte-3,1,2977,32,0.2634852069933839,CD14 Monocyte-1,0.0548284798988305
hce,17,ordinary,CD16 Monocyte-1,1,14678,40,0.15698852852440925,CD4 + Tcm-1,0.8835768851301373
hce,17,ordinary,CD16 Monocyte-2,1,5142,40,0.09822600480372966,CD14 Monocyte-1,0.14295082836775128
hce,17,ordinary,CD16 NK,2,58507,40,0.3923924655866135,CD4 + Tcm-1,3.4654857935913004
hce,17,ordinary,CD4 + Tcm-1,4,70653,40,0.44557706077742654,CD16 NK,1.8385045785873508
hce,17,ordinary,CD4 + Tcm-2,4,16861,39,0.20856928134500294,CD56 NK,0.46673572561555826
hce,17,ordinary,CD4 Monocyte-4,1,1405,35,0.010190840854641494,CD14 Monocyte-1,0.05435966005823239
hce,17,ordinary,CD56 NK,2,38442,40,0.4130709718990337,CD4 + Tcm-2,0.26969678264784974
hce,17,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.2434494635167866
hce,17,ordinary,CD8 + CTL-2,4,4049,33,0.10746482509671862,CD56 NK,0.08669256656750157
hce,17,ordinary,CD8 + CTL-3,4,3244,27,0.009738594836491378,CD56 NK,0.10435717187197889
hce,17,ordinary,CD8 Tem-1,4,26714,40,0.2097736978847629,CD4 + Tcm-1,1.8103735130007785
hce,17,ordinary,CD8 Tem-2,4,10548,40,0.013046763705658986,CD4 + Tcm-1,0.2605821018681356
hce,17,ordinary,Cycling T,4,3667,40,0.013330918358854875,CD4 + Tcm-1,0.23366324873601155
hce,17,ordinary,Erythrocyte,3,65,6,0.2193532129815908,CD14 Monocyte-2,0.0026121817659164213
hce,17,ordinary,GCB,0,3283,31,0.06166181104100263,CD56 NK,0.05386194009701088
hce,17,ordinary,Memory B-1,0,23722,40,0.034233259882444037,CD4 + Tcm-1,1.3466207105926657
hce,17,ordinary,Memory B-2,0,2130,33,0.011912531469090505,CD56 NK,0.04347679368276244
hce,17,ordinary,Naive T,4,17960,40,0.1164370994537404,CD56 NK,0.4274155744351524
hce,17,ordinary,Plasma,0,2173,40,0.5572156491632103,CD4 + Tcm-1,0.0754034423772861
hce,17,ordinary,Tcm,4,2121,36,0.0024405245147421156,CD56 NK,0.22117980949797078
hce,17,ordinary,cDC2,1,7376,40,0.13909143244335925,CD4 + Tcm-1,0.3979505506697512
hce,17,ordinary,pDC,1,2615,40,0.017926673766580577,CD4 + Tcm-1,0.17623127343257322
hce,17,ordinary,platelet,3,1574,38,0.06645637206644067,CD56 NK,0.04303234904198533
hce,17,oracle,Atypical Memory B,0,781,34,0.3673482654840947,Memory B-1,0.02860910024693725
hce,17,oracle,CD14 Monocyte-1,1,29871,40,0.6148843042523887,CD16 Monocyte-1,0.732532455323675
hce,17,oracle,CD14 Monocyte-2,1,3931,40,0.18145002055712706,CD14 Monocyte-1,0.39493267797107434
hce,17,oracle,CD14 Monocyte-3,1,2977,32,0.3637821099191666,CD14 Monocyte-1,0.07166500147070093
hce,17,oracle,CD16 Monocyte-1,1,14678,40,0.42652130872397986,CD14 Monocyte-1,0.8123579028230469
hce,17,oracle,CD16 Monocyte-2,1,5142,40,0.21744927971003566,CD14 Monocyte-1,0.22871372097672346
hce,17,oracle,CD16 NK,2,58507,40,0.940961400056609,CD56 NK,0.3670138908979454
hce,17,oracle,CD4 + Tcm-1,4,70653,40,0.7394411890557612,CD8 Tem-1,0.7827548155382849
hce,17,oracle,CD4 + Tcm-2,4,16861,39,0.40759385306504914,CD4 + Tcm-1,0.20232945832187177
hce,17,oracle,CD4 Monocyte-4,1,1405,35,0.013733663522992828,CD14 Monocyte-1,0.06940443466353931
hce,17,oracle,CD56 NK,2,38442,40,0.8209769940628326,CD16 NK,0.5440983281926699
hce,17,oracle,CD8 + CTL-1,4,7303,40,0.012076223352486759,CD4 + Tcm-2,0.20625284980552408
hce,17,oracle,CD8 + CTL-2,4,4049,33,0.19873012914799495,CD4 + Tcm-2,0.08033269763407092
hce,17,oracle,CD8 + CTL-3,4,3244,27,0.024041987475001757,CD4 + Tcm-2,0.10182471178384041
hce,17,oracle,CD8 Tem-1,4,26714,40,0.3238051315802629,CD4 + Tcm-1,2.8554272814556643
hce,17,oracle,CD8 Tem-2,4,10548,40,0.06428152397089969,CD4 + Tcm-1,0.43193144027741903
hce,17,oracle,Cycling T,4,3667,40,0.20577310031327214,CD4 + Tcm-1,0.39466958900845117
hce,17,oracle,Erythrocyte,3,65,6,0.3482128131210458,platelet,0.004443511348840421
hce,17,oracle,GCB,0,3283,31,0.4106262912254949,Memory B-1,0.08116980455258972
hce,17,oracle,Memory B-1,0,23722,40,0.907282107014688,GCB,0.10627772215880008
hce,17,oracle,Memory B-2,0,2130,33,0.06349637865816588,Memory B-1,0.08862208929781154
hce,17,oracle,Naive T,4,17960,40,0.276358059656539,CD4 + Tcm-2,0.40926266827722996
hce,17,oracle,Plasma,0,2173,40,0.7265942915476429,Memory B-1,0.11212499520908997
hce,17,oracle,Tcm,4,2121,36,0.005869704664247913,CD4 + Tcm-1,0.09714301517736687
hce,17,oracle,cDC2,1,7376,40,0.1919997665930898,CD16 Monocyte-1,0.3987067266213644
hce,17,oracle,pDC,1,2615,40,0.10880339025677688,CD16 Monocyte-1,0.1692239285386501
hce,17,oracle,platelet,3,1574,38,0.9808533452903385,Erythrocyte,0.00015069611443122485
hce,29,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.02454978480869881
hce,29,ordinary,CD14 Monocyte-1,1,29871,40,0.4420685464418394,CD4 + Tcm-1,0.7584802241211077
hce,29,ordinary,CD14 Monocyte-2,1,3931,40,0.07717572611958277,CD14 Monocyte-1,0.31456611919174826
hce,29,ordinary,CD14 Monocyte-3,1,2977,32,0.16375073104312907,CD14 Monocyte-1,0.06744131540797958
hce,29,ordinary,CD16 Monocyte-1,1,14678,40,0.1283495097554696,CD4 + Tcm-1,0.8217687643581124
hce,29,ordinary,CD16 Monocyte-2,1,5142,40,0.0817671971642,CD14 Monocyte-1,0.1736464841842208
hce,29,ordinary,CD16 NK,2,58507,40,0.3885164431728396,CD4 + Tcm-1,3.1855944210010296
hce,29,ordinary,CD4 + Tcm-1,4,70653,40,0.4338788322249791,CD16 NK,1.848307357771094
hce,29,ordinary,CD4 + Tcm-2,4,16861,39,0.18340245761243423,CD56 NK,0.45197444525199304
hce,29,ordinary,CD4 Monocyte-4,1,1405,35,0.014058710562106159,CD14 Monocyte-1,0.05849411249489964
hce,29,ordinary,CD56 NK,2,38442,40,0.4198543581140087,CD4 + Tcm-1,0.24458314962346717
hce,29,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.23759048677923755
hce,29,ordinary,CD8 + CTL-2,4,4049,33,0.05473777086405237,CD56 NK,0.08772157607239123
hce,29,ordinary,CD8 + CTL-3,4,3244,27,0.003088399315699987,CD56 NK,0.09477617168824864
hce,29,ordinary,CD8 Tem-1,4,26714,40,0.21540735402074374,CD4 + Tcm-1,1.6696095729038394
hce,29,ordinary,CD8 Tem-2,4,10548,40,0.023114370187146877,CD4 + Tcm-1,0.24078507633837
hce,29,ordinary,Cycling T,4,3667,40,0.00926415592209414,CD4 + Tcm-1,0.21728372569568646
hce,29,ordinary,Erythrocyte,3,65,6,0.1921439180707616,CD8 Tem-2,0.002951801855276506
hce,29,ordinary,GCB,0,3283,31,0.030169647867551438,CD56 NK,0.057037118335384704
hce,29,ordinary,Memory B-1,0,23722,40,0.041781370532759265,CD4 + Tcm-1,1.254774943913164
hce,29,ordinary,Memory B-2,0,2130,33,0.012566953437254929,CD56 NK,0.039643108607294385
hce,29,ordinary,Naive T,4,17960,40,0.108764219790336,CD56 NK,0.4226961037136672
hce,29,ordinary,Plasma,0,2173,40,0.5971622912196076,CD4 + Tcm-1,0.07408607447417029
hce,29,ordinary,Tcm,4,2121,36,0.00610370405990617,CD56 NK,0.16416616102330653
hce,29,ordinary,cDC2,1,7376,40,0.12142668993427116,CD4 + Tcm-1,0.36526662553648376
hce,29,ordinary,pDC,1,2615,40,0.016911007770214814,CD4 + Tcm-1,0.16621790959551716
hce,29,ordinary,platelet,3,1574,38,0.045059889949594194,CD56 NK,0.043942351860819774
hce,29,oracle,Atypical Memory B,0,781,34,0.3647916046042228,Memory B-1,0.027640222598144484
hce,29,oracle,CD14 Monocyte-1,1,29871,40,0.6184002380306178,CD16 Monocyte-1,0.6236729372952445
hce,29,oracle,CD14 Monocyte-2,1,3931,40,0.19078109470797863,CD14 Monocyte-1,0.3979068317912158
hce,29,oracle,CD14 Monocyte-3,1,2977,32,0.2702651090446204,CD14 Monocyte-1,0.08361926748104379
hce,29,oracle,CD16 Monocyte-1,1,14678,40,0.405669182363795,CD14 Monocyte-1,0.9424719674200399
hce,29,oracle,CD16 Monocyte-2,1,5142,40,0.19389333734426878,CD14 Monocyte-1,0.2538252414537161
hce,29,oracle,CD16 NK,2,58507,40,0.9382403581957895,CD56 NK,0.39017337780301736
hce,29,oracle,CD4 + Tcm-1,4,70653,40,0.7245804059180119,CD8 Tem-1,1.1065242471726655
hce,29,oracle,CD4 + Tcm-2,4,16861,39,0.4050662623314205,CD4 + Tcm-1,0.2330048862649506
hce,29,oracle,CD4 Monocyte-4,1,1405,35,0.01865552673757213,CD14 Monocyte-1,0.07224077012034728
hce,29,oracle,CD56 NK,2,38442,40,0.812951405518544,CD16 NK,0.5626464805171865
hce,29,oracle,CD8 + CTL-1,4,7303,40,0.014915771712346947,CD4 + Tcm-2,0.17501465119494355
hce,29,oracle,CD8 + CTL-2,4,4049,33,0.17933083026260782,CD4 + Tcm-2,0.07217276048091377
hce,29,oracle,CD8 + CTL-3,4,3244,27,0.02105597802307586,CD4 + Tcm-2,0.07885000679429506
hce,29,oracle,CD8 Tem-1,4,26714,40,0.34035328186418656,CD4 + Tcm-1,2.707891769921441
hce,29,oracle,CD8 Tem-2,4,10548,40,0.06296539891956,CD4 + Tcm-1,0.4105899512344451
hce,29,oracle,Cycling T,4,3667,40,0.2192677752429213,CD4 + Tcm-1,0.37944631836338344
hce,29,oracle,Erythrocyte,3,65,6,0.39958479996686597,platelet,0.0042548813548542504
hce,29,oracle,GCB,0,3283,31,0.3888897180062845,Memory B-1,0.08667267222249542
hce,29,oracle,Memory B-1,0,23722,40,0.9124697837605805,GCB,0.08635401386659429
hce,29,oracle,Memory B-2,0,2130,33,0.04597443654373373,Memory B-1,0.09786971304046523
hce,29,oracle,Naive T,4,17960,40,0.2812602500149909,CD4 + Tcm-2,0.3615069176052874
hce,29,oracle,Plasma,0,2173,40,0.7488050273407452,Memory B-1,0.11504608980883196
hce,29,oracle,Tcm,4,2121,36,0.01428826357945512,CD4 + Tcm-1,0.13559100525826334
hce,29,oracle,cDC2,1,7376,40,0.170291784545991,CD14 Monocyte-1,0.43330258009808587
hce,29,oracle,pDC,1,2615,40,0.1325000259761383,CD16 Monocyte-1,0.14453889453715704
hce,29,oracle,platelet,3,1574,38,0.982264704837451,,0.0
hce,43,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.021767838918553852
hce,43,ordinary,CD14 Monocyte-1,1,29871,40,0.46325693527718836,CD4 + Tcm-1,0.8554405609155827
hce,43,ordinary,CD14 Monocyte-2,1,3931,40,0.06122068666771629,CD14 Monocyte-1,0.28756787607938966
hce,43,ordinary,CD14 Monocyte-3,1,2977,32,0.22617948478611638,CD14 Monocyte-1,0.06347575430886737
hce,43,ordinary,CD16 Monocyte-1,1,14678,40,0.1485329736164509,CD4 + Tcm-1,0.9044835850942503
hce,43,ordinary,CD16 Monocyte-2,1,5142,40,0.07801977320678316,CD14 Monocyte-1,0.1459978724459261
hce,43,ordinary,CD16 NK,2,58507,40,0.40290280744435764,CD4 + Tcm-1,3.2322813279256333
hce,43,ordinary,CD4 + Tcm-1,4,70653,40,0.4348301649605009,CD16 NK,2.1638767527053826
hce,43,ordinary,CD4 + Tcm-2,4,16861,39,0.1957764947809189,CD56 NK,0.46673335295235896
hce,43,ordinary,CD4 Monocyte-4,1,1405,35,0.014655503090132435,CD14 Monocyte-1,0.058399409889687524
hce,43,ordinary,CD56 NK,2,38442,40,0.42133982034484707,CD4 + Tcm-1,0.246833291223707
hce,43,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.2412720983501845
hce,43,ordinary,CD8 + CTL-2,4,4049,33,0.087844563732735,CD56 NK,0.08579634263097882
hce,43,ordinary,CD8 + CTL-3,4,3244,27,0.0058554286516711365,CD56 NK,0.10380275437411333
hce,43,ordinary,CD8 Tem-1,4,26714,40,0.19996956615281528,CD4 + Tcm-1,1.7180132885099026
hce,43,ordinary,CD8 Tem-2,4,10548,40,0.018061331744253235,CD4 + Tcm-1,0.2695552291243981
hce,43,ordinary,Cycling T,4,3667,40,0.012570515964446383,CD4 + Tcm-1,0.24094359485646114
hce,43,ordinary,Erythrocyte,3,65,6,0.19644560602459749,CD8 Tem-2,0.0024805447405825743
hce,43,ordinary,GCB,0,3283,31,0.04046997722710658,CD56 NK,0.054779807067006275
hce,43,ordinary,Memory B-1,0,23722,40,0.042091140834618075,CD4 + Tcm-1,1.3126282333912964
hce,43,ordinary,Memory B-2,0,2130,33,0.03228507193224629,CD56 NK,0.039994671554093246
hce,43,ordinary,Naive T,4,17960,40,0.10889560652359445,CD56 NK,0.4341203784398071
hce,43,ordinary,Plasma,0,2173,40,0.5597750785388262,CD4 + Tcm-1,0.0743019219646602
hce,43,ordinary,Tcm,4,2121,36,0.00479312807108185,CD56 NK,0.1514865250285389
hce,43,ordinary,cDC2,1,7376,40,0.1175106083650106,CD4 + Tcm-1,0.4128931498074824
hce,43,ordinary,pDC,1,2615,40,0.02500962125977394,CD4 + Tcm-1,0.17469230866505545
hce,43,ordinary,platelet,3,1574,38,0.05766881571301648,CD56 NK,0.041281505650774014
hce,43,oracle,Atypical Memory B,0,781,34,0.35458564956301153,Memory B-1,0.026773459824278943
hce,43,oracle,CD14 Monocyte-1,1,29871,40,0.6156243535450682,CD16 Monocyte-1,0.7667965509732905
hce,43,oracle,CD14 Monocyte-2,1,3931,40,0.17912703703806362,CD14 Monocyte-1,0.3802829800981362
hce,43,oracle,CD14 Monocyte-3,1,2977,32,0.3356212188180074,CD14 Monocyte-1,0.07973421998327443
hce,43,oracle,CD16 Monocyte-1,1,14678,40,0.42888629746257323,CD14 Monocyte-1,0.7898651505201985
hce,43,oracle,CD16 Monocyte-2,1,5142,40,0.19177512906437472,CD14 Monocyte-1,0.22844280558095573
hce,43,oracle,CD16 NK,2,58507,40,0.9390620136043919,CD56 NK,0.36666750470499393
hce,43,oracle,CD4 + Tcm-1,4,70653,40,0.7294279781347058,CD8 Tem-1,0.9441504628590749
hce,43,oracle,CD4 + Tcm-2,4,16861,39,0.4053925102195273,CD4 + Tcm-1,0.2506011300897536
hce,43,oracle,CD4 Monocyte-4,1,1405,35,0.018919371962603907,CD14 Monocyte-1,0.07061800381366398
hce,43,oracle,CD56 NK,2,38442,40,0.8136650417806557,CD16 NK,0.5757040623308012
hce,43,oracle,CD8 + CTL-1,4,7303,40,0.02196009583640758,CD4 + Tcm-2,0.18796098119078591
hce,43,oracle,CD8 + CTL-2,4,4049,33,0.18693109935089722,CD4 + Tcm-2,0.07787845947785957
hce,43,oracle,CD8 + CTL-3,4,3244,27,0.030860016466559594,CD4 + Tcm-2,0.09200799685928943
hce,43,oracle,CD8 Tem-1,4,26714,40,0.3386129892242692,CD4 + Tcm-1,2.7585630836772475
hce,43,oracle,CD8 Tem-2,4,10548,40,0.06384716465723521,CD4 + Tcm-1,0.4304039645451907
hce,43,oracle,Cycling T,4,3667,40,0.19879895245532772,CD4 + Tcm-1,0.39824573351376874
hce,43,oracle,Erythrocyte,3,65,6,0.6422684900114196,platelet,0.002905480837645709
hce,43,oracle,GCB,0,3283,31,0.3911577828236641,Memory B-1,0.0832565580226785
hce,43,oracle,Memory B-1,0,23722,40,0.9110455439854953,GCB,0.08315546485697436
hce,43,oracle,Memory B-2,0,2130,33,0.11057226147452277,Memory B-1,0.09075269154256986
hce,43,oracle,Naive T,4,17960,40,0.2844443106681393,CD4 + Tcm-2,0.38778095654972217
hce,43,oracle,Plasma,0,2173,40,0.7381832492649767,Memory B-1,0.10656015006676929
hce,43,oracle,Tcm,4,2121,36,0.009853166439285752,CD4 + Tcm-1,0.18116452214769233
hce,43,oracle,cDC2,1,7376,40,0.1697211125706031,CD16 Monocyte-1,0.4181514526856788
hce,43,oracle,pDC,1,2615,40,0.1334223531113263,CD16 Monocyte-1,0.16613318845721986
hce,43,oracle,platelet,3,1574,38,0.9870782039992665,Erythrocyte,0.00017489547506832143
cascade,17,ordinary,Atypical Memory B,0,781,34,0.0022662423016408012,CD14 Monocyte-1,0.023605091160156952
cascade,17,ordinary,CD14 Monocyte-1,1,29871,40,0.45375410909348546,CD4 + Tcm-1,0.8444205246629303
cascade,17,ordinary,CD14 Monocyte-2,1,3931,40,0.09708825681115335,CD14 Monocyte-1,0.2869644462669638
cascade,17,ordinary,CD14 Monocyte-3,1,2977,32,0.2155286125203633,CD14 Monocyte-1,0.06983767927467789
cascade,17,ordinary,CD16 Monocyte-1,1,14678,40,0.13417802094637155,CD4 + Tcm-1,0.905219275439815
cascade,17,ordinary,CD16 Monocyte-2,1,5142,40,0.08904040703342733,CD14 Monocyte-1,0.154285584238428
cascade,17,ordinary,CD16 NK,2,58507,40,0.3782494417254053,CD4 + Tcm-1,3.3521618952724315
cascade,17,ordinary,CD4 + Tcm-1,4,70653,40,0.43818728980718036,CD16 NK,1.7673191252705893
cascade,17,ordinary,CD4 + Tcm-2,4,16861,39,0.18335391737718645,CD56 NK,0.43655740042985053
cascade,17,ordinary,CD4 Monocyte-4,1,1405,35,0.011392968635356238,CD14 Monocyte-1,0.05801898150122129
cascade,17,ordinary,CD56 NK,2,38442,40,0.4124577702478054,CD4 + Tcm-1,0.2585299014886832
cascade,17,ordinary,CD8 + CTL-1,4,7303,40,0.003133370644206385,CD56 NK,0.22460497558641299
cascade,17,ordinary,CD8 + CTL-2,4,4049,33,0.07952335929667619,CD56 NK,0.08432802146732928
cascade,17,ordinary,CD8 + CTL-3,4,3244,27,0.009494547679093737,CD56 NK,0.08046879591258795
cascade,17,ordinary,CD8 Tem-1,4,26714,40,0.2353643841202502,CD4 + Tcm-1,1.71394999337454
cascade,17,ordinary,CD8 Tem-2,4,10548,40,0.017138461098368182,CD4 + Tcm-1,0.2531255538228292
cascade,17,ordinary,Cycling T,4,3667,40,0.02913085872292812,CD4 + Tcm-1,0.2384540970460456
cascade,17,ordinary,Erythrocyte,3,65,6,0.2241125107195199,CD8 Tem-2,0.00260783256796342
cascade,17,ordinary,GCB,0,3283,31,0.04201674636541187,CD56 NK,0.053795452150926404
cascade,17,ordinary,Memory B-1,0,23722,40,0.03304633142038149,CD4 + Tcm-1,1.30065395557861
cascade,17,ordinary,Memory B-2,0,2130,33,0.008769662689466252,CD56 NK,0.03735609771586984
cascade,17,ordinary,Naive T,4,17960,40,0.12127451239586225,CD56 NK,0.4013837142986688
cascade,17,ordinary,Plasma,0,2173,40,0.5660550591678387,CD4 + Tcm-1,0.07601505626710864
cascade,17,ordinary,Tcm,4,2121,36,0.006037000715941375,CD56 NK,0.10443243318699591
cascade,17,ordinary,cDC2,1,7376,40,0.10492952747587146,CD4 + Tcm-1,0.42129384997042774
cascade,17,ordinary,pDC,1,2615,40,0.031137931857396817,CD4 + Tcm-1,0.17520083094569017
cascade,17,ordinary,platelet,3,1574,38,0.06214095548401386,CD56 NK,0.03793553790296186
cascade,17,oracle,Atypical Memory B,0,781,34,0.33102948795787246,Memory B-1,0.02685137127233454
cascade,17,oracle,CD14 Monocyte-1,1,29871,40,0.6176399633878987,CD16 Monocyte-1,0.6928213960716645
cascade,17,oracle,CD14 Monocyte-2,1,3931,40,0.2064265541187753,CD14 Monocyte-1,0.38636473772243296
cascade,17,oracle,CD14 Monocyte-3,1,2977,32,0.3340030499350149,CD14 Monocyte-1,0.08599530952777573
cascade,17,oracle,CD16 Monocyte-1,1,14678,40,0.4129079702921898,CD14 Monocyte-1,0.9214098823401617
cascade,17,oracle,CD16 Monocyte-2,1,5142,40,0.17739902108714203,CD14 Monocyte-1,0.23556056330430555
cascade,17,oracle,CD16 NK,2,58507,40,0.9371952588363718,CD56 NK,0.3629387490312419
cascade,17,oracle,CD4 + Tcm-1,4,70653,40,0.72335508234989,CD8 Tem-1,1.175132516036115
cascade,17,oracle,CD4 + Tcm-2,4,16861,39,0.40609078735160736,CD4 + Tcm-1,0.24491440785014124
cascade,17,oracle,CD4 Monocyte-4,1,1405,35,0.01333934542005305,CD14 Monocyte-1,0.07473993675348695
cascade,17,oracle,CD56 NK,2,38442,40,0.8059886687999877,CD16 NK,0.6107354475363228
cascade,17,oracle,CD8 + CTL-1,4,7303,40,0.029533112368580684,CD4 + Tcm-2,0.19110358762285734
cascade,17,oracle,CD8 + CTL-2,4,4049,33,0.20896529338798145,CD4 + Tcm-2,0.07761752198784672
cascade,17,oracle,CD8 + CTL-3,4,3244,27,0.027941990973778835,CD4 + Tcm-2,0.08297685085830575
cascade,17,oracle,CD8 Tem-1,4,26714,40,0.37028952650315855,CD4 + Tcm-1,2.5784120683385825
cascade,17,oracle,CD8 Tem-2,4,10548,40,0.05773243548942005,CD4 + Tcm-1,0.3955429970202394
cascade,17,oracle,Cycling T,4,3667,40,0.19574795131705094,CD4 + Tcm-1,0.38561732378218777
cascade,17,oracle,Erythrocyte,3,65,6,0.4867475372010789,platelet,0.0038254861886169796
cascade,17,oracle,GCB,0,3283,31,0.3515542562623412,Memory B-1,0.07960723296935893
cascade,17,oracle,Memory B-1,0,23722,40,0.9058511119846858,GCB,0.11302479888889891
cascade,17,oracle,Memory B-2,0,2130,33,0.07987873837025508,Memory B-1,0.08335431873965848
cascade,17,oracle,Naive T,4,17960,40,0.2853157870745698,CD4 + Tcm-2,0.39460278014822386
cascade,17,oracle,Plasma,0,2173,40,0.7306338382777912,Memory B-1,0.11214644313725272
cascade,17,oracle,Tcm,4,2121,36,0.014339929872017015,CD4 + Tcm-1,0.18063289632298762
cascade,17,oracle,cDC2,1,7376,40,0.14961311895562412,CD14 Monocyte-1,0.4379244671618627
cascade,17,oracle,pDC,1,2615,40,0.10398474957987068,CD16 Monocyte-1,0.1622656112606346
cascade,17,oracle,platelet,3,1574,38,0.9837460841812046,Erythrocyte,6.594566077552098e-05
cascade,29,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.01933648730946096
cascade,29,ordinary,CD14 Monocyte-1,1,29871,40,0.4494189852355576,CD4 + Tcm-1,0.786323051191795
cascade,29,ordinary,CD14 Monocyte-2,1,3931,40,0.0652422992557326,CD14 Monocyte-1,0.2931170053688354
cascade,29,ordinary,CD14 Monocyte-3,1,2977,32,0.2420020653695072,CD14 Monocyte-1,0.052584283160665525
cascade,29,ordinary,CD16 Monocyte-1,1,14678,40,0.137324716737986,CD4 + Tcm-1,0.8609436860886835
cascade,29,ordinary,CD16 Monocyte-2,1,5142,40,0.09089731737937147,CD14 Monocyte-1,0.14940128008126488
cascade,29,ordinary,CD16 NK,2,58507,40,0.4002690134173137,CD4 + Tcm-1,3.0802481121355605
cascade,29,ordinary,CD4 + Tcm-1,4,70653,40,0.42750030160898095,CD16 NK,2.054998546243121
cascade,29,ordinary,CD4 + Tcm-2,4,16861,39,0.19706105082335107,CD56 NK,0.43018131374808644
cascade,29,ordinary,CD4 Monocyte-4,1,1405,35,0.009537897519227137,CD14 Monocyte-1,0.05464956592758835
cascade,29,ordinary,CD56 NK,2,38442,40,0.4120396661760952,CD4 + Tcm-1,0.2362606326045537
cascade,29,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.21501098930074863
cascade,29,ordinary,CD8 + CTL-2,4,4049,33,0.07514832021590258,CD56 NK,0.07918141994414732
cascade,29,ordinary,CD8 + CTL-3,4,3244,27,0.014507404993841557,CD56 NK,0.09283334457840597
cascade,29,ordinary,CD8 Tem-1,4,26714,40,0.22100167840898774,CD4 + Tcm-1,1.590543753913606
cascade,29,ordinary,CD8 Tem-2,4,10548,40,0.009781391872969053,CD4 + Tcm-1,0.23208146919919026
cascade,29,ordinary,Cycling T,4,3667,40,0.024283219879767438,CD4 + Tcm-1,0.22554596698801818
cascade,29,ordinary,Erythrocyte,3,65,6,0.08110549595686141,CD14 Monocyte-1,0.0020227166640734403
cascade,29,ordinary,GCB,0,3283,31,0.0666825761230392,CD56 NK,0.04940801657205652
cascade,29,ordinary,Memory B-1,0,23722,40,0.039859795707095046,CD4 + Tcm-1,1.1797386682819173
cascade,29,ordinary,Memory B-2,0,2130,33,0.023372763803422385,CD56 NK,0.035686705442182075
cascade,29,ordinary,Naive T,4,17960,40,0.13637526992054524,CD56 NK,0.3874178314816605
cascade,29,ordinary,Plasma,0,2173,40,0.588313829503306,CD4 + Tcm-1,0.06843698027216515
cascade,29,ordinary,Tcm,4,2121,36,0.0008896035157321749,CD56 NK,0.16590831113702018
cascade,29,ordinary,cDC2,1,7376,40,0.1282812797660062,CD4 + Tcm-1,0.3882547287865314
cascade,29,ordinary,pDC,1,2615,40,0.021060610777666983,CD4 + Tcm-1,0.16828775765678572
cascade,29,ordinary,platelet,3,1574,38,0.06607062055464782,CD56 NK,0.04164274454809827
cascade,29,oracle,Atypical Memory B,0,781,34,0.3618914678261289,Memory B-1,0.027436332759459555
cascade,29,oracle,CD14 Monocyte-1,1,29871,40,0.6127520342817667,CD16 Monocyte-1,0.6757134458997098
