model,seed,decoding,subtype,parent,cells,patient_coverage,sb_per_class_f1,largest_error_target,largest_error_mass
flat,29,ordinary,CD4 Monocyte-4,1,1405,35,0.014518460144836931,CD14 Monocyte-1,0.05796360164637934
flat,29,ordinary,CD56 NK,2,38442,40,0.41033238683351336,CD4 + Tcm-1,0.25174880553898266
flat,29,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.21415300609763105
flat,29,ordinary,CD8 + CTL-2,4,4049,33,0.07319333581366735,CD56 NK,0.07566676221532781
flat,29,ordinary,CD8 + CTL-3,4,3244,27,0.01770439910615438,CD56 NK,0.08780069911407803
flat,29,ordinary,CD8 Tem-1,4,26714,40,0.20336319373021217,CD4 + Tcm-1,1.777506626674651
flat,29,ordinary,CD8 Tem-2,4,10548,40,0.01953138071324237,CD4 + Tcm-1,0.27037678007106436
flat,29,ordinary,Cycling T,4,3667,40,0.029679637994761365,CD4 + Tcm-1,0.22790908520189965
flat,29,ordinary,Erythrocyte,3,65,6,0.25580725095648504,CD8 Tem-2,0.002390769663705387
flat,29,ordinary,GCB,0,3283,31,0.04792765359987429,CD56 NK,0.047308232510109884
flat,29,ordinary,Memory B-1,0,23722,40,0.036891744281367954,CD4 + Tcm-1,1.3254733505080842
flat,29,ordinary,Memory B-2,0,2130,33,0.016781103351315104,CD56 NK,0.03355410102832779
flat,29,ordinary,Naive T,4,17960,40,0.11952787791132435,CD56 NK,0.3865832394846094
flat,29,ordinary,Plasma,0,2173,40,0.5920548083261474,CD4 + Tcm-1,0.07226386119826268
flat,29,ordinary,Tcm,4,2121,36,0.006590927992778998,CD56 NK,0.13437044160022144
flat,29,ordinary,cDC2,1,7376,40,0.13763488919364802,CD4 + Tcm-1,0.38671136975032083
flat,29,ordinary,pDC,1,2615,40,0.042003755891541275,CD4 + Tcm-1,0.17637013208954777
flat,29,ordinary,platelet,3,1574,38,0.08432283571179275,CD56 NK,0.03708456978830979
flat,29,oracle,Atypical Memory B,0,781,34,0.34654732355969947,Memory B-1,0.02716607334454633
flat,29,oracle,CD14 Monocyte-1,1,29871,40,0.6162935066347803,CD16 Monocyte-1,0.6918187292604019
flat,29,oracle,CD14 Monocyte-2,1,3931,40,0.20026670236365252,CD14 Monocyte-1,0.3744154644697082
flat,29,oracle,CD14 Monocyte-3,1,2977,32,0.3361967703750521,CD14 Monocyte-1,0.0800227479621436
flat,29,oracle,CD16 Monocyte-1,1,14678,40,0.4207538657279979,CD14 Monocyte-1,0.8166713648192977
flat,29,oracle,CD16 Monocyte-2,1,5142,40,0.19441042262704633,CD14 Monocyte-1,0.2528348642835215
flat,29,oracle,CD16 NK,2,58507,40,0.9394197548581995,CD56 NK,0.36165153481650447
flat,29,oracle,CD4 + Tcm-1,4,70653,40,0.7267198801104456,CD8 Tem-1,1.0022902952577775
flat,29,oracle,CD4 + Tcm-2,4,16861,39,0.4130295541618868,CD4 + Tcm-1,0.22537509324628674
flat,29,oracle,CD4 Monocyte-4,1,1405,35,0.018010932716797382,CD14 Monocyte-1,0.07051412628283624
flat,29,oracle,CD56 NK,2,38442,40,0.8145258990540581,CD16 NK,0.5754779355000949
flat,29,oracle,CD8 + CTL-1,4,7303,40,0.013603974611163442,CD4 + Tcm-2,0.1927443502180141
flat,29,oracle,CD8 + CTL-2,4,4049,33,0.18728699002156185,CD4 + Tcm-2,0.07770481877989874
flat,29,oracle,CD8 + CTL-3,4,3244,27,0.03705249184206026,CD4 + Tcm-2,0.09290374598832772
flat,29,oracle,CD8 Tem-1,4,26714,40,0.3211732106785302,CD4 + Tcm-1,2.7822397673219332
flat,29,oracle,CD8 Tem-2,4,10548,40,0.053674539122973194,CD4 + Tcm-1,0.4258151508715645
flat,29,oracle,Cycling T,4,3667,40,0.22015035895928792,CD4 + Tcm-1,0.3777702045050848
flat,29,oracle,Erythrocyte,3,65,6,0.5032342849670624,platelet,0.003764144022011655
flat,29,oracle,GCB,0,3283,31,0.375524024700442,Memory B-1,0.08117134204187666
flat,29,oracle,Memory B-1,0,23722,40,0.9084687125190855,GCB,0.10156450784875876
flat,29,oracle,Memory B-2,0,2130,33,0.07491977425917545,Memory B-1,0.0884279107257693
flat,29,oracle,Naive T,4,17960,40,0.279757562275546,CD4 + Tcm-2,0.39873919750216963
flat,29,oracle,Plasma,0,2173,40,0.7352700525293883,Memory B-1,0.10794193905966042
flat,29,oracle,Tcm,4,2121,36,0.016854962754289333,CD4 + Tcm-1,0.12904356227921362
flat,29,oracle,cDC2,1,7376,40,0.20167377736133735,CD16 Monocyte-1,0.3973610405221181
flat,29,oracle,pDC,1,2615,40,0.14201239217538256,CD16 Monocyte-1,0.1611913914751892
flat,29,oracle,platelet,3,1574,38,0.9842780482764586,,0.0
flat,43,ordinary,Atypical Memory B,0,781,34,0.0,CD14 Monocyte-1,0.022690858730063802
flat,43,ordinary,CD14 Monocyte-1,1,29871,40,0.45796072721932657,CD4 + Tcm-1,0.7795147031254881
flat,43,ordinary,CD14 Monocyte-2,1,3931,40,0.0680089578043094,CD14 Monocyte-1,0.30679038895971245
flat,43,ordinary,CD14 Monocyte-3,1,2977,32,0.21610935617324137,CD14 Monocyte-1,0.06369704398724343
flat,43,ordinary,CD16 Monocyte-1,1,14678,40,0.15614420218075978,CD4 + Tcm-1,0.8424881954846118
flat,43,ordinary,CD16 Monocyte-2,1,5142,40,0.07872836334213115,CD14 Monocyte-1,0.16622270053774088
flat,43,ordinary,CD16 NK,2,58507,40,0.3897418061053636,CD4 + Tcm-1,3.2111806263737868
flat,43,ordinary,CD4 + Tcm-1,4,70653,40,0.4331403299540258,CD16 NK,1.8641743737006577
flat,43,ordinary,CD4 + Tcm-2,4,16861,39,0.19616087198032736,CD56 NK,0.43142202086200704
flat,43,ordinary,CD4 Monocyte-4,1,1405,35,0.011409198460018845,CD14 Monocyte-1,0.05875366188438276
flat,43,ordinary,CD56 NK,2,38442,40,0.42099120795502437,CD16 NK,0.26064544946657237
flat,43,ordinary,CD8 + CTL-1,4,7303,40,0.0,CD56 NK,0.22879303700156972
flat,43,ordinary,CD8 + CTL-2,4,4049,33,0.06851641986286222,CD56 NK,0.08484977599835984
flat,43,ordinary,CD8 + CTL-3,4,3244,27,0.008513969673792417,CD56 NK,0.09509637068881459
flat,43,ordinary,CD8 Tem-1,4,26714,40,0.22004918973172904,CD4 + Tcm-1,1.6720687604007138
flat,43,ordinary,CD8 Tem-2,4,10548,40,0.015280402554630642,CD4 + Tcm-1,0.2463518815928809
flat,43,ordinary,Cycling T,4,3667,40,0.028091394597188502,CD4 + Tcm-1,0.22130014261943992
flat,43,ordinary,Erythrocyte,3,65,6,0.3340090803434365,CD8 Tem-2,0.003008667675820231
flat,43,ordinary,GCB,0,3283,31,0.029312640360407764,CD56 NK,0.053804171375461625
flat,43,ordinary,Memory B-1,0,23722,40,0.039854745714852556,CD4 + Tcm-1,1.2616681770333862
flat,43,ordinary,Memory B-2,0,2130,33,0.011552323393309808,CD56 NK,0.038008548613828394
flat,43,ordinary,Naive T,4,17960,40,0.10382745572395363,CD56 NK,0.4139788691190503
flat,43,ordinary,Plasma,0,2173,40,0.46936042851736337,CD4 + Tcm-1,0.07391952040876817
flat,43,ordinary,Tcm,4,2121,36,0.006326402770324931,CD16 NK,0.08772304543040717
