model,rank,true_subtype,predicted_subtype,mass,per_seed_mass,true_cells,true_patients
mlp,21,Tcm,CD4 + Tcm-1,0.15601697757491514,"[0.1643282034952533, 0.13626260137815663, 0.1674601278513355]",2121,36
mlp,22,CD4 + Tcm-1,Cycling T,0.1453011849578613,"[0.14271882146474285, 0.14048127021820866, 0.15270346319063233]",70653,40
mlp,23,CD8 Tem-2,CD8 Tem-1,0.14515283016762515,"[0.14656849201063527, 0.14734022191712967, 0.14154977657511048]",10548,40
mlp,24,CD8 + CTL-1,Naive T,0.13825385875778504,"[0.1369132586939137, 0.15691331142965753, 0.12093500614978384]",7303,40
mlp,25,Plasma,Memory B-1,0.12918612599474344,"[0.12898393926817361, 0.12841304639135018, 0.13016139232470642]",2173,40
mlp,26,CD16 Monocyte-1,cDC2,0.11223074035933951,"[0.11929276492278151, 0.08734261236597829, 0.1300568437892587]",14678,40
mlp,27,pDC,CD14 Monocyte-1,0.10657237154364624,"[0.111456457817, 0.1025922762258866, 0.10566838058805214]",2615,40
mlp,28,CD16 Monocyte-2,CD16 Monocyte-1,0.10470335241435423,"[0.10655016679255344, 0.11076438236544542, 0.09679550808506387]",5142,40
mlp,29,CD8 Tem-2,Naive T,0.10204818820851935,"[0.10155253871402682, 0.11695908340748534, 0.08763294250404587]",10548,40
mlp,30,CD14 Monocyte-1,cDC2,0.10068309083674039,"[0.10505803636047349, 0.08079108111522024, 0.11620015503452745]",29871,40
mlp,31,Memory B-2,Memory B-1,0.09970681628948976,"[0.10028203239880279, 0.09885594479891413, 0.0999824716707523]",2130,33
mlp,32,CD14 Monocyte-1,CD14 Monocyte-2,0.09723327647714153,"[0.08646264272025767, 0.08344000623505549, 0.1217971804761114]",29871,40
mlp,33,CD14 Monocyte-2,CD16 Monocyte-1,0.09037453737057355,"[0.09002668017592963, 0.0993710421611279, 0.08172588977466307]",3931,40
mlp,34,CD8 + CTL-2,CD4 + Tcm-2,0.08921594474353171,"[0.09342704478273625, 0.07824873803972868, 0.09597205140813017]",4049,33
mlp,35,CD14 Monocyte-1,CD16 Monocyte-2,0.08851007859637555,"[0.08519515594012947, 0.09537588992401372, 0.08495918992498346]",29871,40
mlp,36,GCB,Memory B-1,0.08835744609723588,"[0.09030007447554358, 0.08589638857652743, 0.0888758752396366]",3283,31
mlp,37,CD4 + Tcm-1,Naive T,0.08427345821027882,"[0.08013916337714845, 0.10432160920380165, 0.06835960204988636]",70653,40
mlp,38,CD14 Monocyte-3,CD14 Monocyte-1,0.0838894875192147,"[0.08616035506986468, 0.07782855485702272, 0.08767955263075665]",2977,32
mlp,39,CD8 + CTL-3,CD4 + Tcm-2,0.08201188728511717,"[0.07605080967148378, 0.07748227098136347, 0.09250258120250426]",3244,27
mlp,40,CD4 Monocyte-4,CD14 Monocyte-1,0.07394853117221434,"[0.07472106767287923, 0.07251402716728497, 0.07461049867647883]",1405,35
mlp,41,Memory B-1,GCB,0.06980587802218231,"[0.06331073168500975, 0.07113078809090045, 0.07497611429063673]",23722,40
mlp,42,CD8 + CTL-1,CD4 + Tcm-1,0.06529640471332977,"[0.064752336397528, 0.06232166887179348, 0.06881520887066783]",7303,40
mlp,43,Naive T,CD8 Tem-1,0.06021437626581875,"[0.05827630649279548, 0.06306750751869335, 0.059299314785967394]",17960,40
mlp,44,CD8 + CTL-3,Naive T,0.05896645772518818,"[0.05478672390446769, 0.07095696704990954, 0.05115568222118733]",3244,27
mlp,45,CD8 + CTL-2,Naive T,0.05277146149171915,"[0.054894634742441994, 0.056058567191627974, 0.04736118254108747]",4049,33
mlp,46,CD4 + Tcm-2,CD8 Tem-1,0.049711043588452596,"[0.04839816382045972, 0.04983972188335375, 0.050895245061544296]",16861,39
mlp,47,Naive T,CD8 + CTL-2,0.04920116646895865,"[0.03961614537057129, 0.05938011737263759, 0.048607236663667064]",17960,40
mlp,48,CD4 + Tcm-1,Tcm,0.048182148228826306,"[0.05119029096001245, 0.05010113583320367, 0.0432550178932628]",70653,40
mlp,49,Tcm,Naive T,0.04468400703221326,"[0.046613268349770226, 0.06337036447814373, 0.024068388268725826]",2121,36
mlp,50,CD8 Tem-1,Cycling T,0.04368423610320968,"[0.04134016865384313, 0.046466472883435944, 0.04324606677234997]",26714,40
mlp,51,CD16 Monocyte-1,CD16 Monocyte-2,0.04115142640429437,"[0.03773427598697117, 0.043568339591200565, 0.04215166363471137]",14678,40
mlp,52,CD4 + Tcm-2,CD8 + CTL-2,0.04038487889444457,"[0.030297434213149933, 0.051233125155251316, 0.03962407731493246]",16861,39
mlp,53,Memory B-1,Plasma,0.03741677615318661,"[0.03893404365083085, 0.0348580465666189, 0.03845823824211006]",23722,40
mlp,54,CD16 Monocyte-1,CD14 Monocyte-2,0.03506235091085855,"[0.02990206439940491, 0.03223598034067831, 0.04304900799249241]",14678,40
mlp,55,Tcm,CD4 + Tcm-2,0.03394960846060582,"[0.027424073114907105, 0.034922595262620544, 0.03950215700428977]",2121,36
mlp,56,CD8 + CTL-3,Tcm,0.029614646543229085,"[0.032519060214719155, 0.028318033297028162, 0.02800684611793994]",3244,27
mlp,57,CD14 Monocyte-1,CD14 Monocyte-3,0.028624825508298767,"[0.02727001286850714, 0.03171366037788316, 0.026890803278505997]",29871,40
mlp,58,Cycling T,CD8 Tem-1,0.02847303013289482,"[0.026492871576270834, 0.03183074801763128, 0.027095470804782362]",3667,40
mlp,59,Atypical Memory B,Memory B-1,0.027086122943375732,"[0.02698696280268855, 0.027014331577910906, 0.02725707444952774]",781,34
mlp,60,pDC,cDC2,0.026065679101207374,"[0.028499052752989786, 0.022078500685589357, 0.02761948386504297]",2615,40
mlp,61,CD16 Monocyte-1,pDC,0.0258566983295853,"[0.02194798983996623, 0.02501417885721112, 0.03060792629157856]",14678,40
mlp,62,CD14 Monocyte-1,pDC,0.024512798077130613,"[0.01811063209300364, 0.022040224756430585, 0.033387537381957634]",29871,40
mlp,63,cDC2,CD16 Monocyte-2,0.02429638636228411,"[0.01992203122326829, 0.027478928626114407, 0.025488199237469627]",7376,40
mlp,64,CD4 + Tcm-2,CD8 Tem-2,0.023483374349600728,"[0.04118093907168077, 0.013042182768085008, 0.01622700120903641]",16861,39
mlp,65,CD4 Monocyte-4,CD16 Monocyte-1,0.023362960965506847,"[0.024663850646262364, 0.024798543650793863, 0.020626488599464317]",1405,35
mlp,66,CD8 + CTL-3,CD4 + Tcm-1,0.023295154474897006,"[0.02238458108455326, 0.019292652278225318, 0.02820823006191243]",3244,27
mlp,67,CD16 Monocyte-2,cDC2,0.023012629837978197,"[0.023232159358983977, 0.01814779391514952, 0.027657936239801104]",5142,40
mlp,68,cDC2,pDC,0.02260238001391504,"[0.016401756849453605, 0.018781597642590096, 0.032623785549701426]",7376,40
mlp,69,Tcm,CD8 Tem-1,0.021454447552651815,"[0.024871160180617077, 0.014937045795740681, 0.0245551366815977]",2121,36
mlp,70,CD8 Tem-1,CD4 + Tcm-2,0.02104308751197803,"[0.019878635348076407, 0.020034788023084952, 0.023215839164772732]",26714,40
mlp,71,Naive T,CD8 Tem-2,0.020875662343298438,"[0.03495438566349202, 0.009665111328148726, 0.01800749003825456]",17960,40
mlp,72,CD8 + CTL-1,CD8 + CTL-2,0.02081083014445426,"[0.01588461522228026, 0.02696797647822198, 0.01957989873286054]",7303,40
mlp,73,Tcm,CD8 + CTL-3,0.020563517896482145,"[0.0131039676875181, 0.028928923525330316, 0.01965766247659802]",2121,36
mlp,74,CD8 Tem-2,CD8 + CTL-2,0.019339648902960947,"[0.01414793575747484, 0.026996815309124664, 0.01687419564228334]",10548,40
mlp,75,Memory B-2,GCB,0.0174711841361188,"[0.015271352968996635, 0.02000812979665196, 0.01713406964270781]",2130,33
mlp,76,Memory B-1,Atypical Memory B,0.01728094946393449,"[0.015674356506245404, 0.01803987971715689, 0.018128612168401177]",23722,40
mlp,77,GCB,Atypical Memory B,0.016997718739005973,"[0.018022674200989203, 0.01588744878109242, 0.017083033234936283]",3283,31
mlp,78,cDC2,CD14 Monocyte-2,0.016860741274543446,"[0.01631512572177003, 0.013963487070362435, 0.020303611031497887]",7376,40
mlp,79,CD8 Tem-1,Tcm,0.015724430180712477,"[0.01602613972304341, 0.0158705461334993, 0.015276604685594719]",26714,40
mlp,80,Naive T,Cycling T,0.015539972618567122,"[0.014155092675594864, 0.015966784422320867, 0.01649804075778563]",17960,40
mlp,81,CD14 Monocyte-3,CD16 Monocyte-2,0.014616861497440072,"[0.014292332678576197, 0.017494647637335423, 0.012063604176408595]",2977,32
mlp,82,CD4 + Tcm-1,CD8 Tem-2,0.014293194866012266,"[0.022829629620723366, 0.007662557934212046, 0.012387397043101394]",70653,40
mlp,83,CD8 + CTL-2,CD4 + Tcm-1,0.014179727430921921,"[0.013666483195855906, 0.013299698404560762, 0.015573000692349088]",4049,33
mlp,84,CD8 Tem-2,Cycling T,0.013579832285835565,"[0.011686528570213451, 0.015061017128952515, 0.013991951158340732]",10548,40
mlp,85,CD4 + Tcm-2,Tcm,0.0134847777604896,"[0.014936984596234635, 0.013225455111249416, 0.012291893573984752]",16861,39
mlp,86,CD14 Monocyte-2,CD16 Monocyte-2,0.012774855370728902,"[0.011987654160118951, 0.014457067414368, 0.011879844537699752]",3931,40
mlp,87,CD8 + CTL-1,CD8 Tem-2,0.012387652862480869,"[0.022012910612966053, 0.006032509729700229, 0.009117538244776319]",7303,40
mlp,88,CD8 + CTL-1,CD8 Tem-1,0.011977042858240352,"[0.012970696169615888, 0.011523003026442779, 0.011437429378662399]",7303,40
mlp,89,CD8 Tem-1,Naive T,0.011841296387248026,"[0.01051634925029913, 0.014452815972361505, 0.01055472393908345]",26714,40
mlp,90,Naive T,Tcm,0.011326914895740491,"[0.013381048700793527, 0.0101135833203672, 0.010486112666060747]",17960,40
mlp,91,CD4 + Tcm-2,CD8 + CTL-3,0.011199813268450197,"[0.014535971810460348, 0.013774555888499945, 0.0052889121063902965]",16861,39
mlp,92,CD4 + Tcm-2,Cycling T,0.011003473858560922,"[0.008567377679740903, 0.011837855761163652, 0.012605188134778204]",16861,39
mlp,93,CD16 Monocyte-2,CD14 Monocyte-2,0.01099768254519852,"[0.010004272127107122, 0.008766120785801731, 0.014222654722686703]",5142,40
mlp,94,Cycling T,CD4 + Tcm-2,0.010983740055479951,"[0.011293924355446367, 0.010145777347095264, 0.011511518463898227]",3667,40
mlp,95,CD16 Monocyte-2,CD14 Monocyte-3,0.010578630519307484,"[0.010036181290879902, 0.011389943070754737, 0.010309767196287817]",5142,40
mlp,96,CD14 Monocyte-2,cDC2,0.008995792837655508,"[0.009972526594173178, 0.006395142910793891, 0.010619709007999452]",3931,40
mlp,97,pDC,CD16 Monocyte-2,0.0087339972423511,"[0.008373432848946226, 0.00923405728266433, 0.008594501595442752]",2615,40
mlp,98,CD14 Monocyte-3,cDC2,0.008669579618230104,"[0.008553961854460843, 0.00657347406394394, 0.010881302936285534]",2977,32
mlp,99,CD8 + CTL-1,Tcm,0.00816317857501024,"[0.009180021783102536, 0.008090866656293761, 0.0072186472856344205]",7303,40
mlp,100,CD8 Tem-1,CD8 Tem-2,0.008073333260547303,"[0.007603760283554337, 0.006729511686146488, 0.009886727811941087]",26714,40
mlp,101,CD4 + Tcm-1,CD8 + CTL-3,0.008047944879381515,"[0.011119590982047239, 0.009097433977777764, 0.003926809678319546]",70653,40
mlp,102,pDC,CD14 Monocyte-2,0.007369067521438455,"[0.007927666774068432, 0.005241327632723497, 0.00893820815752343]",2615,40
mlp,103,CD8 + CTL-2,CD8 Tem-1,0.007286220952789726,"[0.007564044125032404, 0.007299458076822805, 0.006995160656513971]",4049,33
mlp,104,Naive T,CD8 + CTL-3,0.0069721281756323595,"[0.010733291375395656, 0.007534306098669343, 0.0026487870528320804]",17960,40
mlp,105,CD8 + CTL-3,CD8 Tem-2,0.006524167045401219,"[0.012760362231478964, 0.0023090524132265413, 0.004503086491498154]",3244,27
mlp,106,CD4 Monocyte-4,CD16 Monocyte-2,0.006241188979317663,"[0.006191573671492093, 0.0064449088700014, 0.006087084396459496]",1405,35
mlp,107,CD14 Monocyte-3,CD16 Monocyte-1,0.005939623481276922,"[0.007473032005159585, 0.005478832596754152, 0.004867005841917026]",2977,32
mlp,108,CD8 Tem-2,Tcm,0.005922034039433498,"[0.006534930760852653, 0.006129492158825646, 0.005101679198622194]",10548,40
mlp,109,CD8 + CTL-2,Cycling T,0.005215966896119095,"[0.0028341274159654553, 0.006446291827000905, 0.0063674814453909285]",4049,33
mlp,110,Naive T,CD8 + CTL-1,0.0049597372677092555,"[0.005428490804076145, 0.006693473561081106, 0.002757247437970514]",17960,40
mlp,111,cDC2,CD14 Monocyte-3,0.00489763334557139,"[0.004785066667078752, 0.005679751034150713, 0.004228082335484705]",7376,40
mlp,112,CD8 + CTL-1,CD8 + CTL-3,0.004782182849854792,"[0.007149899405754493, 0.004783935133188911, 0.0024127140106209705]",7303,40
mlp,113,CD14 Monocyte-2,pDC,0.004768919420094018,"[0.002543185342067464, 0.0032333933724004666, 0.008530179545814124]",3931,40
mlp,114,CD4 + Tcm-2,CD8 + CTL-1,0.004716942827011816,"[0.005378166473844245, 0.005959252701823518, 0.002813409305367685]",16861,39
mlp,115,Atypical Memory B,GCB,0.00420240622671459,"[0.003895156414640261, 0.005060702720974937, 0.0036513595445285714]",781,34
mlp,116,CD4 + Tcm-1,CD8 + CTL-2,0.003942114150880646,"[0.0020426924237569675, 0.006735490991611876, 0.003048159037273093]",70653,40
mlp,117,Memory B-1,Memory B-2,0.003901706011684705,"[0.004159943284634507, 0.002594265760689018, 0.00495090898973059]",23722,40
mlp,118,CD8 Tem-2,CD8 + CTL-3,0.003756375379236882,"[0.007159087587601881, 0.002753294142761603, 0.0013567444073471614]",10548,40
mlp,119,CD8 + CTL-1,Cycling T,0.003493214990720573,"[0.002166872705351172, 0.0035501605311412934, 0.004762611735669254]",7303,40
mlp,120,CD4 Monocyte-4,cDC2,0.0034195512131823384,"[0.0032261361301757045, 0.0024984769073457046, 0.004534040602025606]",1405,35
mlp,121,CD4 Monocyte-4,CD14 Monocyte-2,0.003332967183890556,"[0.0020327099383210243, 0.0034903454379149592, 0.004475846175435684]",1405,35
mlp,122,CD16 Monocyte-1,CD14 Monocyte-3,0.0033303285527932366,"[0.0031710370595316047, 0.003522678684867774, 0.003297269913980331]",14678,40
mlp,123,Cycling T,CD8 + CTL-2,0.0032973809069507995,"[0.0030894720212817695, 0.003716034949700026, 0.003086635749870602]",3667,40
mlp,124,CD8 + CTL-2,CD8 Tem-2,0.0032666602846858953,"[0.005608524844155572, 0.0018949301974073593, 0.0022965258124947536]",4049,33
mlp,125,Memory B-2,Atypical Memory B,0.003128660720248673,"[0.0034177008949857054, 0.0030171648576929654, 0.002951116408067347]",2130,33
mlp,126,Cycling T,Naive T,0.0031256915753243735,"[0.0028146431020662707, 0.003929435868509491, 0.00263299575539736]",3667,40
mlp,127,CD16 Monocyte-2,pDC,0.0030598278363458777,"[0.0026917241286110714, 0.0030006260919058147, 0.003487133288520746]",5142,40
mlp,128,CD4 Monocyte-4,CD14 Monocyte-3,0.00294440871530102,"[0.002364953317159247, 0.0034744087761314963, 0.0029938640526123153]",1405,35
mlp,129,Atypical Memory B,Plasma,0.0023479800904640854,"[0.002953073596022046, 0.002203474215426703, 0.001887392459943506]",781,34
