actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
32,13.474656308069825,0,3.5801216904073954,22.714285714285715,2,xgboost,30,228102,6400,28,32,efe902f7ff6c11bd,9,success,fine,6400,2,18.1315842801705
8,2.2270364742726088,0,0.3071952145546675,8.0,8,xgboost,5,228102,6400,5,8,efe902f7ff6c11bd,9,success,coarse,6400,0,3.6298198187723756
8,13.812638017348945,0,3.5847067702561617,6.571428571428571,2,xgboost,30,228102,6400,28,8,efe902f7ff6c11bd,9,success,fine,6400,2,18.45748185366392
16,3.0296696359291673,1,0.5861708745360374,16.0,16,xgboost,5,228169,6400,5,16,efe902f7ff6c11bd,0,success,coarse,6400,0,4.772054739296436
16,14.052310479804873,1,3.6345904460176826,12.214285714285714,1,xgboost,30,228169,6400,28,16,efe902f7ff6c11bd,0,success,fine,6400,2,18.82321375887841
32,2.648301597684622,1,0.6348735662177205,29.8,21,xgboost,5,228169,6400,5,32,efe902f7ff6c11bd,0,success,coarse,6400,0,4.428060167469084
32,13.251410500146449,1,4.1315692430362105,21.928571428571427,1,xgboost,30,228169,6400,28,32,efe902f7ff6c11bd,0,success,fine,6400,2,18.556421127170324
8,2.9697741232812405,1,0.6293872408568859,8.0,8,xgboost,5,228169,6400,5,8,efe902f7ff6c11bd,0,success,coarse,6400,0,4.775868254713714
8,14.177068225108087,1,3.7545160111039877,6.714285714285714,1,xgboost,30,228169,6400,28,8,efe902f7ff6c11bd,0,success,fine,6400,2,19.104084508493543
16,2.5305403005331755,1,0.7784157888963819,15.6,14,xgboost,5,228169,6400,5,16,efe902f7ff6c11bd,1,success,coarse,6400,0,4.4592716144397855
16,15.60809707827866,1,3.900214759632945,12.172413793103448,1,xgboost,30,228169,6400,29,16,efe902f7ff6c11bd,1,success,fine,6400,1,20.67342064809054
32,3.053594187833369,1,0.5847417479380965,30.6,25,xgboost,5,228169,6400,5,32,efe902f7ff6c11bd,1,success,coarse,6400,0,4.79641580581665
