actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
8,77.21593640185893,0,1.6352920224890113,7.410256410256411,2,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,7,success,fine,6400,0,79.02439312729985
16,9.668716754764318,0,0.3373204758390784,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,8,success,coarse,6400,0,10.187812173739076
16,90.3927750280127,0,4.178410300984979,14.461538461538462,2,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,8,success,fine,6400,0,94.76500391308218
32,9.670494173653424,0,0.3676546821370721,32.0,32,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,8,success,coarse,6400,0,10.24648938793689
32,78.76871689315885,0,2.1299948962405324,27.256410256410255,2,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,8,success,fine,6400,0,81.10797207057476
8,9.397725786082447,0,0.34143036883324385,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,8,success,coarse,6400,0,9.903049565851688
8,79.05472333729267,0,2.9748477656394243,7.410256410256411,2,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,8,success,fine,6400,0,82.27056094259024
16,10.564072869718075,0,0.34457656368613243,16.0,16,xgboost,5,165797,6400,5,16,21f5dbe4f5a61997,9,success,coarse,6400,0,11.086035065352917
16,74.48343212436885,0,2.254839931614697,14.41025641025641,2,xgboost,39,165797,6400,39,16,21f5dbe4f5a61997,9,success,fine,6400,0,76.92190965265036
32,9.904403505846858,0,0.3808576110750437,32.0,32,xgboost,5,165797,6400,5,32,21f5dbe4f5a61997,9,success,coarse,6400,0,10.483405095525086
32,71.59895400702953,0,2.2678421158343554,27.23076923076923,2,xgboost,39,165797,6400,39,32,21f5dbe4f5a61997,9,success,fine,6400,0,74.0590267824009
8,10.228264780715108,0,0.34450598899275064,8.0,8,xgboost,5,165797,6400,5,8,21f5dbe4f5a61997,9,success,coarse,6400,0,10.73399038054049
8,82.27950355689973,0,2.192515785805881,7.461538461538462,2,xgboost,39,165797,6400,39,8,21f5dbe4f5a61997,9,success,fine,6400,0,84.63527212571353
16,9.376675819046795,1,0.23390414379537106,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,0,success,coarse,6400,0,9.761615407653153
16,89.39117454271764,1,6.775260974653065,14.605263157894736,1,xgboost,39,108867,6400,38,16,21f5dbe4f5a61997,0,success,fine,6400,1,96.44410926662385
32,9.710522281937301,1,0.2252761060371995,30.0,22,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,0,success,coarse,6400,0,10.104919941164553
32,94.44538169261068,1,4.637297224253416,27.5,1,xgboost,39,108867,6400,38,32,21f5dbe4f5a61997,0,success,fine,6400,1,99.25290586892515
8,9.812822878360748,1,0.2257994208484888,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,0,success,coarse,6400,0,10.18022334575653
8,93.91232266183943,1,5.637751659378409,7.421052631578948,1,xgboost,39,108867,6400,38,8,21f5dbe4f5a61997,0,success,fine,6400,1,99.69938053004444
16,9.879489068873227,1,0.24934973847121,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,1,success,coarse,6400,0,10.278799868188798
16,95.135696798563,1,2.446670424193144,14.538461538461538,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,1,success,fine,6400,0,97.7604856705293
32,11.197457365691662,1,0.25281861517578363,32.0,32,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,1,success,coarse,6400,0,11.708214537240565
32,93.48368089459836,1,2.3839185191318393,27.307692307692307,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,1,success,fine,6400,0,96.16216128785163
8,10.125201765447855,1,0.23261965345591307,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,1,success,coarse,6400,0,10.491459754295647
8,91.10010434966534,1,2.207430573180318,7.410256410256411,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,1,success,fine,6400,0,93.49576541036367
16,9.671217727474868,1,0.2498644571751356,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,2,success,coarse,6400,0,10.076313648372889
16,93.60931481607258,1,2.219067051075399,14.666666666666666,2,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,2,success,fine,6400,0,95.98898321576416
32,9.914587338455021,1,0.24781143385916948,32.0,32,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,2,success,coarse,6400,0,10.362941580824554
32,92.15202312264591,1,2.2642568293958902,27.41025641025641,2,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,2,success,fine,6400,0,94.59770149830729
8,9.818523068912327,1,0.23133010044693947,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,2,success,coarse,6400,0,10.189208493568003
8,93.73854331113398,1,2.340295711532235,7.435897435897436,2,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,2,success,fine,6400,0,96.22602914925665
16,9.971610179170966,1,0.2287000259384513,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,3,success,coarse,6400,0,10.344745431095362
16,91.0219494253397,1,2.0757441530004144,14.076923076923077,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,3,success,fine,6400,0,93.24879510235041
32,9.66144292615354,1,0.23074463568627834,31.4,29,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,3,success,coarse,6400,0,10.067414035089314
32,87.34173329826444,1,2.1977594904601574,26.333333333333332,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,3,success,fine,6400,0,89.70710148569196
8,9.311173391528428,1,0.22472849860787392,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,3,success,coarse,6400,0,9.662697104737163
8,85.8141679475084,1,2.083172485232353,6.923076923076923,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,3,success,fine,6400,0,88.0407509515062
16,9.719314395450056,1,0.2275945758447051,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,4,success,coarse,6400,0,10.092861780896783
16,90.29901589732617,1,2.1467108130455017,14.461538461538462,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,4,success,fine,6400,0,92.59011490922421
32,9.696496884338558,1,0.22557641379535198,32.0,32,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,4,success,coarse,6400,0,10.10309191327542
32,89.72968204505742,1,2.156755088828504,26.794871794871796,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,4,success,fine,6400,0,92.08547019585967
8,9.221657096408308,1,0.22769633773714304,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,4,success,coarse,6400,0,9.581524107605219
8,90.3860327647999,1,2.095582375302911,7.410256410256411,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,4,success,fine,6400,0,92.61624522693455
16,8.662409078329802,1,0.21352578233927488,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,5,success,coarse,6400,0,9.02853689249605
16,64.37724286410958,1,1.1508833356201649,13.846153846153847,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,5,success,fine,6400,0,65.70073476433754
32,8.955709747970104,1,0.3213941818103194,29.2,18,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,5,success,coarse,6400,0,9.455673339776695
32,77.4071450214833,1,1.9697526013478637,25.94871794871795,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,5,success,fine,6400,0,79.582469554618
8,8.655516285449266,1,0.2047010650858283,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,5,success,coarse,6400,0,9.00055699236691
8,70.56149786151946,1,1.2583253774791956,7.076923076923077,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,5,success,fine,6400,0,72.01498295925558
16,9.594050019048154,1,0.2508770674467087,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,6,success,coarse,6400,0,9.994813235476613
16,75.30158536694944,1,1.8711239956319332,14.307692307692308,1,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,6,success,fine,6400,0,77.32972875516862
32,9.049334756098688,1,0.22651832923293114,31.8,31,xgboost,5,108867,6400,5,32,21f5dbe4f5a61997,6,success,coarse,6400,0,9.449962479993701
32,76.64277329668403,1,2.1099714040756226,26.487179487179485,1,xgboost,39,108867,6400,39,32,21f5dbe4f5a61997,6,success,fine,6400,0,78.95251987501979
8,9.010483458638191,1,0.22044210229068995,8.0,8,xgboost,5,108867,6400,5,8,21f5dbe4f5a61997,6,success,coarse,6400,0,9.364796272478998
8,81.77745342999697,1,1.7587664984166622,7.282051282051282,1,xgboost,39,108867,6400,39,8,21f5dbe4f5a61997,6,success,fine,6400,0,83.70673231221735
16,8.384942940436304,1,0.21759220864623785,16.0,16,xgboost,5,108867,6400,5,16,21f5dbe4f5a61997,7,success,coarse,6400,0,8.756843619048595
16,73.59243340231478,1,1.4709909511730075,14.282051282051283,2,xgboost,39,108867,6400,39,16,21f5dbe4f5a61997,7,success,fine,6400,0,75.21576392930001
