donor_id,pool,sex,n_valid_cells
493_494,39,male,1262
494_495,36,female,1804
496_497,38,male,940
497_498,36,female,1703
498_499,36,male,1409
499_500,49,female,1316
500_501,76,male,838
501_502,76,female,1360
502_503,39,female,918
503_504,39,male,1262
504_505,49,female,919
505_506,42,male,1661
506_507,43,female,1262
507_508,43,male,1682
508_509,49,male,1352
509_510,44,female,1393
510_511,44,male,1573
511_512,44,male,878
512_513,44,female,1398
513_514,44,male,1081
514_515,44,male,1326
515_516,39,male,1759
516_517,39,female,1584
517_518,39,male,1599
519_520,76,female,805
520_521,76,male,1094
521_522,43,female,1088
522_523,76,female,1107
524_525,43,male,1259
526_527,50,female,1487
527_528,42,male,1076
529_530,42,male,1243
531_532,42,male,1243
532_533,42,male,810
533_534,42,male,1176
534_535,43,male,938
535_536,43,female,1184
536_537,43,male,1472
537_538,42,female,1031
538_539,42,female,1404
539_540,42,male,1235
540_541,42,female,1703
541_542,43,female,1084
542_543,43,male,1505
543_544,43,female,1287
544_545,43,male,1153
545_546,43,female,1003
546_547,43,female,1341
547_548,44,male,1112
548_549,47,female,1414
549_550,44,female,1522
550_551,44,female,1144
551_552,44,female,1023
552_553,38,male,2086
553_554,38,male,1615
554_555,38,male,1309
557_558,76,female,922
558_559,38,female,1200
559_560,38,male,1376
560_561,76,male,1556
561_562,39,male,1511
562_563,39,female,1755
563_564,39,male,1129
565_566,76,male,1288
566_567,45,male,906
567_568,45,male,1965
569_570,45,male,1052
570_571,45,male,1390
571_572,46,female,1343
572_573,46,male,1235
573_574,47,female,1814
574_575,47,female,1357
575_576,47,male,1173
576_577,49,female,1905
577_578,49,male,1356
578_579,49,female,1691
579_580,50,female,1455
580_581,51,male,915
581_582,51,female,830
582_583,51,female,1180
583_584,51,male,1047
584_585,51,male,1046
585_586,51,male,1830
586_587,51,male,1422
587_588,51,female,1385
588_589,51,male,1254
589_590,51,female,1517
590_591,51,male,1185
591_592,52,male,1173
592_593,52,male,1048
594_595,52,female,1281
595_596,52,male,1439
596_597,54,female,1328
597_598,54,male,1566
598_599,59,female,1081
599_600,45,female,820
600_601,45,male,1303
602_603,47,male,862
603_604,47,male,1052
604_605,47,female,1440
605_606,47,female,1361
606_607,47,female,1259
608_609,48,male,1262
609_610,48,male,1472
610_611,48,male,1169
611_612,48,female,1249
612_613,48,male,1104
613_614,48,female,1156
614_615,48,female,1329
615_616,48,female,1130
616_617,48,female,1502
617_618,48,female,1060
618_619,48,female,1274
619_620,48,female,1050
620_621,48,female,1578
621_622,47,male,1258
622_623,49,male,1415
623_624,49,female,1012
624_625,51,male,1429
