actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,13.38669151160866,2,1.1898162635043263,15.8,15,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,3,success,coarse,6400,0,14.688327671959996
16,41.107907297089696,2,4.615230241790414,14.185185185185185,1,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,3,success,fine,6400,0,45.82780578825623
32,11.406219369731843,2,1.0999423507601023,30.0,22,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,3,success,coarse,6400,0,12.648358536884189
32,36.74675451684743,2,4.560594957321882,27.22222222222222,1,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,3,success,fine,6400,0,41.438999810256064
8,23.314984290860593,2,1.2584002884104848,7.8,7,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,3,success,coarse,6400,0,24.677477080374956
8,44.67279355227947,2,4.718664709478617,7.111111111111111,1,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,3,success,fine,6400,0,49.49193746037781
16,11.592733114026487,2,1.1585253132507205,16.0,16,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,4,success,coarse,6400,0,12.869376232847571
16,39.30722439195961,2,4.6511925254017115,14.851851851851851,1,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,4,success,fine,6400,0,44.069492157548666
32,11.45908164884895,2,1.1505845906212926,29.8,21,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,4,success,coarse,6400,0,12.74743471480906
32,40.823709541000426,2,4.723292880691588,28.14814814814815,1,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,4,success,fine,6400,0,45.67683204635978
8,11.80433636251837,2,1.1985494391992688,8.0,8,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,4,success,coarse,6400,0,13.106456770561635
8,40.906955413520336,2,4.666619166731834,7.444444444444445,1,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,4,success,fine,6400,0,45.66926672309637
16,10.408506399951875,2,1.2313978923484683,16.0,16,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,5,success,coarse,6400,0,11.755212935619056
16,34.4391117868945,2,4.509612400084734,14.88888888888889,3,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,5,success,fine,6400,0,39.06073820311576
32,11.771966674365103,2,1.2115069385617971,30.2,23,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,5,success,coarse,6400,0,13.119090382009745
32,36.60728035494685,2,4.534168203361332,27.62962962962963,3,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,5,success,fine,6400,0,41.2761632502079
8,10.41631133761257,2,1.2078067976981401,8.0,8,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,5,success,coarse,6400,0,11.73028276860714
8,31.284151948988438,2,4.461877478286624,7.407407407407407,1,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,5,success,fine,6400,0,35.84083085041493
16,12.448254555463791,2,1.2458446947857738,16.0,16,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,6,success,coarse,6400,0,13.805455416440964
16,39.42230989597738,2,4.460723838768899,14.851851851851851,3,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,6,success,fine,6400,0,43.99763207323849
32,13.662814173847437,2,1.2490406446158886,31.6,30,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,6,success,coarse,6400,0,15.047601046040654
32,36.31447331234813,2,4.444135378114879,27.74074074074074,5,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,6,success,fine,6400,0,40.88615171331912
8,10.984141757711768,2,1.193051626905799,8.0,8,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,6,success,coarse,6400,0,12.27644569426775
8,35.64564759656787,2,4.5149167235940695,7.62962962962963,2,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,6,success,fine,6400,0,40.25607522763312
16,10.503057416528463,2,1.2158555230125785,16.0,16,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,7,success,coarse,6400,0,11.833846368826926
16,31.391472436487675,2,4.259063236415386,14.444444444444445,3,xgboost,27,86239,6400,27,16,c4bb1bf38ae4913e,7,success,fine,6400,0,35.762013646773994
32,12.812408627010882,2,1.346078093163669,31.6,30,xgboost,5,86239,6400,5,32,c4bb1bf38ae4913e,7,success,coarse,6400,0,14.299777982756495
32,35.59420240949839,2,4.257472050376236,27.88888888888889,5,xgboost,27,86239,6400,27,32,c4bb1bf38ae4913e,7,success,fine,6400,0,39.97917353827506
8,12.244539674371481,2,1.7578050578013062,8.0,8,xgboost,5,86239,6400,5,8,c4bb1bf38ae4913e,7,success,coarse,6400,0,14.105302484706044
8,34.161890274845064,2,4.378694821149111,7.333333333333333,2,xgboost,27,86239,6400,27,8,c4bb1bf38ae4913e,7,success,fine,6400,0,38.63400334306061
16,10.953958254307508,2,1.0270484602078795,15.8,15,xgboost,5,86239,6400,5,16,c4bb1bf38ae4913e,8,success,coarse,6400,0,12.07803089916706
16,33.619099935516715,2,4.234661654569209,14.384615384615385,6,xgboost,27,86239,6400,26,16,c4bb1bf38ae4913e,8,success,fine,6400,1,37.95236889459193
