method,condition,task,comparison,estimate,low,high
composition,natural,fine,minus_equivariance,-0.0015549867077412766,-0.003789937106779981,0.0008320644725920237
composition,natural,coarse,minus_raw,0.010862229576887095,-0.008494278836912042,0.030123270699363484
composition,natural,coarse,minus_context,-0.00254220970565594,-0.01577031458127963,0.01221639654604
composition,natural,coarse,minus_correction,0.00048791247331153587,-0.004842404949949327,0.004262639516752493
composition,natural,coarse,minus_equivariance,-0.0010572532582782124,-0.007227873027162936,0.0031071096784890248
composition,composition,fine,minus_raw,0.006473766684666413,0.001002943614742738,0.011304077398065967
composition,composition,fine,minus_context,0.005245825830877349,-0.0008137444909537918,0.012386704503329815
composition,composition,fine,minus_correction,0.0009073794166282456,-0.0010358041976277423,0.0023937358458385903
composition,composition,fine,minus_equivariance,-0.0009438824103775723,-0.00288939625345203,0.0014005428029227828
composition,composition,coarse,minus_raw,0.01195511196650656,-0.005690670682476175,0.03175334712075362
composition,composition,coarse,minus_context,-0.0024770494804663423,-0.014536727317075403,0.010801216466858391
composition,composition,coarse,minus_correction,0.00026021480831495136,-0.00375165323636783,0.0037193852843686506
composition,composition,coarse,minus_equivariance,-0.0010004511718240128,-0.006554861720531567,0.0030294001650570486
composition,shift,fine,minus_raw,0.005423372065320675,6.0288875152921685e-05,0.011964759381557093
composition,shift,fine,minus_context,0.006280158133656941,-0.0003751728268954972,0.011939347528734361
composition,shift,fine,minus_correction,0.0001995512606748906,-0.002006709221256558,0.0024919273249595013
composition,shift,fine,minus_equivariance,-0.0003984764659140799,-0.0028733065286604895,0.0016920248120124248
composition,shift,coarse,minus_raw,0.010707029687037461,-0.017052289791633216,0.03809681866104706
composition,shift,coarse,minus_context,0.007166472964041826,-0.011573884965366599,0.03432857893740342
composition,shift,coarse,minus_correction,0.0017557445273654326,-0.0029831858416141262,0.0050734523175507175
composition,shift,coarse,minus_equivariance,0.0025679668140713985,-0.004315883220262046,0.007428735882045227
composition,both,fine,minus_raw,0.004661983673673445,-0.0017120831899171182,0.01258502543116819
composition,both,fine,minus_context,0.006989578397048071,0.00035125444460882915,0.012793143980796515
composition,both,fine,minus_correction,0.0003899030514347007,-0.0022180185234631144,0.0029274966805412344
composition,both,fine,minus_equivariance,0.00018510551786937723,-0.0021734965027574537,0.001881131698962189
composition,both,coarse,minus_raw,0.011814039824112943,-0.01198044870179813,0.03716976070283368
composition,both,coarse,minus_context,0.006436733337322587,-0.008851636647573501,0.029448703325560384
composition,both,coarse,minus_correction,0.0015244705762328392,-0.0027371859351923876,0.0053224967976174715
composition,both,coarse,minus_equivariance,0.002593699719526499,-0.0029864023442737085,0.006686975328008934
equivariance,natural,fine,minus_raw,0.00857185429611372,0.0028940674302704514,0.01268467528873317
equivariance,natural,fine,minus_context,0.006642264604494852,-1.6116973071927234e-05,0.013559714613083456
equivariance,natural,fine,minus_correction,0.002220834824312498,-0.0006925538947011193,0.004494248662767997
equivariance,natural,fine,minus_composition,0.0015549867077412766,-0.0008320644725920239,0.003789937106779978
equivariance,natural,coarse,minus_raw,0.011919482835165307,-0.0072133838768488915,0.03390053692308987
equivariance,natural,coarse,minus_context,-0.0014849564473777277,-0.014732293989539107,0.01519307996138281
equivariance,natural,coarse,minus_correction,0.0015451657315897482,-0.0006673545526444391,0.004840374442718117
equivariance,natural,coarse,minus_composition,0.0010572532582782124,-0.0031071096784890256,0.007227873027162929
equivariance,composition,fine,minus_raw,0.007417649095043985,0.0024589823475609555,0.012022127308449886
equivariance,composition,fine,minus_context,0.006189708241254921,-7.821728806486692e-05,0.013786008342258746
equivariance,composition,fine,minus_correction,0.0018512618270058179,-0.0013770066439563685,0.0045244084455550474
equivariance,composition,fine,minus_composition,0.0009438824103775723,-0.0014005428029227839,0.0028893962534520287
equivariance,composition,coarse,minus_raw,0.012955563138330572,-0.004463168048028876,0.03438883607380186
equivariance,composition,coarse,minus_context,-0.0014765983086423295,-0.01505124748767803,0.014376380196288167
equivariance,composition,coarse,minus_correction,0.0012606659801389641,-0.0013751684205586742,0.004958396616199372
equivariance,composition,coarse,minus_composition,0.0010004511718240128,-0.0030294001650570503,0.006554861720531561
equivariance,shift,fine,minus_raw,0.005821848531234755,-0.00033344765077678024,0.013128655664317245
equivariance,shift,fine,minus_context,0.006678634599571021,0.0004986502838057912,0.012098151208081142
equivariance,shift,fine,minus_correction,0.0005980277265889705,-0.0019341508731179566,0.002932807307451632
equivariance,shift,fine,minus_composition,0.0003984764659140799,-0.0016920248120124257,0.0028733065286604886
equivariance,shift,coarse,minus_raw,0.008139062872966063,-0.014684668732791315,0.03657205117607147
equivariance,shift,coarse,minus_context,0.004598506149970427,-0.01272101882460665,0.029761320328992088
equivariance,shift,coarse,minus_correction,-0.0008122222867059659,-0.004561942512734422,0.003068551360052185
equivariance,shift,coarse,minus_composition,-0.0025679668140713985,-0.007428735882045229,0.004315883220262043
equivariance,both,fine,minus_raw,0.004476878155804068,-0.0023860687191749317,0.01340286750965736
equivariance,both,fine,minus_context,0.006804472879178694,0.0006380565479275031,0.012641597787649186
equivariance,both,fine,minus_correction,0.00020479753356532349,-0.0022772713319627507,0.0027995891900943603
equivariance,both,fine,minus_composition,-0.00018510551786937723,-0.0018811316989621896,0.0021734965027574533
equivariance,both,coarse,minus_raw,0.009220340104586444,-0.010106200563934277,0.034976310961402204
equivariance,both,coarse,minus_context,0.0038430336177960878,-0.01062201536152185,0.027403004557453342
equivariance,both,coarse,minus_correction,-0.0010692291432936596,-0.004197318437685287,0.0027402828468933117
equivariance,both,coarse,minus_composition,-0.002593699719526499,-0.006686975328008939,0.0029864023442737
dual,natural,fine,minus_raw,0.00908783712885508,0.00309341867460809,0.013838186340095569
dual,natural,fine,minus_context,0.007158247437236212,7.858705809831794e-05,0.013575304982381659
dual,natural,fine,minus_correction,0.0027368176570538583,-0.0005876505080147105,0.004175512183719897
dual,natural,fine,minus_composition,0.0020709695404826367,-0.00024371705712330355,0.0036835360234685594
dual,natural,fine,minus_equivariance,0.0005159828327413601,-0.0012843012225924211,0.0025302130362447146
dual,natural,coarse,minus_raw,0.010862749537253358,-0.007545660902291189,0.03092869774575031
dual,natural,coarse,minus_context,-0.002541689745289677,-0.015270553636186568,0.012114730465253147
dual,natural,coarse,minus_correction,0.000488432433677799,-0.0042701009440614685,0.005296118335567955
dual,natural,coarse,minus_composition,5.199603662631169e-07,-0.0023097467330147987,0.0032346187038723878
dual,natural,coarse,minus_equivariance,-0.0010567332979119493,-0.006819617844538049,0.003818259869525472
dual,composition,fine,minus_raw,0.008713235773630076,0.0030677869512664804,0.013307926114758112
dual,composition,fine,minus_context,0.007485294919841012,0.00022382150926341139,0.014875995115234323
dual,composition,fine,minus_correction,0.0031468485055919093,-0.00011686494621257829,0.004999707264783989
dual,composition,fine,minus_composition,0.0022394690889636637,0.0002038136344027275,0.003415770881800311
dual,composition,fine,minus_equivariance,0.0012955866785860914,-0.0009367308993677538,0.003113852777570379
dual,composition,coarse,minus_raw,0.012144347846866743,-0.004804536712889997,0.032583650562990764
dual,composition,coarse,minus_context,-0.002287813600106159,-0.014783514899303055,0.01108519327126475
dual,composition,coarse,minus_correction,0.0004494506886751348,-0.0034794947072907282,0.005525448754406121
dual,composition,coarse,minus_composition,0.00018923588036018346,-0.002325788315548691,0.0030760558987185708
dual,composition,coarse,minus_equivariance,-0.0008112152914638293,-0.0063256414322476195,0.004077128577444128
dual,shift,fine,minus_raw,0.005872905285505103,6.697251134772029e-05,0.012005637991218605
dual,shift,fine,minus_context,0.006729691353841369,0.00023634732698192502,0.011758834695523444
dual,shift,fine,minus_correction,0.0006490844808593188,-0.0014028369667312586,0.002382808950079086
dual,shift,fine,minus_composition,0.0004495332201844282,-0.0014672655935061903,0.001842648360348656
dual,shift,fine,minus_equivariance,5.105675427034828e-05,-0.002222822207334361,0.0014384642110152434
dual,shift,coarse,minus_raw,0.008986876779625508,-0.014727380842060666,0.03685891972997603
dual,shift,coarse,minus_context,0.005446320056629872,-0.012003358193701085,0.030484819878158452
dual,shift,coarse,minus_correction,3.5591619953478926e-05,-0.005228229031018931,0.004986403945024365
dual,shift,coarse,minus_composition,-0.0017201529074119537,-0.007187004261546089,0.003986721917790037
dual,shift,coarse,minus_equivariance,0.0008478139066594448,-0.002866318564215052,0.0039213179268676925
dual,both,fine,minus_raw,0.005048430023872452,-0.001372881665518811,0.012870490156853725
dual,both,fine,minus_context,0.007376024747247079,0.001206207420795863,0.012675009585148228
dual,both,fine,minus_correction,0.000776349401633708,-0.0012788455516262814,0.0027248498940150366
dual,both,fine,minus_composition,0.0003864463501990073,-0.0014481845956917712,0.0016914986373949906
dual,both,fine,minus_equivariance,0.0005715518680683845,-0.001306656598610111,0.0018076309912731943
dual,both,coarse,minus_raw,0.010760476062194435,-0.009696526479365506,0.03652077334308347
dual,both,coarse,minus_context,0.005383169575404079,-0.008857479319336135,0.027359477071864684
dual,both,coarse,minus_correction,0.00047090681431433135,-0.004511280471454651,0.005542500235157533
dual,both,coarse,minus_composition,-0.0010535637619185079,-0.00510457105375951,0.0033410127679417566
dual,both,coarse,minus_equivariance,0.001540135957607991,-0.002639516737046431,0.004959182911728394
