signal,lineage,aptamer,disease,n_patients,median,q1,q3
Raw,Myeloid,APT-164,CRC,8,-0.136438080812793,-0.4244036036901758,0.2504528106238566
Raw,Myeloid,APT-164,GC,7,-0.9319355890721175,-1.0579169126128587,-0.8267169493388016
Raw,Myeloid,APT-164,HCC,7,-0.5415150244615079,-0.9140174956689798,-0.47777845489094695
Raw,Myeloid,APT-164,Normal,6,0.9053608216246662,0.7656715441998903,1.1111776015765082
Raw,Myeloid,APT-164,PC,6,-0.6491316777192793,-0.8002175484649453,-0.5808734251157411
Raw,Myeloid,APT-179,BTC,6,-0.15965707752614894,-0.24419172193297295,0.06668200992699176
Raw,Myeloid,APT-179,CRC,8,-0.987813987349005,-1.3222511021966998,-0.3929792041798837
Raw,Myeloid,APT-179,GC,7,-0.32224074973312405,-0.5307010461304049,-0.0199512307604576
Raw,Myeloid,APT-179,HCC,7,1.6061586600257831,0.8412673926864879,1.6842704285798882
Raw,Myeloid,APT-179,Normal,6,0.14491110361624943,-0.08954429752270593,0.33049714690575716
Raw,Myeloid,APT-179,PC,6,-0.04377281267231948,-0.16318369354429227,0.16540213086155767
Raw,Myeloid,APT-225,BTC,6,-0.33654762226794055,-0.48813167365457916,-0.20845950076392447
Raw,Myeloid,APT-225,CRC,8,-0.6591846857591159,-0.8619041937947329,0.353417835035542
Raw,Myeloid,APT-225,GC,7,-0.6603008176163024,-0.7787646781389659,-0.31814585258917955
Raw,Myeloid,APT-225,HCC,7,1.4742757717629413,1.4192276545333362,1.5292646410093407
Raw,Myeloid,APT-225,Normal,6,0.5213652655128818,0.13119577013377495,0.6464956406496349
Raw,Myeloid,APT-225,PC,6,0.3254859476526473,0.21979600715493114,0.38418593917186694
Raw,T/NK,APT-164,BTC,6,0.38756489313321807,-0.12029825001203248,0.5115335822831182
Raw,T/NK,APT-164,CRC,8,-0.1534454054930976,-0.4356842161792901,0.12884557450833622
Raw,T/NK,APT-164,GC,7,-0.9943174178446799,-1.1102295166857785,-0.8916635773859437
Raw,T/NK,APT-164,HCC,7,-0.7067969793424527,-0.9519194446063654,-0.622365292154206
Raw,T/NK,APT-164,Normal,6,0.8512866155193628,0.6549295484859068,0.9799372190531059
Raw,T/NK,APT-164,PC,6,-0.6903014788367321,-0.83999351110789,-0.5192956688032606
Raw,T/NK,APT-179,BTC,6,-0.1779957453390501,-0.29734049329489265,-0.0361994416869319
Raw,T/NK,APT-179,CRC,8,-1.0486122523312023,-1.3669805195452822,-0.5326673289298121
Raw,T/NK,APT-179,GC,7,-0.49935209606509406,-0.6502343910957856,-0.18103436650988294
Raw,T/NK,APT-179,HCC,7,1.4779084936434619,0.8041613556398616,1.515871637689084
Raw,T/NK,APT-179,Normal,6,0.07961726338661784,-0.21200278212197582,0.18311617380241957
Raw,T/NK,APT-179,PC,6,-0.09465350968566694,-0.15147243614490283,0.1877491288110335
Raw,T/NK,APT-225,BTC,6,-0.5740822737774552,-0.6767714508477924,-0.4204200336382288
Raw,T/NK,APT-225,CRC,8,-0.850696547229647,-1.1228223937010289,-0.098383368158167
Raw,T/NK,APT-225,GC,7,-1.0100008943762966,-1.0622570513854686,-0.6829481582931021
Raw,T/NK,APT-225,HCC,7,1.195710962635773,1.168301905936756,1.2096660564282657
Raw,T/NK,APT-225,Normal,6,0.16195266111033538,-0.30925865090727916,0.3096282592494155
