model,fold,task,stage,seed,patient_count,cell_count,configuration_count,selected,selection_seconds,refit_seconds,hardware,artifact_source
flat,0,joint,inner,17,24,226431,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",3587.052293777466,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_selection.json
flat,0,joint,validation,17,8,68381,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",3587.052293777466,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_selection.json
flat,0,joint,refit,17,32,294812,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,1003.9736759662628,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s17.npz
flat,0,joint,test,17,8,66980,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,1003.9736759662628,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s17.npz
flat,0,joint,refit,29,32,294812,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,989.516295671463,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s29.npz
flat,0,joint,test,29,8,66980,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,989.516295671463,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s29.npz
flat,0,joint,refit,43,32,294812,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,997.5749523639679,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s43.npz
flat,0,joint,test,43,8,66980,4,"{""config"": {""lr"": 0.0003, ""decay"": 0.001}, ""score"": 0.14620202605122115, ""epochs"": 33, ""history"": [0.08470053226423786, 0.08267421684903091, 0.10158040877040603, 0.10469424892717091, 0.11868785117239067, 0.10526718703960986, 0.12716231572089265, 0.12898102302647946, 0.11948145215682819, 0.11338673351561147, 0.11538173235134648, 0.12592062805374857, 0.13312126211890626, 0.12835123229749043, 0.1233030140329191, 0.1326165653323877, 0.1322903453263683, 0.1295857396334808, 0.1338777573929699, 0.12556508569031713, 0.13227164966775976, 0.13652479380357882, 0.1319403987491633, 0.13211607317260285, 0.1381871333479111, 0.1403195763992333, 0.13044369695563432, 0.14063443014317936, 0.12224126204551757, 0.1280000529942037, 0.13309647474496283, 0.1423127775034922, 0.14620202605122115, 0.13967494707349312, 0.14231924483115874, 0.13760704193093978, 0.1425226066670512, 0.13819918659101635, 0.1382215513171912, 0.1415440315553664, 0.13217866545459278]}",,997.5749523639679,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/flat_f0/joint_s43.npz
hce,0,joint,inner,17,24,226431,4,"{""config"": {""lr"": 0.0003, ""decay"": 1e-05}, ""score"": 0.14547945635511453, ""epochs"": 33, ""history"": [0.08524321117303015, 0.08858644082225853, 0.10701130009846709, 0.10231066573697804, 0.1214798795621611, 0.10383459544132484, 0.1329206998852589, 0.1274650342766957, 0.11791216671242125, 0.11269477752102891, 0.12484061405800775, 0.13192650024671362, 0.13380713201662242, 0.13401931634665207, 0.1261079785739979, 0.13198819173790818, 0.1305707027347169, 0.12861486327747093, 0.13614696477785426, 0.1283586344467047, 0.1334770443555841, 0.13905432783473906, 0.13636175739189327, 0.13498590238515287, 0.1304688733518047, 0.14195140538178788, 0.12582132376485083, 0.14045655986061445, 0.12469267233202307, 0.12374203381510364, 0.14043539270283972, 0.13879632331474628, 0.14547945635511453, 0.14080078396923895, 0.1357358120850025, 0.13635857470353102, 0.13541280941685604, 0.13418560308247132, 0.13495687143927387, 0.1409798246625332, 0.13478624476496243]}",3128.1788840293884,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/hce_f0/joint_selection.json
hce,0,joint,validation,17,8,68381,4,"{""config"": {""lr"": 0.0003, ""decay"": 1e-05}, ""score"": 0.14547945635511453, ""epochs"": 33, ""history"": [0.08524321117303015, 0.08858644082225853, 0.10701130009846709, 0.10231066573697804, 0.1214798795621611, 0.10383459544132484, 0.1329206998852589, 0.1274650342766957, 0.11791216671242125, 0.11269477752102891, 0.12484061405800775, 0.13192650024671362, 0.13380713201662242, 0.13401931634665207, 0.1261079785739979, 0.13198819173790818, 0.1305707027347169, 0.12861486327747093, 0.13614696477785426, 0.1283586344467047, 0.1334770443555841, 0.13905432783473906, 0.13636175739189327, 0.13498590238515287, 0.1304688733518047, 0.14195140538178788, 0.12582132376485083, 0.14045655986061445, 0.12469267233202307, 0.12374203381510364, 0.14043539270283972, 0.13879632331474628, 0.14547945635511453, 0.14080078396923895, 0.1357358120850025, 0.13635857470353102, 0.13541280941685604, 0.13418560308247132, 0.13495687143927387, 0.1409798246625332, 0.13478624476496243]}",3128.1788840293884,,NVIDIA RTX 6000 Ada Generation,/ssd2/mayiling/apt_unified_v2/combined/hce_f0/joint_selection.json
