actual_contributing_patients,fit_seconds,fold,inference_seconds,mean_class_donor_coverage,min_class_donor_coverage,model,n_classes,n_test_cells,n_train_cells,observed_class_count,patient_budget,protocol_hash,seed,status,task,total,unseen_at_training_class_count,wall_seconds
16,0.31952681578695774,0,0.09587424341589212,11.10344827586207,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,5,success,fine,3200,1,1.4947437765076756
32,0.05232222564518452,0,0.05390204023569822,28.2,13,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,5,success,coarse,3200,0,1.2109984662383795
32,0.3469283850863576,0,0.09499681740999222,19.379310344827587,1,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,5,success,fine,3200,1,1.546884961426258
8,0.05909064318984747,0,0.054552577435970306,7.8,7,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,5,success,coarse,3200,0,1.2274848446249962
8,0.30351483821868896,0,0.10037961974740028,6.103448275862069,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,5,success,fine,3200,1,1.4887311710044742
16,0.12517644464969635,0,0.054596878588199615,15.4,13,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,5,success,coarse,6400,0,1.2672347975894809
16,0.7880723932757974,0,0.09638648293912411,11.931034482758621,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,5,success,fine,6400,1,1.9631926603615284
32,0.12232728861272335,0,0.05364689324051142,30.6,25,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,5,success,coarse,6400,0,1.2666331864893436
32,0.8563223043456674,0,0.09437818173319101,21.551724137931036,1,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,5,success,fine,6400,1,2.066752609796822
8,0.12679469492286444,0,0.053953719325363636,7.8,7,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,5,success,coarse,6400,0,1.2664707032963634
8,0.7458480838686228,0,0.09820829797536135,6.241379310344827,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,5,success,fine,6400,1,1.9550164993852377
16,0.0429596109315753,0,0.05675620213150978,14.6,9,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,6,success,coarse,3200,0,1.1839804230257869
16,0.35173960216343403,0,0.09711269102990627,11.172413793103448,1,logistic_regression,30,228102,3200,29,16,74749b9de8a69391,6,success,fine,3200,1,1.552242150530219
32,0.05214414652436972,0,0.05318288318812847,27.4,9,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,6,success,coarse,3200,0,1.200868765823543
32,0.365535787306726,0,0.09397251158952713,19.75862068965517,1,logistic_regression,30,228102,3200,29,32,74749b9de8a69391,6,success,fine,3200,1,1.5459870398044586
8,0.05423981696367264,0,0.05565359629690647,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,6,success,coarse,3200,0,1.1954015102237463
8,0.3814033716917038,0,0.09444863721728325,6.344827586206897,1,logistic_regression,30,228102,3200,29,8,74749b9de8a69391,6,success,fine,3200,1,1.5670627281069756
16,0.10391994472593069,0,0.05370709951967001,15.6,14,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,6,success,coarse,6400,0,1.256389981135726
16,0.8228567754849792,0,0.09518607426434755,12.448275862068966,1,logistic_regression,30,228102,6400,29,16,74749b9de8a69391,6,success,fine,6400,1,2.013786024414003
32,0.09876392036676407,0,0.05376101844012737,29.2,18,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,6,success,coarse,6400,0,1.2686198288574815
32,0.8065839670598507,0,0.09712303429841995,21.896551724137932,1,logistic_regression,30,228102,6400,29,32,74749b9de8a69391,6,success,fine,6400,1,2.001512692309916
8,0.10260643530637026,0,0.05595589987933636,8.0,8,logistic_regression,5,228102,6400,5,8,74749b9de8a69391,6,success,coarse,6400,0,1.2244588695466518
8,0.8350332761183381,0,0.09741535596549511,6.551724137931035,1,logistic_regression,30,228102,6400,29,8,74749b9de8a69391,6,success,fine,6400,1,2.0374478176236153
16,0.049667276442050934,0,0.05285089276731014,15.8,15,logistic_regression,5,228102,3200,5,16,74749b9de8a69391,7,success,coarse,3200,0,1.1807195479050279
16,0.3170482609421015,0,0.09826289769262075,11.3,1,logistic_regression,30,228102,3200,30,16,74749b9de8a69391,7,success,fine,3200,0,1.4880277337506413
32,0.05120747536420822,0,0.052882242016494274,28.6,15,logistic_regression,5,228102,3200,5,32,74749b9de8a69391,7,success,coarse,3200,0,1.2078559696674347
32,0.2903571277856827,0,0.09495604783296585,19.733333333333334,1,logistic_regression,30,228102,3200,30,32,74749b9de8a69391,7,success,fine,3200,0,1.4805706199258566
8,0.0573758389800787,0,0.05529468692839146,8.0,8,logistic_regression,5,228102,3200,5,8,74749b9de8a69391,7,success,coarse,3200,0,1.2131343400105834
8,0.32695230282843113,0,0.09704337548464537,6.0,1,logistic_regression,30,228102,3200,30,8,74749b9de8a69391,7,success,fine,3200,0,1.5088747348636389
16,0.09680788218975067,0,0.05290155205875635,16.0,16,logistic_regression,5,228102,6400,5,16,74749b9de8a69391,7,success,coarse,6400,0,1.2601816011592746
16,0.7719370489940047,0,0.09619621001183987,11.9,1,logistic_regression,30,228102,6400,30,16,74749b9de8a69391,7,success,fine,6400,0,1.9544388419017196
32,0.12810739502310753,0,0.05304152239114046,31.2,28,logistic_regression,5,228102,6400,5,32,74749b9de8a69391,7,success,coarse,6400,0,1.2710109697654843
