permutation,seed,patient_accuracy,patient_macro_f1
577,42,0.175,0.17264957264957262
578,42,0.05,0.04074074074074074
579,42,0.225,0.21209150326797388
580,42,0.175,0.17673530173530172
581,42,0.075,0.06722689075630252
582,42,0.225,0.18686868686868688
583,42,0.175,0.1712700554805818
584,42,0.2,0.20966223319164498
585,42,0.125,0.11667744020685196
586,42,0.125,0.10882352941176471
587,42,0.05,0.04183006535947712
588,42,0.2,0.1956723831723832
589,42,0.125,0.10019841269841269
590,42,0.075,0.059259259259259255
591,42,0.05,0.05128205128205129
592,42,0.075,0.06734006734006734
593,42,0.125,0.11743702204228519
594,42,0.175,0.16827412783295137
595,42,0.15,0.12406015037593983
596,42,0.25,0.2177045177045177
597,42,0.175,0.16746031746031745
598,42,0.125,0.11216931216931215
599,42,0.1,0.11188811188811189
600,42,0.05,0.05113636363636364
601,42,0.1,0.0998217468805704
602,42,0.15,0.1533189033189033
603,42,0.15,0.13942307692307693
604,42,0.1,0.11428571428571428
605,42,0.05,0.06666666666666667
606,42,0.25,0.2519216894216894
607,42,0.15,0.14711538461538462
608,42,0.1,0.08750000000000001
609,42,0.1,0.07430340557275542
610,42,0.15,0.12698412698412698
611,42,0.05,0.041666666666666664
612,42,0.075,0.06699346405228758
613,42,0.075,0.06539074960127592
614,42,0.175,0.17301587301587298
615,42,0.075,0.068218954248366
616,42,0.175,0.1691919191919192
617,42,0.125,0.1167906167906168
618,42,0.275,0.26620046620046617
619,42,0.1,0.07638888888888888
620,42,0.125,0.11942959001782531
621,42,0.05,0.046031746031746035
622,42,0.1,0.08306878306878306
623,42,0.125,0.10712250712250711
624,42,0.175,0.18446969696969698
625,42,0.275,0.2585081585081585
626,42,0.2,0.20008354218880534
627,42,0.05,0.0392156862745098
628,42,0.175,0.1829822954822955
629,42,0.15,0.1440850815850816
630,42,0.05,0.047619047619047616
631,42,0.225,0.22797619047619047
632,42,0.15,0.14002011060834588
633,42,0.15,0.14305555555555557
634,42,0.25,0.2445887445887446
635,42,0.1,0.09047619047619049
636,42,0.1,0.09280303030303032
637,42,0.075,0.07509157509157509
638,42,0.075,0.0811965811965812
639,42,0.15,0.14056776556776557
640,42,0.05,0.03968253968253968
641,42,0.15,0.15138888888888888
642,42,0.1,0.10317460317460318
643,42,0.075,0.0625
644,42,0.175,0.18338850691791866
645,42,0.15,0.1300925925925926
646,42,0.05,0.05185185185185185
647,42,0.15,0.14017094017094017
648,42,0.1,0.08698830409356724
649,42,0.05,0.048611111111111105
650,42,0.025,0.022222222222222223
651,42,0.05,0.047619047619047616
652,42,0.125,0.11942959001782531
653,42,0.15,0.14598146951088128
654,42,0.125,0.1365079365079365
655,42,0.2,0.20754338254338256
656,42,0.075,0.0673076923076923
657,42,0.125,0.11472832722832722
658,42,0.1,0.09294871794871795
659,42,0.15,0.16296296296296295
660,42,0.1,0.10040885040885039
661,42,0.2,0.17787114845938376
662,42,0.2,0.19284188034188032
663,42,0.175,0.15169144580909286
664,42,0.125,0.1258838383838384
665,42,0.175,0.18236531986531987
666,42,0.15,0.15234667866246812
667,42,0.125,0.12217194570135748
668,42,0.25,0.24649979649979648
669,42,0.175,0.15826330532212884
670,42,0.1,0.10416666666666667
671,42,0.225,0.18487394957983194
672,42,0.1,0.08148148148148147
673,42,0.1,0.0849002849002849
674,42,0.125,0.1128968253968254
675,42,0.175,0.13452991452991453
676,42,0.225,0.2123040358334476
677,42,0.1,0.08928571428571429
678,42,0.15,0.14208598419124735
679,42,0.05,0.047619047619047616
680,42,0.1,0.07965686274509805
681,42,0.175,0.15795096716149348
682,42,0.125,0.10317460317460318
683,42,0.125,0.12437344790285969
684,42,0.175,0.15285204991087345
685,42,0.075,0.06578388931330108
686,42,0.325,0.2945156695156695
687,42,0.125,0.1356976356976357
688,42,0.075,0.05555555555555555
689,42,0.125,0.1328671328671329
690,42,0.0,0.0
691,42,0.15,0.14285714285714285
692,42,0.1,0.08912655971479501
693,42,0.1,0.09027777777777778
694,42,0.25,0.23297998297998299
695,42,0.15,0.15042735042735042
