B,n_cells,seed,model,patient_macro_f1,patient_accuracy
10,500,49,LR,1.0,1.0
10,1000,49,LR,1.0,1.0
10,5000,49,LR,1.0,1.0
10,all,49,LR,1.0,1.0
20,100,0,LR,1.0,1.0
20,500,0,LR,1.0,1.0
20,1000,0,LR,1.0,1.0
20,5000,0,LR,1.0,1.0
20,all,0,LR,1.0,1.0
20,100,1,LR,1.0,1.0
20,500,1,LR,1.0,1.0
20,1000,1,LR,1.0,1.0
20,5000,1,LR,1.0,1.0
20,all,1,LR,1.0,1.0
20,100,2,LR,1.0,1.0
20,500,2,LR,1.0,1.0
20,1000,2,LR,1.0,1.0
20,5000,2,LR,1.0,1.0
20,all,2,LR,1.0,1.0
20,100,3,LR,1.0,1.0
20,500,3,LR,1.0,1.0
20,1000,3,LR,1.0,1.0
20,5000,3,LR,1.0,1.0
20,all,3,LR,1.0,1.0
20,100,4,LR,1.0,1.0
20,500,4,LR,1.0,1.0
20,1000,4,LR,1.0,1.0
20,5000,4,LR,1.0,1.0
20,all,4,LR,1.0,1.0
20,100,5,LR,1.0,1.0
20,500,5,LR,1.0,1.0
20,1000,5,LR,1.0,1.0
20,5000,5,LR,1.0,1.0
20,all,5,LR,1.0,1.0
20,100,6,LR,1.0,1.0
20,500,6,LR,1.0,1.0
20,1000,6,LR,1.0,1.0
20,5000,6,LR,1.0,1.0
20,all,6,LR,1.0,1.0
20,100,7,LR,1.0,1.0
20,500,7,LR,1.0,1.0
20,1000,7,LR,1.0,1.0
20,5000,7,LR,1.0,1.0
20,all,7,LR,1.0,1.0
20,100,8,LR,1.0,1.0
20,500,8,LR,1.0,1.0
20,1000,8,LR,1.0,1.0
20,5000,8,LR,1.0,1.0
20,all,8,LR,1.0,1.0
20,100,9,LR,1.0,1.0
20,500,9,LR,1.0,1.0
20,1000,9,LR,1.0,1.0
20,5000,9,LR,1.0,1.0
20,all,9,LR,1.0,1.0
20,100,10,LR,1.0,1.0
20,500,10,LR,1.0,1.0
20,1000,10,LR,1.0,1.0
20,5000,10,LR,1.0,1.0
20,all,10,LR,1.0,1.0
20,100,11,LR,1.0,1.0
20,500,11,LR,1.0,1.0
20,1000,11,LR,1.0,1.0
20,5000,11,LR,1.0,1.0
20,all,11,LR,1.0,1.0
20,100,12,LR,1.0,1.0
20,500,12,LR,1.0,1.0
20,1000,12,LR,1.0,1.0
20,5000,12,LR,1.0,1.0
20,all,12,LR,1.0,1.0
20,100,13,LR,1.0,1.0
20,500,13,LR,1.0,1.0
20,1000,13,LR,1.0,1.0
20,5000,13,LR,1.0,1.0
20,all,13,LR,1.0,1.0
20,100,14,LR,1.0,1.0
20,500,14,LR,1.0,1.0
20,1000,14,LR,1.0,1.0
20,5000,14,LR,1.0,1.0
20,all,14,LR,1.0,1.0
