B,repeat,model,patient_macro_f1,patient_accuracy,aptamers
5,87,LR,0.6028873087696617,0.675,APT-31;APT-79;APT-90;APT-189;APT-246
5,88,LR,0.5897033522033521,0.625,APT-150;APT-163;APT-198;APT-220;APT-238
5,89,LR,0.6706349206349206,0.7,APT-48;APT-52;APT-255;APT-267;APT-276
5,90,LR,0.6778084660437602,0.7,APT-161;APT-176;APT-207;APT-252;APT-270
5,91,LR,0.4802631578947369,0.525,APT-25;APT-28;APT-181;APT-240;APT-267
5,92,LR,0.8059065934065934,0.825,APT-40;APT-164;APT-209;APT-257;APT-284
5,93,LR,0.6503968253968254,0.65,APT-08;APT-19;APT-64;APT-112;APT-210
5,94,LR,0.8021228771228771,0.8,APT-10;APT-19;APT-47;APT-51;APT-228
5,95,LR,0.587389854727316,0.625,APT-80;APT-90;APT-124;APT-203;APT-253
5,96,LR,0.6897971309736016,0.7,APT-109;APT-149;APT-173;APT-202;APT-250
5,97,LR,0.9042735042735043,0.9,APT-27;APT-108;APT-161;APT-192;APT-231
5,98,LR,0.5161319073083779,0.575,APT-117;APT-134;APT-151;APT-154;APT-292
5,99,LR,0.6553439751969165,0.7,APT-07;APT-157;APT-171;APT-185;APT-191
5,0,XGBoost,0.5976190476190476,0.65,APT-11;APT-96;APT-167;APT-234;APT-258
5,1,XGBoost,0.5091269841269842,0.55,APT-51;APT-107;APT-240;APT-242;APT-261
5,2,XGBoost,0.8385683760683761,0.85,APT-103;APT-126;APT-194;APT-204;APT-285
5,3,XGBoost,0.46856848002358836,0.525,APT-89;APT-112;APT-129;APT-185;APT-220
5,4,XGBoost,0.8709415584415585,0.875,APT-49;APT-50;APT-191;APT-217;APT-238
5,5,XGBoost,0.8484126984126984,0.85,APT-13;APT-38;APT-162;APT-270;APT-284
5,6,XGBoost,0.8782550782550783,0.875,APT-75;APT-79;APT-105;APT-126;APT-226
5,7,XGBoost,0.7758222169986877,0.775,APT-16;APT-35;APT-171;APT-217;APT-247
5,8,XGBoost,0.7996336996336996,0.8,APT-171;APT-218;APT-241;APT-273;APT-286
5,9,XGBoost,0.7840695252459958,0.825,APT-20;APT-171;APT-179;APT-268;APT-282
5,10,XGBoost,0.7997446997446999,0.8,APT-10;APT-53;APT-57;APT-148;APT-267
5,11,XGBoost,0.8130027652086476,0.825,APT-73;APT-88;APT-120;APT-128;APT-139
5,12,XGBoost,0.682010582010582,0.7,APT-70;APT-165;APT-173;APT-204;APT-259
5,13,XGBoost,0.6234755440637795,0.625,APT-85;APT-115;APT-121;APT-151;APT-184
5,14,XGBoost,0.7060170221934928,0.725,APT-71;APT-100;APT-166;APT-220;APT-285
5,15,XGBoost,0.7704212454212455,0.775,APT-20;APT-138;APT-143;APT-209;APT-229
5,16,XGBoost,0.7466153127917834,0.75,APT-131;APT-172;APT-173;APT-219;APT-238
5,17,XGBoost,0.9004773004773005,0.9,APT-21;APT-27;APT-61;APT-91;APT-92
5,18,XGBoost,0.917094017094017,0.925,APT-11;APT-81;APT-190;APT-204;APT-282
5,19,XGBoost,0.7318224259400731,0.725,APT-67;APT-78;APT-277;APT-280;APT-290
5,20,XGBoost,0.7945179820179821,0.8,APT-64;APT-75;APT-112;APT-169;APT-180
5,21,XGBoost,0.7966699966699967,0.8,APT-47;APT-94;APT-142;APT-149;APT-218
5,22,XGBoost,0.716971916971917,0.75,APT-75;APT-76;APT-112;APT-210;APT-230
5,23,XGBoost,0.9760683760683762,0.975,APT-69;APT-85;APT-167;APT-190;APT-286
5,24,XGBoost,0.6768939393939394,0.7,APT-23;APT-112;APT-156;APT-190;APT-221
5,25,XGBoost,0.803052503052503,0.8,APT-74;APT-116;APT-160;APT-166;APT-253
5,26,XGBoost,0.572893772893773,0.575,APT-16;APT-23;APT-50;APT-83;APT-138
5,27,XGBoost,0.8258547008547009,0.825,APT-05;APT-119;APT-166;APT-176;APT-286
5,28,XGBoost,0.7166056166056167,0.725,APT-28;APT-31;APT-224;APT-238;APT-244
5,29,XGBoost,0.7114810026574733,0.725,APT-122;APT-131;APT-210;APT-242;APT-268
5,30,XGBoost,0.7627289377289378,0.775,APT-97;APT-128;APT-145;APT-168;APT-262
5,31,XGBoost,0.6218576744892536,0.65,APT-03;APT-46;APT-235;APT-246;APT-284
5,32,XGBoost,0.6807081807081806,0.7,APT-04;APT-87;APT-123;APT-185;APT-221
5,33,XGBoost,0.7582417582417582,0.775,APT-44;APT-149;APT-159;APT-173;APT-263
5,34,XGBoost,0.6528109689874396,0.675,APT-27;APT-111;APT-123;APT-266;APT-273
5,35,XGBoost,0.5454248366013071,0.6,APT-67;APT-180;APT-189;APT-207;APT-265
5,36,XGBoost,0.7274392274392275,0.725,APT-107;APT-213;APT-251;APT-263;APT-287
5,37,XGBoost,0.8220390720390719,0.825,APT-39;APT-58;APT-136;APT-206;APT-271
5,38,XGBoost,0.7557311969076675,0.75,APT-78;APT-91;APT-146;APT-186;APT-190
5,39,XGBoost,0.7736263736263737,0.775,APT-07;APT-201;APT-253;APT-277;APT-279
5,40,XGBoost,0.5204609116373823,0.575,APT-44;APT-213;APT-227;APT-267;APT-270
5,41,XGBoost,0.7428801590566296,0.75,APT-46;APT-108;APT-138;APT-173;APT-246
5,42,XGBoost,0.6888888888888888,0.725,APT-120;APT-155;APT-210;APT-263;APT-273
5,43,XGBoost,0.6718798630563336,0.7,APT-44;APT-156;APT-188;APT-235;APT-240
5,44,XGBoost,0.8482184482184483,0.85,APT-35;APT-50;APT-167;APT-176;APT-253
5,45,XGBoost,0.8495817907582613,0.85,APT-30;APT-104;APT-132;APT-225;APT-293
5,46,XGBoost,0.4203963906750285,0.5,APT-123;APT-156;APT-182;APT-199;APT-274
5,47,XGBoost,0.7877344877344877,0.8,APT-142;APT-173;APT-225;APT-264;APT-274
5,48,XGBoost,0.49340463458110523,0.575,APT-03;APT-08;APT-202;APT-239;APT-268
5,49,XGBoost,0.7444444444444445,0.75,APT-11;APT-60;APT-76;APT-134;APT-215
5,50,XGBoost,0.7514041514041514,0.75,APT-02;APT-07;APT-187;APT-232;APT-242
5,51,XGBoost,0.6261017963804342,0.65,APT-16;APT-32;APT-114;APT-147;APT-188
5,52,XGBoost,0.8510683760683762,0.875,APT-28;APT-57;APT-75;APT-76;APT-277
5,53,XGBoost,0.4071428571428572,0.5,APT-80;APT-143;APT-154;APT-265;APT-284
5,54,XGBoost,0.49048636548636554,0.5,APT-193;APT-219;APT-222;APT-254;APT-290
5,55,XGBoost,0.8559107559107559,0.85,APT-40;APT-91;APT-139;APT-144;APT-257
5,56,XGBoost,0.6992664742664743,0.725,APT-13;APT-49;APT-67;APT-98;APT-228
5,57,XGBoost,0.7833979745744452,0.8,APT-02;APT-12;APT-52;APT-96;APT-172
5,58,XGBoost,0.8484126984126984,0.875,APT-16;APT-94;APT-175;APT-207;APT-209
5,59,XGBoost,0.8253968253968255,0.825,APT-07;APT-39;APT-46;APT-244;APT-281
5,60,XGBoost,0.7944444444444444,0.8,APT-51;APT-54;APT-108;APT-117;APT-166
5,61,XGBoost,0.8268217893217894,0.825,APT-69;APT-76;APT-115;APT-123;APT-256
5,62,XGBoost,0.7046720823036612,0.725,APT-58;APT-66;APT-128;APT-132;APT-255
5,63,XGBoost,0.6603535353535354,0.7,APT-54;APT-65;APT-108;APT-154;APT-226
5,64,XGBoost,0.7464016375781083,0.75,APT-159;APT-186;APT-243;APT-273;APT-284
5,65,XGBoost,0.4383541295306001,0.5,APT-13;APT-48;APT-102;APT-163;APT-206
5,66,XGBoost,0.6347410759175466,0.675,APT-03;APT-08;APT-45;APT-82;APT-154
5,67,XGBoost,0.8728937728937728,0.875,APT-36;APT-138;APT-144;APT-211;APT-272
5,68,XGBoost,0.6207293523469994,0.65,APT-28;APT-152;APT-214;APT-237;APT-250
