cell_budget,seed,feature_set,transform,eligible_patients,eligible_diseases,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc
100,41,pred_soft_lineage,clr,40,6,0.425,0.4384920634920635,0.41702578467284357,2.3302961928702133,0.740874474789916
100,41,pred_soft_subtype,raw,40,6,0.575,0.6031746031746031,0.5626373626373626,2.4318664631360924,0.8269560428338002
100,41,pred_soft_subtype,clr,40,6,0.7,0.7142857142857143,0.7053779553779553,1.2524627539147413,0.8914169597763348
100,42,pred_soft_lineage,raw,40,6,0.475,0.48313492063492064,0.49233405483405485,2.622735586580729,0.7608840174327306
100,42,pred_soft_lineage,clr,40,6,0.425,0.44543650793650796,0.4258699633699634,1.8122728094713103,0.760569687155165
100,42,pred_soft_subtype,raw,40,6,0.65,0.6607142857142857,0.6497113997113997,3.4324948141570912,0.7850775016445972
100,42,pred_soft_subtype,clr,40,6,0.675,0.6974206349206349,0.6762057387057387,1.3022551726771556,0.9027577176704016
100,43,pred_soft_lineage,raw,40,6,0.425,0.431547619047619,0.4219155844155844,3.4586115870829572,0.68579538823105
100,43,pred_soft_lineage,clr,40,6,0.425,0.431547619047619,0.4172008547008546,1.878019972426923,0.8175480182603345
100,43,pred_soft_subtype,raw,40,6,0.55,0.5724206349206349,0.5569055944055944,3.5250108998401415,0.7873918743633816
100,43,pred_soft_subtype,clr,40,6,0.725,0.7321428571428571,0.7259702286018075,0.8472640341399419,0.9467266546770223
100,44,pred_soft_lineage,raw,40,6,0.45,0.4553571428571428,0.4435286935286935,2.9176379824444005,0.7244253525273745
100,44,pred_soft_lineage,clr,40,6,0.475,0.4871031746031746,0.4698704073704074,1.473423447682894,0.7892224835009761
100,44,pred_soft_subtype,raw,40,6,0.525,0.5515873015873015,0.515018315018315,3.201875688201549,0.7697187539788642
100,44,pred_soft_subtype,clr,40,6,0.65,0.6696428571428571,0.6474358974358975,1.1536036407370536,0.9172500676406927
100,45,pred_soft_lineage,raw,40,6,0.4,0.41071428571428575,0.4202402172990409,2.7667853326433884,0.7493562529178338
100,45,pred_soft_lineage,clr,40,6,0.45,0.46329365079365087,0.4506105006105006,1.8466816586575008,0.7877952317290552
100,45,pred_soft_subtype,raw,40,6,0.725,0.7371031746031745,0.7177914677914679,2.850416086743985,0.8545325563937696
100,45,pred_soft_subtype,clr,40,6,0.675,0.6974206349206349,0.6758519258519259,1.0130767923346764,0.9245978694508107
100,46,pred_soft_lineage,raw,40,6,0.45,0.4553571428571428,0.454034854034854,2.4253987933402135,0.7665305231941262
100,46,pred_soft_lineage,clr,40,6,0.4,0.4077380952380953,0.39767033075856606,2.624098797312633,0.7768619758509465
100,46,pred_soft_subtype,raw,40,6,0.5,0.5277777777777778,0.48174603174603176,3.503570176622295,0.790295284780579
100,46,pred_soft_subtype,clr,40,6,0.6,0.6140873015873016,0.6002039627039627,0.9587536091914537,0.9095168133541297
100,47,pred_soft_lineage,raw,40,6,0.475,0.48313492063492053,0.4726939726939727,2.2459595690191696,0.7715385870257193
100,47,pred_soft_lineage,clr,40,6,0.475,0.48313492063492064,0.46823731823731823,2.0177780989901017,0.7524867901706137
100,47,pred_soft_subtype,raw,40,6,0.55,0.5684523809523809,0.5388500388500389,1.8605117756668776,0.8067780616034294
100,47,pred_soft_subtype,clr,40,6,0.675,0.6904761904761904,0.6748047274363064,0.9606022286586657,0.911191583641032
100,48,pred_soft_lineage,raw,40,6,0.525,0.5386904761904762,0.5386603592485946,1.9575251720134623,0.7725180507809183
100,48,pred_soft_lineage,clr,40,6,0.475,0.48710317460317465,0.4848105111263006,1.941099535392965,0.7955657878681776
100,48,pred_soft_subtype,raw,40,6,0.6,0.623015873015873,0.5691881218197007,2.132445173698617,0.8395148305534336
100,48,pred_soft_subtype,clr,40,6,0.65,0.6666666666666666,0.6481435231435232,0.974486923781918,0.9140338190200322
100,49,pred_soft_lineage,raw,40,6,0.45,0.4563492063492063,0.4453422394598865,1.555857647430012,0.8005199712460742
100,49,pred_soft_lineage,clr,40,6,0.475,0.4871031746031746,0.47353341103341107,2.027353818721977,0.7570984596490112
100,49,pred_soft_subtype,raw,40,6,0.575,0.5962301587301587,0.5685356310356311,2.967722433941765,0.8119658374713521
100,49,pred_soft_subtype,clr,40,6,0.75,0.7628968253968255,0.7516519428284134,1.0827174922139922,0.9011079810712164
500,0,pred_soft_lineage,raw,40,6,0.425,0.43154761904761907,0.42023809523809524,2.4824450922314965,0.7580180746541041
500,0,pred_soft_lineage,clr,40,6,0.475,0.49404761904761907,0.4782967032967033,2.4934078161485664,0.7395642679420252
500,0,pred_soft_subtype,raw,40,6,0.575,0.5992063492063492,0.5581232492997199,3.099749693563335,0.8202516565338255
500,0,pred_soft_subtype,clr,40,6,0.65,0.6726190476190476,0.643956043956044,1.154974490607112,0.8911712649074782
500,1,pred_soft_lineage,raw,40,6,0.475,0.4871031746031746,0.46862026862026857,2.0976536072976915,0.7764606079174095
500,1,pred_soft_lineage,clr,40,6,0.525,0.5357142857142857,0.5226088726088727,2.452059951493329,0.8003279910449027
500,1,pred_soft_subtype,raw,40,6,0.55,0.5753968253968254,0.5343137254901961,2.868886018010161,0.8017303749151176
500,1,pred_soft_subtype,clr,40,6,0.675,0.6934523809523809,0.6782869907869907,1.177340014986233,0.9118553908305747
500,2,pred_soft_lineage,raw,40,6,0.475,0.4871031746031746,0.47060439560439565,1.8790353781557427,0.7959865527650455
500,2,pred_soft_lineage,clr,40,6,0.475,0.4871031746031746,0.4766622266622267,2.2302704885663385,0.7943583683473391
500,2,pred_soft_subtype,raw,40,6,0.65,0.6686507936507938,0.6542277167277167,3.5820706599704524,0.8099545215813597
500,2,pred_soft_subtype,clr,40,6,0.775,0.7906746031746033,0.778021978021978,0.8482515590514274,0.9232473766021561
500,3,pred_soft_lineage,raw,40,6,0.475,0.4871031746031746,0.47314491064491065,2.766580190751249,0.7403292045985062
500,3,pred_soft_lineage,clr,40,6,0.5,0.5079365079365079,0.49747899159663866,3.3351257390958438,0.7576785449028095
500,3,pred_soft_subtype,raw,40,6,0.575,0.6031746031746031,0.548611111111111,3.612838822315524,0.7953171088511163
500,3,pred_soft_subtype,clr,40,6,0.775,0.7837301587301587,0.7797619047619048,0.7644452590803636,0.9503243769098549
500,4,pred_soft_lineage,raw,40,6,0.45,0.45932539682539675,0.4432234432234432,2.5859416808357545,0.7628908571004159
500,4,pred_soft_lineage,clr,40,6,0.425,0.4384920634920635,0.4273199023199023,2.6074720757687473,0.7297981455839911
500,4,pred_soft_subtype,raw,40,6,0.6,0.6200396825396826,0.5915398327163034,3.365872964426323,0.7989834664926577
500,4,pred_soft_subtype,clr,40,6,0.65,0.6726190476190476,0.6489607614607614,1.2933654287234138,0.8729677950725745
500,5,pred_soft_lineage,raw,40,6,0.45,0.4593253968253968,0.44481074481074484,2.799593610092617,0.725932181584755
500,5,pred_soft_lineage,clr,40,6,0.45,0.4593253968253968,0.45138888888888884,3.149090254997219,0.7448286369472031
500,5,pred_soft_subtype,raw,40,6,0.6,0.6240079365079365,0.5952380952380952,3.401984309143927,0.8029140870363296
500,5,pred_soft_subtype,clr,40,6,0.725,0.7490079365079364,0.7301587301587302,1.0608620016883048,0.9029307982662763
500,6,pred_soft_lineage,raw,40,6,0.45,0.45535714285714285,0.4575757575757575,2.4644031424062285,0.7697366588680926
500,6,pred_soft_lineage,clr,40,6,0.5,0.5148809523809523,0.4905834361716715,1.478314488532573,0.7998816951022834
500,6,pred_soft_subtype,raw,40,6,0.55,0.5753968253968255,0.5483405483405482,4.1049994375477405,0.7894592259252186
500,6,pred_soft_subtype,clr,40,6,0.7,0.7212301587301587,0.7014652014652015,0.950723860857325,0.911030273851965
500,7,pred_soft_lineage,raw,40,6,0.475,0.48313492063492064,0.4873737373737374,2.684157001692263,0.7339892159515321
500,7,pred_soft_lineage,clr,40,6,0.425,0.4384920634920635,0.42736430236430234,1.9882340871553137,0.7532646581359818
500,7,pred_soft_subtype,raw,40,6,0.625,0.6517857142857143,0.6232600732600733,2.160573129459253,0.8451618336728629
500,7,pred_soft_subtype,clr,40,6,0.725,0.7490079365079364,0.7264957264957265,0.9319571243891345,0.9120306266445972
500,8,pred_soft_lineage,raw,40,6,0.5,0.5069444444444444,0.5106837606837606,2.1366423700084476,0.7811163764748322
500,8,pred_soft_lineage,clr,40,6,0.525,0.5317460317460317,0.51876881288646,1.6272349616553385,0.7938063009294627
500,8,pred_soft_subtype,raw,40,6,0.55,0.5753968253968255,0.5499278499278499,3.163612048258468,0.7881448744270436
500,8,pred_soft_subtype,clr,40,6,0.6,0.6180555555555556,0.6011396011396011,1.3370916029044604,0.8629559778456836
500,9,pred_soft_lineage,raw,40,6,0.425,0.42757936507936506,0.4233044733044733,3.117393632106579,0.7614859864400305
500,9,pred_soft_lineage,clr,40,6,0.45,0.46626984126984133,0.45208957708957714,1.5927400461356633,0.7829158178422885
500,9,pred_soft_subtype,raw,40,6,0.55,0.5793650793650794,0.5409035409035409,2.6932544170016692,0.7887741981262201
500,9,pred_soft_subtype,clr,40,6,0.75,0.7698412698412698,0.7502442002442002,0.995439541205628,0.909431101986249
500,10,pred_soft_lineage,raw,40,6,0.425,0.435515873015873,0.42721426177308536,2.7715048653994727,0.7574863989156269
