feature_set,transform,outer_fold,selected_C,accuracy,balanced_accuracy,macro_f1,log_loss,macro_auroc,recall::BTC,f1::BTC,recall::CRC,f1::CRC,recall::GC,f1::GC,recall::HCC,f1::HCC,recall::Normal,f1::Normal,recall::PC,f1::PC,confusion_matrix
pred_soft_lineage,clr,3,10.0,0.375,0.4166666666666667,0.3333333333333333,1.9694005195563342,0.8214285714285715,0.5,0.5,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 1, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
pred_soft_lineage,clr,4,1.0,0.25,0.25,0.2222222222222222,1.724807432815418,0.7162698412698414,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 1], [1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [0, 1, 0, 0, 0, 0]]"
pred_hard_subtype,raw,0,100.0,0.25,0.3333333333333333,0.2222222222222222,8.810606245498025,0.7281746031746033,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 1], [1, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_subtype,raw,1,1.0,0.75,0.75,0.6944444444444443,0.7491764830911525,0.9146825396825399,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_subtype,raw,2,0.01,0.75,0.8333333333333334,0.7444444444444445,1.5887757412165433,0.8888888888888888,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_subtype,raw,3,10.0,0.5,0.5833333333333334,0.5,5.254107168855206,0.6746031746031745,0.5,0.5,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"[[1, 1, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0]]"
pred_hard_subtype,raw,4,0.01,0.5,0.4166666666666667,0.3,1.3745305535097838,0.8492063492063492,1.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.8,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 2, 0], [1, 0, 0, 0, 0, 0]]"
pred_hard_subtype,clr,0,0.1,0.5,0.6666666666666666,0.47222222222222215,1.4383991780826506,0.8035714285714285,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,"[[1, 0, 0, 0, 0, 0], [1, 0, 0, 1, 0, 0], [0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_subtype,clr,1,0.1,0.75,0.75,0.6944444444444443,1.1892382103080226,0.8531746031746033,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 1, 0, 0, 0]]"
pred_hard_subtype,clr,2,0.1,0.75,0.8333333333333334,0.75,1.122835301296528,0.9305555555555557,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 2, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 2, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
pred_hard_subtype,clr,3,0.1,0.625,0.6666666666666666,0.6222222222222221,1.0434718044144122,0.9444444444444445,0.5,0.4,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,"[[1, 0, 0, 1, 0, 0], [1, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [1, 0, 0, 0, 0, 1]]"
pred_hard_subtype,clr,4,0.01,0.625,0.5,0.4666666666666666,1.3841411556697576,0.8293650793650794,1.0,1.0,0.0,0.0,1.0,0.8,0.0,0.0,1.0,1.0,0.0,0.0,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 2, 0, 0, 0], [0, 1, 0, 0, 0, 0], [0, 0, 0, 0, 2, 0], [0, 0, 1, 0, 0, 0]]"
pred_soft_subtype,raw,0,100.0,0.5,0.6666666666666666,0.5,5.1214693874869335,0.878968253968254,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,"[[1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 2], [2, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1]]"
