outer_fold,subtype,log_loss_increase_mean,log_loss_increase_sd,permutations
1,CD56 NK,-0.003962086360339947,0.014004906804310274,100
1,CD8 + CTL-1,-0.004665325135243887,0.008507264230980865,100
1,CD8 + CTL-2,0.007817017688512536,0.044462334618834184,100
1,CD8 + CTL-3,-0.002839746234709444,0.011548108425253596,100
1,CD8 Tem-1,0.0075764218614762565,0.0182904766091528,100
1,CD8 Tem-2,0.07241625412196219,0.1755588017093584,100
1,Cycling T,0.17634284144452805,0.40738737596865465,100
1,Erythrocyte,0.008368988952537347,0.00806574374312307,100
1,GCB,-0.001751489002396306,0.025844624604000953,100
1,Memory B-1,0.2740496283236174,0.1374552821491045,100
1,Memory B-2,0.09851571853962876,0.1001366847481546,100
1,Naive T,0.0007343157342690398,0.0072802253565054905,100
1,Plasma,0.38417798617148724,0.24318201414423626,100
1,Tcm,-0.0005086249054708225,0.0004828381990536465,100
1,cDC2,-0.13394483187694414,0.08934222643311769,100
1,pDC,0.04366023202576664,0.09748138281451638,100
1,platelet,0.03382422853931864,0.03377564986202785,100
2,Atypical Memory B,0.05344306690530459,0.058819895283147704,100
2,CD14 Monocyte-1,0.3155863991893944,0.3159573615693741,100
2,CD14 Monocyte-2,0.22511462382978073,0.338709623476768,100
2,CD14 Monocyte-3,0.011332264437831556,0.017442790927660656,100
2,CD16 Monocyte-1,0.4098539700712521,0.5464152456358184,100
2,CD16 Monocyte-2,-0.04761069854044532,0.04639093092315941,100
2,CD16 NK,0.6280478743924077,0.5734946006854139,100
2,CD4 + Tcm-1,-0.18488832646386402,0.20331877940715207,100
2,CD4 + Tcm-2,-0.007093816647929372,0.03318725260355618,100
2,CD4 Monocyte-4,-0.001535114902517669,0.3191651317234572,100
2,CD56 NK,0.15241512349984707,0.19976707873476515,100
2,CD8 + CTL-1,0.003380605575340907,0.02893391118302214,100
2,CD8 + CTL-2,0.01852507097915394,0.03162121214487307,100
2,CD8 + CTL-3,-0.04521338437363537,0.07693955912733093,100
2,CD8 Tem-1,-0.02645957494843646,0.4271174412936619,100
2,CD8 Tem-2,-0.07163125112487428,0.7272853466473121,100
2,Cycling T,-0.09425552849389267,0.23276036944425987,100
2,Erythrocyte,-0.12559178858745088,0.24154455903809938,100
2,GCB,0.005526274535675388,0.012285040446997006,100
2,Memory B-1,0.48540429219696357,0.4598208627404865,100
2,Memory B-2,0.019462650900709956,0.03308945900218835,100
2,Naive T,0.03591490797061991,0.09513987798803325,100
2,Plasma,-0.012154912244904205,0.15688000240450178,100
2,Tcm,-0.0003379673990526588,0.0012952778897261457,100
2,cDC2,0.80938830482057,0.5177262265110415,100
2,pDC,1.0879972650237857,0.5414894643759081,100
2,platelet,0.15740961662345576,0.7945241885572968,100
3,Atypical Memory B,0.07889960098598733,0.05858773190914377,100
3,CD14 Monocyte-1,-0.3068396378099145,0.11456506429866027,100
3,CD14 Monocyte-2,-0.17118279722935578,0.07671376927223213,100
3,CD14 Monocyte-3,0.001173793467626283,0.0039061615077832903,100
3,CD16 Monocyte-1,0.16191764370119266,0.11569663414790961,100
3,CD16 Monocyte-2,0.004459554494773354,0.0030743764300775844,100
3,CD16 NK,-0.015671749505700515,0.11193328476394529,100
3,CD4 + Tcm-1,0.049194751858703346,0.08372393547730143,100
3,CD4 + Tcm-2,0.005347010862843227,0.02712469042157846,100
3,CD4 Monocyte-4,0.014270982336725293,0.028237818326213488,100
3,CD56 NK,-0.001436932257081367,0.04398428231983034,100
3,CD8 + CTL-1,0.011595943864505086,0.022178145205498788,100
3,CD8 + CTL-2,0.004138715843199898,0.006283880815249202,100
3,CD8 + CTL-3,-0.00023904362057969753,0.025406343059895205,100
3,CD8 Tem-1,-0.021776333506532818,0.05297370160981179,100
3,CD8 Tem-2,0.03132005389441561,0.053168822343026494,100
3,Cycling T,-0.0017452150657544952,0.030304765543860208,100
3,Erythrocyte,0.004455094835390274,0.008834614984350049,100
3,GCB,0.0007880903107467741,0.003481589748298435,100
3,Memory B-1,0.4614281877229842,0.22977613310916117,100
3,Memory B-2,0.026613687379818507,0.02991846924681377,100
3,Naive T,0.017264939068533932,0.0245116679176725,100
3,Plasma,0.003798973789125053,0.019224917918462738,100
3,Tcm,-2.940686084739408e-05,0.00010446431465671484,100
3,cDC2,0.35250406937624634,0.18190891091908545,100
3,pDC,0.41889968466645955,0.3758711934089962,100
3,platelet,-0.010103442675111741,0.07919464588534098,100
4,Atypical Memory B,0.33377457174013747,0.9789815035463753,100
4,CD14 Monocyte-1,0.07049943659553061,0.061594728583629695,100
4,CD14 Monocyte-2,0.15647457104055162,0.20854993362362567,100
4,CD14 Monocyte-3,0.09203241769908953,0.1409352358750571,100
4,CD16 Monocyte-1,0.8928466687964373,0.5233072452602414,100
4,CD16 Monocyte-2,-0.04266054207029613,0.8347925361479341,100
4,CD16 NK,0.3224759288101019,0.3261755130697554,100
4,CD4 + Tcm-1,-0.4860392041104904,0.5418152268854518,100
4,CD4 + Tcm-2,0.40349687426099223,0.39701712140728934,100
4,CD4 Monocyte-4,0.2601206539063971,0.2774848718826305,100
4,CD56 NK,0.1072378087578834,0.14561452623326712,100
4,CD8 + CTL-1,-0.030694848080657366,0.24228653911643686,100
4,CD8 + CTL-2,0.0843870569071569,0.09659624127389595,100
4,CD8 + CTL-3,0.013854549198285304,0.09915601818414783,100
4,CD8 Tem-1,0.631134908154419,0.6946550343483142,100
4,CD8 Tem-2,-0.1281978263119497,0.3038969749098024,100
4,Cycling T,0.13196515590824243,0.13851987365049204,100
4,Erythrocyte,0.35219134250307854,0.5880959930306809,100
4,GCB,0.07574574291003101,0.1035387238090629,100
4,Memory B-1,0.7988433193263716,1.0670544927580998,100
4,Memory B-2,1.5373785635736592,2.2743084067988564,100
4,Naive T,0.36902099243440317,0.5558035922119215,100
4,Plasma,-0.48990053957775004,0.6252000026711204,100
4,Tcm,5.739714190238375,2.3137885459303074,100
4,cDC2,0.48395480189155987,0.5875539710432748,100
4,pDC,-0.08915135320677223,0.3055265561972133,100
4,platelet,0.020209339114446022,0.2675351722525139,100
