source,subtype,disease,n_disease,median_disease,iqr_disease,median_other,median_difference,rank_biserial,p_value,median_lr_coefficient,iqr_lr_coefficient,coefficient_positive_fraction,coefficient_sign_stability,top_five_fraction,q_value,heldout_log_loss_increase,heldout_log_loss_increase_sd
true_subtype,CD14 Monocyte-2,Normal,6,0.0012235779129313403,0.0001770231731878871,0.011023469429490527,-0.009799891516559188,-0.8431372549019608,0.0003303476987687514,-0.2744163761416616,0.20861298574357412,0.0,1.0,0.0,0.0031480192470904546,0.0771946043603802,0.15051720129127846
true_subtype,CD14 Monocyte-2,PC,6,0.022085844300618142,0.02313234634820844,0.010115071776630118,0.011970772523988024,0.21568627450980382,0.425173119909962,1.042497644528802,0.8010431149467281,1.0,1.0,0.2,0.6437200507048023,0.0771946043603802,0.15051720129127846
true_subtype,CD14 Monocyte-3,BTC,6,0.00040319618576726115,0.0003789722512963175,0.0004132853681664369,-1.0089182399175751e-05,0.06862745098039214,0.8047682529174406,-0.022439406114722223,0.011706612815910216,0.0,1.0,0.0,0.8870277621344477,0.019890591546169473,0.04072671560520046
true_subtype,CD14 Monocyte-3,CRC,8,0.0001806082482293214,0.00048294797588621196,0.0004183229841924485,-0.00023771473596312712,-0.2890625,0.21532632091268789,-0.04277886161549993,0.34307909693196825,0.4,0.6,0.0,0.45383389686468606,0.019890591546169473,0.04072671560520046
true_subtype,CD14 Monocyte-3,GC,7,0.0002785903329154478,0.00013991573966917715,0.0004178854993731718,-0.00013929516645772396,-0.19913419913419916,0.4213573561584022,-0.19936941490841759,0.1703389440358452,0.0,1.0,0.0,0.6437200507048023,0.019890591546169473,0.04072671560520046
true_subtype,CD14 Monocyte-3,HCC,7,0.0004118050789293068,0.00035350215856246666,0.00041476565740356696,-2.9605784742601777e-06,-0.20346320346320346,0.41111287080966763,-0.003964748878339929,0.06237166236752724,0.4,0.6,0.0,0.6364646765682468,0.019890591546169473,0.04072671560520046
true_subtype,CD14 Monocyte-3,Normal,6,0.0265765019922021,0.0039610827638793256,0.00028008075001396775,0.026296421242188135,1.0,0.00011346858642175723,0.508939602098883,0.35835609433153226,1.0,1.0,0.4,0.00144379143360771,0.019890591546169473,0.04072671560520046
true_subtype,CD14 Monocyte-3,PC,6,0.0002781331701618735,0.0006833336387819527,0.0004132853681664369,-0.0001351521980045634,-0.25,0.34175890356802363,-0.11661206808075247,0.373981656724585,0.0,1.0,0.0,0.5589552308284063,0.019890591546169473,0.04072671560520046
true_subtype,CD16 Monocyte-1,BTC,6,0.03239675966802048,0.008458361722397521,0.05289936148893053,-0.020502601820910044,-0.37254901960784315,0.15931981721455404,-1.7974804280703962,1.3496800899357742,0.0,1.0,1.0,0.37405522302547467,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-1,CRC,8,0.0496987773289627,0.033205135758797445,0.0449553085828053,0.0047434687461573935,0.0546875,0.8293994572632343,0.5941551591616349,0.7202781212093909,0.8,0.8,0.4,0.8884967095493411,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-1,GC,7,0.06748633879781421,0.03186144439076941,0.03772290809327846,0.02976343070453575,0.6190476190476191,0.009158980366410706,0.23803002198712847,1.1080117127476474,0.8,0.8,0.2,0.0463673381049542,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-1,HCC,7,0.05161290322580645,0.029488814608877967,0.04505757356622351,0.0065553296595829424,-0.038961038961038974,0.8892959284600152,0.0219952336674381,0.1329242082006621,0.8,0.8,0.0,0.9294576800678868,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-1,Normal,6,0.013494247578375591,0.005161501703392569,0.05425608648606286,-0.04076183890768727,-0.8235294117647058,0.0005189689400215716,-0.24985810664252575,0.1808629944959976,0.0,1.0,0.0,0.0044248930675523475,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-1,PC,6,0.0651315834972998,0.08315785707542137,0.04354629501018257,0.021585288487117237,0.47058823529411775,0.07138792928266614,0.42382654893291993,1.7200948966228027,0.6,0.6,0.2,0.22240085661138298,0.35817491730728473,0.32260660309279826
true_subtype,CD16 Monocyte-2,BTC,6,0.006310377440310826,0.001911573148567572,0.009251690036208859,-0.002941312595898033,-0.3137254901960784,0.23958597116491853,-0.13608540063456065,0.3180869429788013,0.0,1.0,0.0,0.4688409594546239,-0.018477909796621318,0.025050257110860084
