feature_set,transform,outer_fold,disease,feature,coefficient
pred_hard_lineage,raw,2,GC,pred_hard_lineage::NK,-1.0616222749608948
pred_hard_lineage,raw,2,GC,pred_hard_lineage::Other,0.5716177103635303
pred_hard_lineage,raw,2,GC,pred_hard_lineage::T,0.7661044860178362
pred_hard_lineage,raw,2,HCC,pred_hard_lineage::B,0.6716290955315452
pred_hard_lineage,raw,2,HCC,pred_hard_lineage::Myeloid,-0.406337042360758
pred_hard_lineage,raw,2,HCC,pred_hard_lineage::NK,0.9513961598370142
pred_hard_lineage,raw,2,HCC,pred_hard_lineage::Other,-2.665820147718041
pred_hard_lineage,raw,2,HCC,pred_hard_lineage::T,-0.7072966949698063
pred_hard_lineage,raw,2,Normal,pred_hard_lineage::B,1.6263018507034694
pred_hard_lineage,raw,2,Normal,pred_hard_lineage::Myeloid,0.2779769887994271
pred_hard_lineage,raw,2,Normal,pred_hard_lineage::NK,0.6679638590047798
pred_hard_lineage,raw,2,Normal,pred_hard_lineage::Other,2.092119161420303
pred_hard_lineage,raw,2,Normal,pred_hard_lineage::T,-0.9981719599080666
pred_hard_lineage,raw,2,PC,pred_hard_lineage::B,-2.6368919457014193
pred_hard_lineage,raw,2,PC,pred_hard_lineage::Myeloid,0.29921871193403915
pred_hard_lineage,raw,2,PC,pred_hard_lineage::NK,-1.0884145473480953
pred_hard_lineage,raw,2,PC,pred_hard_lineage::Other,-0.44818324271500387
pred_hard_lineage,raw,2,PC,pred_hard_lineage::T,1.113721493050094
pred_hard_lineage,raw,3,BTC,pred_hard_lineage::B,1.177916628255814
pred_hard_lineage,raw,3,BTC,pred_hard_lineage::Myeloid,-0.5035047918827223
pred_hard_lineage,raw,3,BTC,pred_hard_lineage::NK,0.072107362528265
pred_hard_lineage,raw,3,BTC,pred_hard_lineage::Other,-0.09521100683835712
pred_hard_lineage,raw,3,BTC,pred_hard_lineage::T,0.06805881391584735
pred_hard_lineage,raw,3,CRC,pred_hard_lineage::B,-0.7299767495751394
pred_hard_lineage,raw,3,CRC,pred_hard_lineage::Myeloid,-0.5393978460071016
pred_hard_lineage,raw,3,CRC,pred_hard_lineage::NK,0.6062745173062587
pred_hard_lineage,raw,3,CRC,pred_hard_lineage::Other,-0.15738340268889897
pred_hard_lineage,raw,3,CRC,pred_hard_lineage::T,-0.15267722631734085
pred_hard_lineage,raw,3,GC,pred_hard_lineage::B,-0.7605268196317877
pred_hard_lineage,raw,3,GC,pred_hard_lineage::Myeloid,0.6592569057726981
pred_hard_lineage,raw,3,GC,pred_hard_lineage::NK,-0.7016595270875364
pred_hard_lineage,raw,3,GC,pred_hard_lineage::Other,0.044103250889082304
pred_hard_lineage,raw,3,GC,pred_hard_lineage::T,0.39937231393360134
pred_hard_lineage,raw,3,HCC,pred_hard_lineage::B,-0.12831546095034208
pred_hard_lineage,raw,3,HCC,pred_hard_lineage::Myeloid,0.1298244161045587
pred_hard_lineage,raw,3,HCC,pred_hard_lineage::NK,0.5060804317663951
pred_hard_lineage,raw,3,HCC,pred_hard_lineage::Other,-0.4056275478343721
pred_hard_lineage,raw,3,HCC,pred_hard_lineage::T,-0.5672470554937805
pred_hard_lineage,raw,3,Normal,pred_hard_lineage::B,0.37946268139261163
pred_hard_lineage,raw,3,Normal,pred_hard_lineage::Myeloid,0.1990203584825688
pred_hard_lineage,raw,3,Normal,pred_hard_lineage::NK,0.6381318172786129
pred_hard_lineage,raw,3,Normal,pred_hard_lineage::Other,0.6305913222082238
pred_hard_lineage,raw,3,Normal,pred_hard_lineage::T,-0.824280314770637
pred_hard_lineage,raw,3,PC,pred_hard_lineage::B,0.0614397205088434
pred_hard_lineage,raw,3,PC,pred_hard_lineage::Myeloid,0.05480095752999871
pred_hard_lineage,raw,3,PC,pred_hard_lineage::NK,-1.1209346017919957
pred_hard_lineage,raw,3,PC,pred_hard_lineage::Other,-0.016472615735677768
pred_hard_lineage,raw,3,PC,pred_hard_lineage::T,1.0767734687323105
pred_hard_lineage,raw,4,BTC,pred_hard_lineage::B,-0.1611458894462226
pred_hard_lineage,raw,4,BTC,pred_hard_lineage::Myeloid,-0.32306436454248977
pred_hard_lineage,raw,4,BTC,pred_hard_lineage::NK,-0.050841662852992194
pred_hard_lineage,raw,4,BTC,pred_hard_lineage::Other,-0.0996258326511782
pred_hard_lineage,raw,4,BTC,pred_hard_lineage::T,0.3086652368356836
pred_hard_lineage,raw,4,CRC,pred_hard_lineage::B,-0.10380479391172953
pred_hard_lineage,raw,4,CRC,pred_hard_lineage::Myeloid,-0.07853106952400431
pred_hard_lineage,raw,4,CRC,pred_hard_lineage::NK,-0.03232485572850458
pred_hard_lineage,raw,4,CRC,pred_hard_lineage::Other,-0.14463467614293488
pred_hard_lineage,raw,4,CRC,pred_hard_lineage::T,0.0964055814431399
pred_hard_lineage,raw,4,GC,pred_hard_lineage::B,0.23596646922401157
pred_hard_lineage,raw,4,GC,pred_hard_lineage::Myeloid,0.24809284780913976
pred_hard_lineage,raw,4,GC,pred_hard_lineage::NK,-0.9544514061311483
pred_hard_lineage,raw,4,GC,pred_hard_lineage::Other,-0.09906141436231707
pred_hard_lineage,raw,4,GC,pred_hard_lineage::T,0.6481292808089772
pred_hard_lineage,raw,4,HCC,pred_hard_lineage::B,-0.04240022944938356
pred_hard_lineage,raw,4,HCC,pred_hard_lineage::Myeloid,0.2953046254990435
pred_hard_lineage,raw,4,HCC,pred_hard_lineage::NK,0.6155460052003346
pred_hard_lineage,raw,4,HCC,pred_hard_lineage::Other,-0.5222101769457066
pred_hard_lineage,raw,4,HCC,pred_hard_lineage::T,-0.7821464323971881
pred_hard_lineage,raw,4,Normal,pred_hard_lineage::B,0.7371467281251614
pred_hard_lineage,raw,4,Normal,pred_hard_lineage::Myeloid,-0.33541094616472944
pred_hard_lineage,raw,4,Normal,pred_hard_lineage::NK,1.0185129454681836
pred_hard_lineage,raw,4,Normal,pred_hard_lineage::Other,0.8825097322150629
pred_hard_lineage,raw,4,Normal,pred_hard_lineage::T,-0.688400034295497
pred_hard_lineage,raw,4,PC,pred_hard_lineage::B,-0.6657622845418374
pred_hard_lineage,raw,4,PC,pred_hard_lineage::Myeloid,0.19360890692304067
pred_hard_lineage,raw,4,PC,pred_hard_lineage::NK,-0.5964410259558734
pred_hard_lineage,raw,4,PC,pred_hard_lineage::Other,-0.016977632112926275
pred_hard_lineage,raw,4,PC,pred_hard_lineage::T,0.4173463676048849
pred_hard_lineage,clr,0,BTC,pred_hard_lineage::B,0.6057600852403717
pred_hard_lineage,clr,0,BTC,pred_hard_lineage::Myeloid,-0.27728320482565527
pred_hard_lineage,clr,0,BTC,pred_hard_lineage::NK,0.7240017360593376
pred_hard_lineage,clr,0,BTC,pred_hard_lineage::Other,-0.5602674178430815
pred_hard_lineage,clr,0,BTC,pred_hard_lineage::T,-0.30340425285521233
pred_hard_lineage,clr,0,CRC,pred_hard_lineage::B,-0.7058815036040063
pred_hard_lineage,clr,0,CRC,pred_hard_lineage::Myeloid,0.27895943937914974
pred_hard_lineage,clr,0,CRC,pred_hard_lineage::NK,0.6566353067546922
pred_hard_lineage,clr,0,CRC,pred_hard_lineage::Other,-0.25423292766707345
