model,task,metric,effect_type,fixed_axis,fixed_value,n_paired_seeds,mean,std,median,q025,q975,min,max,fraction_positive
logistic_regression,fine,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.05048938905802487,0.007062536169334509,0.04944307494422165,0.0407668629626379,0.06546220426840978,0.04064383916664743,0.06636179297468985,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.06498035577568065,0.012045278144120519,0.06585474956815557,0.0495527402655436,0.08885701065211647,0.048653779374558614,0.09474980354744977,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.04000980856063783,0.007724993778519863,0.039059850685756736,0.027014401828489628,0.05569651202128687,0.021259935817089848,0.05815024906494448,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.021587197557340992,0.005451292135457906,0.020451381909611543,0.014420426770201774,0.03290378828002367,0.012600592165952551,0.03523702664686923,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.012953124453245184,0.0041955719272951195,0.012283816344073661,0.007995527201980929,0.022233857753964872,0.00787963779151779,0.026549417890802673,1.0
xgboost,coarse,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.008693137509625175,0.0020046617874777918,0.008658977322751504,0.005713500829582272,0.012774751931827213,0.005177944366402842,0.014459051086515351,1.0
xgboost,coarse,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.029644724771305964,0.004967822963287444,0.028102049513989626,0.02319665582528261,0.03972954231958469,0.022903460261646136,0.041256510654596436,1.0
xgboost,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.0654374773751688,0.012364847896231993,0.06412727679996422,0.04878372464655765,0.08993792524495253,0.04662476292630646,0.09505957053856451,1.0
xgboost,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.04011045231186711,0.007474000029301628,0.03977099374071946,0.026489181122839413,0.054914536835169225,0.020882759792985706,0.057954004470959664,1.0
xgboost,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.021615220639638832,0.005527993913073317,0.02023739099683347,0.012920883742217271,0.03172620651997646,0.011250836284037447,0.03296121335111135,1.0
xgboost,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.01290479885337032,0.0038964475657516165,0.011539764620799253,0.0069014229773179305,0.020676667016986738,0.006706339564009123,0.023654340314573696,1.0
xgboost,coarse,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.008807835898064803,0.0022770843577995586,0.00842745369328235,0.005026701705502121,0.013284325648059788,0.004326978150008598,0.014579391517120621,1.0
xgboost,coarse,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.029775157015621972,0.004982473557466952,0.029551983630828206,0.02117935709657914,0.03874458796309466,0.021104252059824136,0.04020454527370112,1.0
xgboost,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.14867724531225862,0.014657188709385252,0.1496597795639493,0.12744485616172135,0.17374787733055808,0.12711597121514528,0.18331124480624844,1.0
xgboost,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.12177281492149203,0.011048823105881926,0.1197993760094046,0.10429554708543057,0.14047150032290756,0.10226253551817654,0.14315319314232683,1.0
xgboost,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.08848143989209811,0.01019397061308768,0.09136817716445111,0.0718803183862217,0.10414796667683819,0.06906275691438879,0.10481365385450736,1.0
xgboost,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.06533787605308142,0.008282902564722562,0.06607318972298831,0.05320516411887393,0.0791263009838361,0.05314470733865351,0.08217718078282787,1.0
xgboost,fine,macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.05063936325412627,0.005953138091462259,0.05062504292136111,0.04211329563714538,0.06134509063726234,0.041094259437496894,0.06439769634961923,1.0
xgboost,fine,macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.09498174788661129,0.008430221345650264,0.09486940933873884,0.08236007062587988,0.11092334188031076,0.08171613656372095,0.11143259604487743,1.0
xgboost,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,100,20,0.150494061892328,0.015009367973854285,0.15306130665213305,0.12860359510339436,0.17617857870530415,0.12820806959672326,0.18711485964077657,1.0
xgboost,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,200,20,0.12395061038553719,0.011042462744566283,0.12317102202815064,0.10552370733091473,0.14332634770694888,0.10235828751107418,0.1465040535418365,1.0
xgboost,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,400,20,0.09038421576864655,0.01104952083982703,0.09265910802375713,0.0737074519332116,0.10695274344777002,0.07230875032509132,0.10912790612170764,1.0
xgboost,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,800,20,0.06688731039965576,0.009031042369452635,0.0663770852115328,0.05514858001723129,0.08458963705446186,0.05380073043301403,0.08855546898893552,1.0
xgboost,fine,patient_balanced_macro_f1,patient_budget_gain_P32_minus_P8,cell_cap,1600,20,0.0515619546934593,0.006138342633176484,0.05188293465957011,0.0428928057081143,0.06439773192970363,0.041968006950158565,0.06874566915541869,1.0
xgboost,fine,patient_balanced_macro_f1,mean_patient_gain_across_cell_caps,cell_cap,mean,20,0.09665563062792536,0.008622333773445474,0.09643588775709608,0.0825229285916475,0.11354246489255145,0.08193517277191129,0.11530206963677506,1.0
