seed,patient_budget,cell_cap,model,task,accuracy,macro_f1,balanced_accuracy,patient_balanced_accuracy,patient_balanced_macro_f1,patient_balanced_balanced_accuracy,mean_patient_macro_f1,exact_path_accuracy,root_excluded_hierarchical_f1,subtype_tree_distance,mean_observed_training_classes_across_folds,min_observed_training_classes_across_folds,n_outer_folds,n_test_patients,n_test_cells
3,8,800,xgboost,coarse,0.9929042993780558,0.9764990923981681,0.9674093113666778,0.9929615571822805,0.9764664966478407,0.9666503551673677,0.9683566802035889,0.8043359126366836,0.8997197112626408,0.40533975733046385,5.0,5,5,105,700706
3,8,800,xgboost,fine,0.8065351231472258,0.5524831868873394,0.521410909735476,0.8055245069951904,0.5563995130470714,0.5238561654359242,0.4891223269059122,0.8043359126366836,0.8997197112626408,0.40533975733046385,38.2,37,5,105,700706
4,8,800,logistic_regression,coarse,0.9908007067157981,0.980504369806335,0.9766567847039402,0.9915434946381235,0.9827810108991214,0.9802507658823238,0.9762241112731412,0.7410511683930208,0.866904950150277,0.5499339237854393,5.0,5,5,105,700706
4,8,800,logistic_regression,fine,0.7430091935847559,0.5192414800877877,0.5150968941464239,0.7427656743875337,0.5232382359513156,0.5191449409304503,0.4618007923543296,0.7410511683930208,0.866904950150277,0.5499339237854393,37.8,37,5,105,700706
4,8,800,xgboost,coarse,0.9912017308257671,0.970229986687329,0.9538488720830959,0.9916877450900451,0.9732077266515781,0.9591284814383426,0.9661064974676475,0.8013646236795461,0.8976339577511824,0.4121043633135723,5.0,5,5,105,700706
4,8,800,xgboost,fine,0.8040661846765976,0.5422897161202501,0.5099427333390967,0.8027079718217921,0.5460561949312568,0.5140934019226714,0.48368194946643167,0.8013646236795461,0.8976339577511824,0.4121043633135723,37.8,37,5,105,700706
5,8,800,logistic_regression,coarse,0.9904039640020208,0.9785455091546609,0.9788922086479357,0.9909403669067044,0.979947494841511,0.9795127663317343,0.9738478788090141,0.7430049121885641,0.8678618421991534,0.5412027298182119,5.0,5,5,105,700706
5,8,800,logistic_regression,fine,0.745319720396286,0.5199008255839236,0.5205542260448156,0.7445950550423501,0.5196452028445191,0.5203366414692991,0.4648896057269502,0.7430049121885641,0.8678618421991534,0.5412027298182119,38.0,37,5,105,700706
5,8,800,xgboost,coarse,0.9924461899855289,0.9726016385787805,0.9591092010634202,0.9927570733377238,0.9732404822958671,0.9600717624226744,0.96410738067472,0.8025077564627675,0.8987478343270929,0.40849371919178656,5.0,5,5,105,700706
5,8,800,xgboost,fine,0.8050494786686571,0.5372520926618868,0.5062289018816148,0.8031470867226075,0.5358004482886866,0.504319253214032,0.48528799123218525,0.8025077564627675,0.8987478343270929,0.40849371919178656,38.0,37,5,105,700706
6,8,800,logistic_regression,coarse,0.9918339503300957,0.9818957649223268,0.9811827694909235,0.9919462567172971,0.9823693228308729,0.9811589233371448,0.9771368925667665,0.7430306005657151,0.8683984438551975,0.5409230119336783,5.0,5,5,105,700706
6,8,800,logistic_regression,fine,0.7449629373802993,0.5241641144470096,0.5241068217095947,0.7442490469158778,0.5255810652539731,0.5250441377197677,0.46827661527211617,0.7430306005657151,0.8683984438551975,0.5409230119336783,37.2,36,5,105,700706
6,8,800,xgboost,coarse,0.9923634163258199,0.9712084586313516,0.9564085856751211,0.9923731149805395,0.9709796647878484,0.9559997507462248,0.9646290857381385,0.8036323365291578,0.8992230693043873,0.40580214811918264,5.0,5,5,105,700706
6,8,800,xgboost,fine,0.8060827222829546,0.5408992306475486,0.5103352048110258,0.8044263033628949,0.5401784321991544,0.5096799360147883,0.48398911298140496,0.8036323365291578,0.8992230693043873,0.40580214811918264,37.2,36,5,105,700706
7,8,800,logistic_regression,coarse,0.9913258913153306,0.980802621294778,0.9838840660655148,0.9918442858792136,0.9832195007536868,0.9857922035338266,0.9722344767515233,0.7445833202512894,0.8689721509449041,0.5382714005588649,5.0,5,5,105,700706
7,8,800,logistic_regression,fine,0.7466184105744778,0.5345854120759329,0.5336466362546464,0.7471768563226628,0.5358682450037457,0.5350214802442729,0.4675709801362895,0.7445833202512894,0.8689721509449041,0.5382714005588649,37.8,37,5,105,700706
7,8,800,xgboost,coarse,0.9928500683596259,0.9758085022452709,0.9663181444347503,0.9931309492207839,0.9771249495084318,0.9674734692630838,0.9675987014157175,0.8058358284358919,0.9003904633326959,0.4018061783401312,5.0,5,5,105,700706
7,8,800,xgboost,fine,0.8079308583057659,0.5541928368282704,0.5265875237923311,0.8064269828567242,0.555923546279309,0.5279361502920717,0.4903975001871031,0.8058358284358919,0.9003904633326959,0.4018061783401312,37.8,37,5,105,700706
8,8,800,logistic_regression,coarse,0.9904639035487066,0.9803796902876449,0.9791377500094196,0.990653761010459,0.9804921239155014,0.9783312783399305,0.9741351877211274,0.7416848150294132,0.8672289091287929,0.5447191832237772,5.0,5,5,105,700706
8,8,800,logistic_regression,fine,0.7439939147088793,0.5263846027084655,0.5269788368028668,0.742652821371625,0.5259022139294088,0.5265233849842426,0.4703781852863082,0.7416848150294132,0.8672289091287929,0.5447191832237772,38.0,37,5,105,700706
8,8,800,xgboost,coarse,0.992389104702971,0.9726411641001732,0.9599589531819944,0.9923267957740708,0.9700689309849722,0.9558122393746347,0.9659583159050722,0.8047669065199955,0.8998973892046022,0.4046176285061067,5.0,5,5,105,700706
8,8,800,xgboost,fine,0.8074056737062334,0.547851562968427,0.514679445465136,0.8059221461263071,0.5480227504556759,0.5147835134618772,0.4904242631749974,0.8047669065199955,0.8998973892046022,0.4046176285061067,38.0,37,5,105,700706
9,8,800,logistic_regression,coarse,0.9913487254283537,0.9835032394307038,0.9833229678401041,0.9917751522757404,0.9847300824850269,0.9850252225323324,0.977176530832415,0.74155351887953,0.8674815115041116,0.545932245478132,5.0,5,5,105,700706
9,8,800,logistic_regression,fine,0.7436142975798694,0.5287389949259514,0.527530588758224,0.741720021855901,0.5304840914407555,0.5293181158021889,0.46724691731386264,0.74155351887953,0.8674815115041116,0.545932245478132,38.0,37,5,105,700706
9,8,800,xgboost,coarse,0.9921664721009953,0.9748267773241329,0.9619888423463792,0.9925041787154061,0.9765016470799551,0.964803485783364,0.9677192539139357,0.803436819436397,0.8991395820786464,0.4053226317456965,5.0,5,5,105,700706
9,8,800,xgboost,fine,0.8061126920562975,0.5380510830284114,0.5090566495819058,0.8040209693444414,0.5383705123242957,0.5094839775223128,0.48900960361978557,0.803436819436397,0.8991395820786464,0.4053226317456965,38.0,37,5,105,700706
10,8,800,logistic_regression,coarse,0.9905466772084155,0.9818377898451363,0.9845538582275897,0.9910317160079016,0.9839917081138108,0.9867932707833372,0.974973760443413,0.7416962320859247,0.8672438940154644,0.5452900360493559,5.0,5,5,105,700706
