outer_fold,seed,patient_budget,cell_cap,task,class_index,class_name,training_patient_count,training_cell_count,observed_in_training
0,3,8,100,fine,11,CD8.TCM.CCL5,4,7,True
0,3,8,100,fine,12,CD8.TEFF,0,0,False
0,3,8,100,fine,13,CD8.TEFF.prolif,2,3,True
0,3,8,100,fine,14,CD8.TEM,5,14,True
0,3,8,100,fine,15,CD8.TEMRA,8,30,True
0,3,8,100,fine,16,CD8.TREG,0,0,False
0,3,8,100,fine,17,CD8.mitohi,3,4,True
0,3,8,100,fine,18,DN,3,5,True
0,3,8,100,fine,19,DP,6,7,True
0,3,8,100,fine,20,GDT.VD2,2,4,True
0,3,8,100,fine,21,GDT.VD2neg,4,7,True
0,3,8,100,fine,22,HSC,2,3,True
0,3,8,100,fine,23,MAIT,2,3,True
0,3,8,100,fine,24,Mast,0,0,False
0,3,8,100,fine,25,NK.CD16hi,8,39,True
0,3,8,100,fine,26,NK.CD16int,1,1,True
0,3,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,3,6,True
0,3,8,100,fine,28,NK.cyc,3,3,True
0,3,8,100,fine,29,NK.mitohi,3,4,True
0,3,8,100,fine,30,PB,4,7,True
0,3,8,100,fine,31,PLT,1,1,True
0,3,8,100,fine,32,RET,1,3,True
0,3,8,100,fine,33,cDC,5,8,True
0,3,8,100,fine,34,cMono,8,204,True
0,3,8,100,fine,35,cMono.cyc,3,6,True
0,3,8,100,fine,36,iNKT,0,0,False
0,3,8,100,fine,37,ncMono,7,41,True
0,3,8,100,fine,38,pDC,2,3,True
0,4,8,100,coarse,0,B,7,54,True
0,4,8,100,coarse,1,Myeloid,8,289,True
0,4,8,100,coarse,2,NK,8,68,True
0,4,8,100,coarse,3,Other,3,3,True
0,4,8,100,coarse,4,T,8,386,True
0,4,8,100,fine,0,B.INT,4,5,True
0,4,8,100,fine,1,B.MEM,4,16,True
0,4,8,100,fine,2,B.NAIVE,5,25,True
0,4,8,100,fine,3,CD4.NAIVE,8,137,True
0,4,8,100,fine,4,CD4.TCM,8,120,True
0,4,8,100,fine,5,CD4.TEFF,5,9,True
0,4,8,100,fine,6,CD4.TEFF.prolif,3,6,True
0,4,8,100,fine,7,CD4.TEM/TEMRA,5,9,True
0,4,8,100,fine,8,CD4.TREG,6,11,True
0,4,8,100,fine,9,CD8.NAIVE,5,21,True
0,4,8,100,fine,10,CD8.TCM,2,3,True
0,4,8,100,fine,11,CD8.TCM.CCL5,1,1,True
0,4,8,100,fine,12,CD8.TEFF,1,1,True
0,4,8,100,fine,13,CD8.TEFF.prolif,2,5,True
0,4,8,100,fine,14,CD8.TEM,6,11,True
0,4,8,100,fine,15,CD8.TEMRA,5,21,True
0,4,8,100,fine,16,CD8.TREG,0,0,False
0,4,8,100,fine,17,CD8.mitohi,3,5,True
0,4,8,100,fine,18,DN,2,3,True
0,4,8,100,fine,19,DP,3,6,True
0,4,8,100,fine,20,GDT.VD2,3,5,True
0,4,8,100,fine,21,GDT.VD2neg,3,6,True
0,4,8,100,fine,22,HSC,0,0,False
0,4,8,100,fine,23,MAIT,2,5,True
0,4,8,100,fine,24,Mast,1,1,True
0,4,8,100,fine,25,NK.CD16hi,8,43,True
0,4,8,100,fine,26,NK.CD16int,2,4,True
0,4,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,4,7,True
0,4,8,100,fine,28,NK.cyc,4,5,True
0,4,8,100,fine,29,NK.mitohi,4,9,True
0,4,8,100,fine,30,PB,3,8,True
0,4,8,100,fine,31,PLT,2,2,True
0,4,8,100,fine,32,RET,0,0,False
0,4,8,100,fine,33,cDC,3,4,True
0,4,8,100,fine,34,cMono,8,237,True
0,4,8,100,fine,35,cMono.cyc,4,7,True
0,4,8,100,fine,36,iNKT,1,1,True
0,4,8,100,fine,37,ncMono,7,39,True
0,4,8,100,fine,38,pDC,2,2,True
0,5,8,100,coarse,0,B,8,51,True
0,5,8,100,coarse,1,Myeloid,8,271,True
0,5,8,100,coarse,2,NK,8,104,True
0,5,8,100,coarse,3,Other,3,7,True
0,5,8,100,coarse,4,T,8,367,True
0,5,8,100,fine,0,B.INT,5,11,True
0,5,8,100,fine,1,B.MEM,6,8,True
0,5,8,100,fine,2,B.NAIVE,4,23,True
0,5,8,100,fine,3,CD4.NAIVE,8,141,True
0,5,8,100,fine,4,CD4.TCM,8,114,True
0,5,8,100,fine,5,CD4.TEFF,6,7,True
0,5,8,100,fine,6,CD4.TEFF.prolif,3,4,True
0,5,8,100,fine,7,CD4.TEM/TEMRA,3,6,True
0,5,8,100,fine,8,CD4.TREG,7,19,True
0,5,8,100,fine,9,CD8.NAIVE,5,12,True
0,5,8,100,fine,10,CD8.TCM,3,3,True
0,5,8,100,fine,11,CD8.TCM.CCL5,2,2,True
0,5,8,100,fine,12,CD8.TEFF,1,1,True
0,5,8,100,fine,13,CD8.TEFF.prolif,0,0,False
0,5,8,100,fine,14,CD8.TEM,5,11,True
0,5,8,100,fine,15,CD8.TEMRA,7,20,True
0,5,8,100,fine,16,CD8.TREG,0,0,False
0,5,8,100,fine,17,CD8.mitohi,4,5,True
0,5,8,100,fine,18,DN,1,1,True
0,5,8,100,fine,19,DP,4,6,True
0,5,8,100,fine,20,GDT.VD2,2,5,True
0,5,8,100,fine,21,GDT.VD2neg,2,3,True
0,5,8,100,fine,22,HSC,3,4,True
0,5,8,100,fine,23,MAIT,3,7,True
0,5,8,100,fine,24,Mast,0,0,False
0,5,8,100,fine,25,NK.CD16hi,8,72,True
0,5,8,100,fine,26,NK.CD16int,3,3,True
0,5,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,7,13,True
0,5,8,100,fine,28,NK.cyc,4,4,True
0,5,8,100,fine,29,NK.mitohi,7,12,True
0,5,8,100,fine,30,PB,4,9,True
0,5,8,100,fine,31,PLT,1,1,True
0,5,8,100,fine,32,RET,1,2,True
0,5,8,100,fine,33,cDC,8,11,True
0,5,8,100,fine,34,cMono,8,229,True
0,5,8,100,fine,35,cMono.cyc,3,4,True
0,5,8,100,fine,36,iNKT,0,0,False
0,5,8,100,fine,37,ncMono,7,25,True
0,5,8,100,fine,38,pDC,2,2,True
0,6,8,100,coarse,0,B,8,34,True
0,6,8,100,coarse,1,Myeloid,8,327,True
0,6,8,100,coarse,2,NK,8,73,True
0,6,8,100,coarse,3,Other,3,5,True
0,6,8,100,coarse,4,T,8,361,True
0,6,8,100,fine,0,B.INT,6,9,True
0,6,8,100,fine,1,B.MEM,3,4,True
0,6,8,100,fine,2,B.NAIVE,7,16,True
0,6,8,100,fine,3,CD4.NAIVE,8,99,True
0,6,8,100,fine,4,CD4.TCM,8,106,True
0,6,8,100,fine,5,CD4.TEFF,6,8,True
0,6,8,100,fine,6,CD4.TEFF.prolif,4,5,True
0,6,8,100,fine,7,CD4.TEM/TEMRA,4,16,True
0,6,8,100,fine,8,CD4.TREG,5,10,True
0,6,8,100,fine,9,CD8.NAIVE,8,26,True
0,6,8,100,fine,10,CD8.TCM,2,4,True
0,6,8,100,fine,11,CD8.TCM.CCL5,3,7,True
0,6,8,100,fine,12,CD8.TEFF,2,2,True
0,6,8,100,fine,13,CD8.TEFF.prolif,2,3,True
0,6,8,100,fine,14,CD8.TEM,5,15,True
0,6,8,100,fine,15,CD8.TEMRA,7,31,True
0,6,8,100,fine,16,CD8.TREG,0,0,False
0,6,8,100,fine,17,CD8.mitohi,5,8,True
0,6,8,100,fine,18,DN,1,1,True
0,6,8,100,fine,19,DP,3,7,True
0,6,8,100,fine,20,GDT.VD2,3,8,True
0,6,8,100,fine,21,GDT.VD2neg,0,0,False
0,6,8,100,fine,22,HSC,2,4,True
0,6,8,100,fine,23,MAIT,3,4,True
0,6,8,100,fine,24,Mast,0,0,False
0,6,8,100,fine,25,NK.CD16hi,7,51,True
0,6,8,100,fine,26,NK.CD16int,2,4,True
0,6,8,100,fine,27,NK.CD56hi.CD16int.XCL1/2,3,6,True
0,6,8,100,fine,28,NK.cyc,3,4,True
0,6,8,100,fine,29,NK.mitohi,4,8,True
0,6,8,100,fine,30,PB,3,5,True
0,6,8,100,fine,31,PLT,1,1,True
0,6,8,100,fine,32,RET,0,0,False
0,6,8,100,fine,33,cDC,5,6,True
0,6,8,100,fine,34,cMono,8,277,True
0,6,8,100,fine,35,cMono.cyc,2,2,True
0,6,8,100,fine,36,iNKT,1,1,True
0,6,8,100,fine,37,ncMono,8,39,True
0,6,8,100,fine,38,pDC,3,3,True
0,7,8,100,coarse,0,B,7,45,True
0,7,8,100,coarse,1,Myeloid,8,287,True
0,7,8,100,coarse,2,NK,8,116,True
0,7,8,100,coarse,3,Other,4,6,True
0,7,8,100,coarse,4,T,8,346,True
0,7,8,100,fine,0,B.INT,6,7,True
0,7,8,100,fine,1,B.MEM,4,8,True
0,7,8,100,fine,2,B.NAIVE,6,19,True
0,7,8,100,fine,3,CD4.NAIVE,8,97,True
0,7,8,100,fine,4,CD4.TCM,8,87,True
0,7,8,100,fine,5,CD4.TEFF,2,2,True
0,7,8,100,fine,6,CD4.TEFF.prolif,3,4,True
0,7,8,100,fine,7,CD4.TEM/TEMRA,3,6,True
0,7,8,100,fine,8,CD4.TREG,4,9,True
0,7,8,100,fine,9,CD8.NAIVE,6,30,True
0,7,8,100,fine,10,CD8.TCM,2,9,True
0,7,8,100,fine,11,CD8.TCM.CCL5,2,3,True
0,7,8,100,fine,12,CD8.TEFF,1,1,True
0,7,8,100,fine,13,CD8.TEFF.prolif,3,9,True
0,7,8,100,fine,14,CD8.TEM,5,10,True
0,7,8,100,fine,15,CD8.TEMRA,8,48,True
0,7,8,100,fine,16,CD8.TREG,0,0,False
0,7,8,100,fine,17,CD8.mitohi,4,4,True
0,7,8,100,fine,18,DN,2,3,True
0,7,8,100,fine,19,DP,6,11,True
0,7,8,100,fine,20,GDT.VD2,5,7,True
0,7,8,100,fine,21,GDT.VD2neg,1,1,True
0,7,8,100,fine,22,HSC,4,6,True
0,7,8,100,fine,23,MAIT,3,3,True
0,7,8,100,fine,24,Mast,0,0,False
0,7,8,100,fine,25,NK.CD16hi,8,89,True
0,7,8,100,fine,26,NK.CD16int,3,4,True
