model,task,metric,term,estimate,cluster_seed_bootstrap_q025,cluster_seed_bootstrap_q975,standardized_estimate,standardized_bootstrap_q025,standardized_bootstrap_q975,n_subset_seeds,outer_fold_adjustment,interpretation
logistic_regression,coarse,macro_f1,intercept,0.954215337470569,0.9496098885432667,0.9585662899083266,,,,20,fixed effects,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,intercept,0.3927996146784927,0.3894825743192408,0.39597733411967156,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_patient_budget,0.03690280131903469,0.03503833204119895,0.03880873383730662,1.004201821479263,0.9534657424291061,1.0560662013651878,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,log2_cells_per_patient,0.022305441371633768,0.021363976922850633,0.02317966960881189,1.0513156234222272,1.0069418642389176,1.0925203585749264,20,not applicable after pooled patient summary,descriptive response surface; not causal
logistic_regression,fine,mean_patient_macro_f1,interaction,-0.00812183068484011,-0.008612842362767756,-0.0076199431905062745,-0.6630356132277455,-0.7031199540136739,-0.6220634118251597,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,macro_f1,intercept,0.9128299278875829,0.906311216946091,0.918546424314504,,,,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,log2_patient_budget,0.03085105883973777,0.028897173814719863,0.032909602328523864,0.8398876351576154,0.786695169979778,0.8959293169568375,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,log2_cells_per_patient,0.019508971828945558,0.018216741890704397,0.0208260409851844,0.9199116576575476,0.858978800970636,0.9820157644955955,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,macro_f1,interaction,-0.007547201224728148,-0.008123554075485952,-0.006989469124991846,-0.6163938510140414,-0.6634656518900438,-0.5708428412351827,20,fixed effects,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,intercept,0.9177220058414857,0.9139282047670539,0.9215105064486538,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,log2_patient_budget,0.02893407214908163,0.027019371054875434,0.030966520839214834,1.0170332566546094,0.9497314721243432,1.0884738717073088,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,log2_cells_per_patient,0.018372450771440816,0.017261912112607008,0.019479328265090027,1.118544622137318,1.0509332261419035,1.1859331204540868,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,patient_balanced_macro_f1,interaction,-0.007023246820635156,-0.007569679479652716,-0.006519301975414203,-0.7406018291662848,-0.7982231882214125,-0.6874608128100058,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,intercept,0.902153083211547,0.8973134820833516,0.9064053600758472,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,log2_patient_budget,0.03187530790068043,0.029874661781111304,0.03423833753770397,1.0018308316213145,0.9389511577372825,1.0761001046831309,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,log2_cells_per_patient,0.020633424858231317,0.019288140157699054,0.022157345087454428,1.123238426976616,1.0500040763419587,1.2061973042774703,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,coarse,mean_patient_macro_f1,interaction,-0.007700596501433929,-0.008412249696233231,-0.00709702462370368,-0.726081927213044,-0.7931830307562537,-0.6691717083602098,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,macro_f1,intercept,0.3722690633298163,0.36587333558982615,0.3786560160664502,,,,20,fixed effects,descriptive response surface; not causal
xgboost,fine,macro_f1,log2_patient_budget,0.07689343297204236,0.0740256804730338,0.07992341507479296,0.8484408907365324,0.8167981562320736,0.8818736640542248,20,fixed effects,descriptive response surface; not causal
xgboost,fine,macro_f1,log2_cells_per_patient,0.05312994524587641,0.05182896726079541,0.054431021601822886,1.01538872387734,0.9905251865642382,1.0402541411974153,20,fixed effects,descriptive response surface; not causal
xgboost,fine,macro_f1,interaction,-0.013415793099029015,-0.014097236376028388,-0.012755172987859272,-0.4440889295844976,-0.4666460317417384,-0.4222211148481033,20,fixed effects,descriptive response surface; not causal
xgboost,fine,patient_balanced_macro_f1,intercept,0.38761066705250014,0.38244221390167593,0.3925422867183654,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,patient_balanced_macro_f1,log2_patient_budget,0.0738205667523246,0.07105869990644408,0.0767195572898173,0.8542943249598481,0.8223324032822936,0.8878431213623674,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,patient_balanced_macro_f1,log2_cells_per_patient,0.0516246124654945,0.05028952044954652,0.05305775412059461,1.0347789324253052,1.0080179549579082,1.0635052457292538,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,patient_balanced_macro_f1,interaction,-0.012746375719180865,-0.013441679522877044,-0.012096063468251006,-0.4425253118376791,-0.46666468598852595,-0.41994794255446044,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,mean_patient_macro_f1,intercept,0.3416457106680436,0.3372228279589775,0.34599667185729394,,,,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,mean_patient_macro_f1,log2_patient_budget,0.06658710391523376,0.06418100094665274,0.06904498802410537,0.8661177160836806,0.834820838981735,0.8980881254513002,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,mean_patient_macro_f1,log2_cells_per_patient,0.04683572107270705,0.0456986026771256,0.047988722793158314,1.0551753421031538,1.0295568768678944,1.0811516473026408,20,not applicable after pooled patient summary,descriptive response surface; not causal
xgboost,fine,mean_patient_macro_f1,interaction,-0.012145769006565062,-0.012772343761743302,-0.011574747983900832,-0.47395058923591676,-0.4984007063307307,-0.45166828253211544,20,not applicable after pooled patient summary,descriptive response surface; not causal
